DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.360286   	53.451738      	100.098046     	62.990814      	0.000000       	62.990814      	5.217060       	0.013043       	0.425707       	0.002280       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.508443   	58.348845      	95.585244      	0.851843       	0.000000       	0.851843       	4.911443       	0.012279       	0.453202       	0.002057       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.722444   	62.542092      	91.651406      	0.785999       	0.000000       	0.785999       	4.205592       	0.010514       	0.514245       	0.001831       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.942526   	66.911742      	87.375898      	0.779918       	0.000000       	0.779918       	4.382227       	0.010956       	0.673200       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.171529   	71.250804      	83.342794      	0.770997       	0.000000       	0.770997       	4.351561       	0.010879       	0.452540       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.434343   	75.114287      	79.881952      	0.737185       	0.000000       	0.737185       	3.874737       	0.009687       	0.323290       	0.001567       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.700389   	79.051118      	76.070558      	0.733955       	0.000000       	0.733955       	3.948287       	0.009871       	0.597061       	0.001585       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.905788   	118.424527     	156.413718     	0.794601       	0.000000       	0.794601       	9.398573       	0.023496       	1.052868       	0.001668       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.134199   	127.241911     	147.364586     	0.771589       	0.000000       	0.771589       	8.841164       	0.022103       	0.979557       	0.001677       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.369345   	135.853250     	138.677048     	0.764854       	0.000000       	0.764854       	8.634636       	0.021587       	0.817756       	0.001711       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.626445   	141.041400     	133.873210     	0.742899       	0.000000       	0.742899       	5.233172       	0.013083       	0.313565       	0.031939       	0.010890       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.031216   	144.071598     	131.118217     	0.595229       	0.000000       	0.595229       	3.118831       	0.007797       	0.231391       	0.080836       	0.019005       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.458913   	147.209919     	128.255874     	0.572303       	0.000000       	0.572303       	3.214326       	0.008036       	0.220320       	0.067969       	0.014308       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.906018   	150.426956     	125.264405     	0.552895       	0.000000       	0.552895       	3.268816       	0.008172       	0.275548       	0.043607       	0.009989       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.324135   	191.478948     	219.046480     	0.581883       	0.000000       	0.581883       	7.368718       	0.018422       	0.681091       	0.048305       	0.010737       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.761330   	198.389563     	211.858170     	0.562805       	0.000000       	0.562805       	6.973137       	0.017433       	0.777977       	0.045089       	0.009879       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.195970   	206.019369     	203.619028     	0.565359       	0.000000       	0.565359       	7.692311       	0.019231       	1.112189       	0.043275       	0.008682       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.670759   	212.480526     	196.762743     	0.525211       	0.000000       	0.525211       	6.511363       	0.016278       	0.870134       	0.033927       	0.006063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.097198   	221.134014     	187.941376     	0.573561       	0.000000       	0.573561       	8.713165       	0.021783       	0.681763       	0.037894       	0.006243       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.543643   	228.112744     	180.706974     	0.553555       	0.000000       	0.553555       	7.024464       	0.017561       	0.763494       	0.028173       	0.004616       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.973340   	234.162047     	174.705864     	0.570304       	0.000000       	0.570304       	6.089451       	0.015224       	0.481963       	0.024924       	0.004427       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.412623   	269.041655     	244.680387     	0.560717       	0.000000       	0.560717       	8.674934       	0.021687       	0.661260       	0.023638       	0.003851       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.874260   	276.918909     	236.532440     	0.538363       	0.000000       	0.538363       	7.919512       	0.019799       	0.766797       	0.022460       	0.003668       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.305871   	285.024597     	228.462373     	0.568389       	0.000000       	0.568389       	8.159867       	0.020400       	0.478588       	0.033780       	0.009264       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.778985   	291.429819     	222.021823     	0.526886       	0.000000       	0.526886       	6.454054       	0.016135       	0.513382       	0.032696       	0.010054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.230179   	298.997793     	214.314518     	0.548806       	0.000000       	0.548806       	7.614900       	0.019037       	0.641212       	0.027889       	0.006241       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.633242   	308.404956     	204.485078     	0.596937       	0.000000       	0.596937       	9.459064       	0.023648       	0.967313       	0.028254       	0.005070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15584.023787   	318.710420     	193.314653     	0.609455       	0.000000       	0.609455       	10.361049      	0.025903       	1.418832       	0.029682       	0.004920       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.425174   	366.798337     	278.246350     	0.598613       	0.000000       	0.598613       	14.399317      	0.035998       	2.517598       	0.025402       	0.004148       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.913201   	374.637893     	269.864789     	0.511973       	0.000000       	0.511973       	8.107749       	0.020299       	0.785786       	0.247893       	0.046207       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15582.333277   	385.552556     	258.194057     	0.579924       	0.000000       	0.579924       	11.114606      	0.028461       	1.136050       	0.171482       	0.039159       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.747382   	396.657309     	245.648104     	0.585894       	0.000000       	0.585894       	11.272184      	0.028180       	1.859664       	0.139251       	0.033597       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15581.118616   	410.362217     	230.583385     	0.628767       	0.000000       	0.628767       	13.884286      	0.034711       	1.809200       	0.144667       	0.035539       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15580.528778   	421.997599     	217.650695     	0.589838       	0.000000       	0.589838       	11.789701      	0.029474       	1.732826       	0.124845       	0.026772       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.901581   	435.397668     	202.316094     	0.627197       	0.000000       	0.627197       	13.557731      	0.033894       	2.404067       	0.123768       	0.025086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15579.287567   	477.635041     	263.223818     	0.614015       	0.000000       	0.614015       	16.136233      	0.040341       	2.320057       	0.108519       	0.020624       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15578.622031   	490.527596     	249.374323     	0.665535       	0.000000       	0.665535       	13.027548      	0.032569       	1.487483       	0.102424       	0.020776       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.959610   	503.518267     	235.216951     	0.662421       	0.000000       	0.662421       	13.120998      	0.032802       	1.698795       	0.097523       	0.017953       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15577.341580   	515.332081     	222.696614     	0.618030       	0.000000       	0.618030       	11.937922      	0.029845       	1.200445       	0.094264       	0.017091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15576.764418   	522.872522     	214.766232     	0.577162       	0.000000       	0.577162       	7.654847       	0.019137       	0.852698       	0.095269       	0.023314       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15576.170600   	531.638848     	205.470488     	0.593818       	0.000000       	0.593818       	8.876192       	0.022190       	1.013369       	0.087676       	0.018329       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15575.614474   	539.441244     	196.942558     	0.556126       	0.000000       	0.556126       	7.899815       	0.019750       	1.184242       	0.077669       	0.014230       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15575.092301   	580.352759     	274.867100     	0.522173       	0.000000       	0.522173       	11.011691      	0.027529       	1.585940       	0.072647       	0.012890       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15574.593099   	591.086727     	262.240815     	0.499202       	0.000000       	0.499202       	10.829165      	0.027073       	2.296321       	0.068124       	0.011690       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15574.001607   	608.657960     	242.112451     	0.591492       	0.000000       	0.591492       	17.696148      	0.044240       	3.023708       	0.080675       	0.014100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15573.360422   	627.662924     	219.795453     	0.641186       	0.000000       	0.641186       	19.138216      	0.047846       	3.819968       	0.085406       	0.013799       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15572.654077   	647.972778     	196.694051     	0.706344       	0.000000       	0.706344       	20.453565      	0.051134       	3.354181       	0.092577       	0.014577       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15571.937734   	665.480032     	177.388893     	0.716344       	0.000000       	0.716344       	17.643397      	0.044108       	2.378104       	0.092034       	0.013803       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15571.209409   	681.194888     	159.814365     	0.728324       	0.000000       	0.728324       	15.845788      	0.039614       	2.457065       	0.091317       	0.013357       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15570.483472   	723.849444     	204.330263     	0.725938       	0.000000       	0.725938       	20.294238      	0.050736       	3.415801       	0.088946       	0.012626       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15569.749900   	740.939364     	185.361626     	0.733572       	0.000000       	0.733572       	17.218665      	0.043047       	2.483543       	0.085699       	0.011882       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15569.040266   	755.608804     	168.864586     	0.709634       	0.000000       	0.709634       	14.788442      	0.036971       	2.418231       	0.082032       	0.011137       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15568.369216   	767.383628     	156.202636     	0.671051       	0.000000       	0.671051       	11.881057      	0.029703       	1.451944       	0.076530       	0.010153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15567.705889   	778.498973     	143.090926     	0.663327       	0.000000       	0.663327       	11.217541      	0.028044       	2.557496       	0.074152       	0.009796       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15567.016449   	790.141093     	130.142646     	0.689439       	0.000000       	0.689439       	11.747433      	0.029369       	1.890286       	0.075944       	0.009992       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15566.332528   	800.077397     	118.762525     	0.683921       	0.000000       	0.683921       	10.036363      	0.025091       	2.027679       	0.074968       	0.009628       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15565.625925   	823.723661     	138.596967     	0.706603       	0.000000       	0.706603       	12.501678      	0.031254       	2.120483       	0.074160       	0.009440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.936431   	834.407087     	126.480952     	0.689494       	0.000000       	0.689494       	10.783044      	0.026958       	2.022465       	0.072660       	0.009114       	0.000000       	0.000000       	0.000000       	0.000000       
