DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15600.960663   	75.104370      	153.687013     	63.390437      	0.000000       	63.390437      	8.126950       	0.020317       	0.576474       	0.002263       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.182565   	81.146745      	147.355695     	0.778098       	0.000000       	0.778098       	6.059360       	0.015148       	1.050056       	0.001836       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.397747   	87.887042      	140.684770     	0.784819       	0.000000       	0.784819       	6.759036       	0.016898       	0.696707       	0.001841       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.663931   	93.632043      	134.655113     	0.733816       	0.000000       	0.733816       	5.760909       	0.014402       	1.002564       	0.001505       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15597.956201   	99.014934      	129.206258     	0.707730       	0.000000       	0.707730       	5.397860       	0.013495       	0.758724       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279517   	103.929427     	124.503137     	0.676684       	0.000000       	0.676684       	4.928236       	0.012321       	0.451569       	0.001422       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.644176   	108.160285     	120.113130     	0.635341       	0.000000       	0.635341       	4.242812       	0.010607       	0.782536       	0.001347       	0.000037       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.064382   	135.722138     	182.108139     	0.579794       	0.000000       	0.579794       	5.075781       	0.012689       	1.009005       	0.001239       	0.000034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.447094   	142.885258     	174.000543     	0.617289       	0.000000       	0.617289       	7.182422       	0.017956       	1.542462       	0.001346       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.820481   	150.334362     	164.951752     	0.626613       	0.000000       	0.626613       	7.469158       	0.018673       	2.206245       	0.001381       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.165364   	158.559518     	155.643320     	0.655116       	0.000000       	0.655116       	8.247242       	0.020618       	1.716306       	0.001469       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.439160   	166.526962     	147.168929     	0.726205       	0.000000       	0.726205       	7.988928       	0.019972       	1.211668       	0.001512       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
