DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	125.148531     	138.613054     	0.844938       	0.000000       	0.844938       	10.307625      	0.025769       	1.463753       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	133.769293     	129.565463     	0.811370       	0.000000       	0.811370       	8.644222       	0.021611       	1.214739       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	141.242993     	121.553002     	0.777453       	0.000000       	0.777453       	7.494241       	0.018736       	1.295673       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	146.598412     	116.009379     	0.697294       	0.000000       	0.697294       	5.370489       	0.013426       	0.870428       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	153.108332     	109.396574     	0.721646       	0.000000       	0.721646       	6.527978       	0.016320       	0.806475       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	159.368716     	102.796672     	0.715250       	0.000000       	0.715250       	6.277825       	0.015695       	1.037326       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	165.108462     	96.898422      	0.699829       	0.000000       	0.699829       	5.755881       	0.014390       	0.842199       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	192.804083     	143.800273     	0.697677       	0.000000       	0.697677       	8.969822       	0.022425       	1.076004       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	200.484983     	135.541683     	0.668913       	0.000000       	0.668913       	7.701893       	0.019255       	1.225609       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	206.719274     	129.197951     	0.627063       	0.000000       	0.627063       	6.251584       	0.015629       	0.719212       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	212.976188     	122.481724     	0.616072       	0.000000       	0.616072       	6.274263       	0.015686       	1.058037       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	218.920102     	115.982554     	0.602324       	0.000000       	0.602324       	5.960471       	0.014901       	1.141022       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	224.545122     	110.072835     	0.590325       	0.000000       	0.590325       	5.640774       	0.014102       	0.859270       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	228.219605     	106.625760     	0.572370       	0.000000       	0.572370       	3.686733       	0.009217       	0.332712       	0.003033       	0.000986       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	268.890534     	216.042209     	0.453936       	0.000000       	0.453936       	3.227748       	0.008069       	0.309738       	0.048750       	0.018187       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	273.314680     	211.719053     	0.462767       	0.000000       	0.462767       	4.478243       	0.011196       	0.307680       	0.042901       	0.013704       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	278.182112     	207.041586     	0.467062       	0.000000       	0.467062       	4.926930       	0.012317       	0.217599       	0.047182       	0.015813       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	285.379330     	199.679507     	0.530737       	0.000000       	0.530737       	7.270942       	0.018177       	0.621873       	0.055546       	0.017016       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	295.035328     	189.561635     	0.609287       	0.000000       	0.609287       	9.746530       	0.024366       	0.980629       	0.066166       	0.019382       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	299.143893     	185.353889     	0.462807       	0.000000       	0.462807       	4.226894       	0.010570       	0.443658       	0.107759       	0.026457       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	303.891095     	180.651402     	0.474465       	0.000000       	0.474465       	4.817111       	0.012043       	0.359840       	0.057866       	0.018601       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000349   	322.137137     	207.099837     	0.499910       	0.000000       	0.499910       	7.074644       	0.017687       	0.726831       	0.060916       	0.019069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500442   	329.580067     	199.156298     	0.499907       	0.000000       	0.499907       	7.525055       	0.018813       	0.918391       	0.063312       	0.019582       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985424   	337.973156     	189.840463     	0.515018       	0.000000       	0.515018       	8.469654       	0.021174       	1.361198       	0.055391       	0.014481       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456346   	346.820854     	180.395440     	0.529078       	0.000000       	0.529078       	8.918310       	0.022296       	1.055792       	0.048316       	0.011942       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911460   	355.878836     	170.478277     	0.544885       	0.000000       	0.544885       	9.124696       	0.022812       	1.337352       	0.043903       	0.010596       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379473   	362.796780     	163.230119     	0.531987       	0.000000       	0.531987       	6.969091       	0.017423       	0.811054       	0.033725       	0.008081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796839   	369.988546     	155.412854     	0.582634       	0.000000       	0.582634       	7.242263       	0.018106       	1.157636       	0.032391       	0.007686       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256679   	396.412604     	203.688866     	0.540160       	0.000000       	0.540160       	7.722293       	0.019306       	0.791855       	0.028929       	0.007242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774056   	401.720564     	198.275396     	0.482623       	0.000000       	0.482623       	5.389591       	0.013474       	0.506502       	0.068157       	0.025534       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333664   	406.096841     	193.589986     	0.440393       	0.000000       	0.440393       	4.619365       	0.011637       	0.506437       	0.231452       	0.062688       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852760   	411.776259     	187.790259     	0.480904       	0.000000       	0.480904       	5.905442       	0.014821       	0.375188       	0.211202       	0.053390       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492804   	416.733382     	182.416713     	0.359956       	0.000000       	0.359956       	5.263798       	0.013161       	0.469703       	0.293515       	0.052561       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125447   	422.239903     	176.007265     	0.367357       	0.000000       	0.367357       	6.027689       	0.015095       	0.749116       	0.506072       	0.063027       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815752   	427.706181     	169.502803     	0.309695       	0.000000       	0.309695       	5.981387       	0.015016       	0.832771       	0.500093       	0.049025       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416200   	457.656102     	213.875009     	0.399552       	0.000000       	0.399552       	11.560985      	0.028903       	0.716361       	0.332161       	0.039047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922335   	467.733581     	203.252110     	0.493865       	0.000000       	0.493865       	10.481582      	0.026205       	0.635182       	0.377898       	0.071040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384710   	477.149349     	193.352366     	0.537625       	0.000000       	0.537625       	9.789400       	0.024474       	0.647970       	0.349158       	0.072773       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850198   	484.154354     	186.087244     	0.534512       	0.000000       	0.534512       	7.346845       	0.018370       	0.452788       	0.323471       	0.073813       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354583   	490.059601     	179.628896     	0.495616       	0.000000       	0.495616       	6.198366       	0.015498       	0.755598       	0.277621       	0.064395       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880812   	495.073402     	174.281622     	0.473770       	0.000000       	0.473770       	5.402178       	0.013599       	0.418866       	0.374777       	0.082379       	0.000000       	0.000000       	0.000000       	0.000000       
