DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	69.819090      	148.030661     	67.930922      	0.000000       	67.930922      	6.587588       	0.016469       	1.062673       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	76.698876      	141.493210     	0.836899       	0.000000       	0.836899       	6.899151       	0.017248       	0.475200       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	83.358969      	134.976970     	0.814482       	0.000000       	0.814482       	6.678823       	0.016697       	0.651898       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	89.576266      	128.921514     	0.776384       	0.000000       	0.776384       	6.234768       	0.015587       	0.597072       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	95.856994      	122.920189     	0.767723       	0.000000       	0.767723       	6.298110       	0.015745       	0.470939       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	102.962253     	115.828840     	0.800831       	0.000000       	0.800831       	7.124812       	0.017812       	0.767367       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	110.239308     	108.389799     	0.820015       	0.000000       	0.820015       	7.297108       	0.018243       	0.961948       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	140.308699     	152.513460     	0.844938       	0.000000       	0.844938       	11.349664      	0.028374       	1.621613       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	149.789640     	142.472545     	0.811370       	0.000000       	0.811370       	9.506556       	0.023766       	1.345730       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	158.000130     	133.581743     	0.777453       	0.000000       	0.777453       	8.232878       	0.020582       	1.435377       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	163.868451     	127.430088     	0.697294       	0.000000       	0.697294       	5.884676       	0.014712       	0.964273       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	171.012460     	120.094662     	0.721646       	0.000000       	0.721646       	7.163656       	0.017909       	0.893417       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	177.879242     	112.775033     	0.715250       	0.000000       	0.715250       	6.885743       	0.017214       	1.149136       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	184.169276     	106.234349     	0.699829       	0.000000       	0.699829       	6.307548       	0.015769       	0.932966       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	216.811113     	163.031962     	0.697677       	0.000000       	0.697677       	10.169036      	0.025423       	1.231027       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	225.508103     	153.578169     	0.668913       	0.000000       	0.668913       	8.720530       	0.021801       	1.402176       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	232.554227     	146.316962     	0.627063       	0.000000       	0.627063       	7.065451       	0.017664       	0.822819       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	239.626678     	138.630744     	0.616072       	0.000000       	0.616072       	7.091844       	0.017730       	1.210446       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	246.341987     	131.193892     	0.602324       	0.000000       	0.602324       	6.733800       	0.016834       	1.305376       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	252.693316     	124.432282     	0.590325       	0.000000       	0.590325       	6.368903       	0.015922       	0.983032       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	256.821958     	120.482040     	0.572370       	0.000000       	0.572370       	4.142068       	0.010355       	0.380544       	0.003071       	0.001033       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	278.159334     	174.295701     	0.453936       	0.000000       	0.453936       	2.643416       	0.006609       	0.246859       	0.049431       	0.018658       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	281.741428     	170.878472     	0.462767       	0.000000       	0.462767       	3.634767       	0.009087       	0.245230       	0.043586       	0.014100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	285.674384     	167.181258     	0.467062       	0.000000       	0.467062       	3.990830       	0.009977       	0.173445       	0.047897       	0.016236       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	291.463427     	161.356152     	0.530737       	0.000000       	0.530737       	5.860124       	0.014650       	0.495719       	0.056431       	0.017502       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	299.214346     	153.345912     	0.609287       	0.000000       	0.609287       	7.837760       	0.019594       	0.781767       	0.067246       	0.019960       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	302.531180     	150.020180     	0.462807       	0.000000       	0.462807       	3.434799       	0.008589       	0.353740       	0.109376       	0.027100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	306.362561     	146.307905     	0.474465       	0.000000       	0.474465       	3.899814       	0.009750       	0.286926       	0.058683       	0.019052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000349   	344.128555     	228.150808     	0.499910       	0.000000       	0.499910       	7.847451       	0.019619       	0.809556       	0.061839       	0.019601       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500442   	352.391936     	219.279226     	0.499907       	0.000000       	0.499907       	8.348509       	0.020871       	1.022980       	0.064258       	0.020112       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985425   	361.711468     	208.878753     	0.515018       	0.000000       	0.515018       	9.399353       	0.023498       	1.516138       	0.056322       	0.014949       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456346   	371.534711     	198.334788     	0.529078       	0.000000       	0.529078       	9.897137       	0.024743       	1.175906       	0.049151       	0.012353       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911461   	381.589576     	187.265408     	0.544885       	0.000000       	0.544885       	10.124843      	0.025312       	1.489423       	0.044666       	0.010970       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379474   	389.258848     	179.171365     	0.531987       	0.000000       	0.531987       	7.722886       	0.019307       	0.903144       	0.034307       	0.008369       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796840   	397.231616     	170.439487     	0.582634       	0.000000       	0.582634       	8.025782       	0.020064       	1.288729       	0.032950       	0.007962       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256680   	424.249572     	218.055848     	0.540160       	0.000000       	0.540160       	8.318175       	0.020795       	0.855624       	0.029424       	0.007501       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774057   	429.965704     	212.191239     	0.482623       	0.000000       	0.482623       	5.799931       	0.014500       	0.547300       	0.069299       	0.026392       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333665   	434.691741     	207.108729     	0.440393       	0.000000       	0.440393       	4.975674       	0.012513       	0.547230       	0.237124       	0.065608       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852761   	440.820282     	200.823017     	0.480904       	0.000000       	0.480904       	6.361240       	0.015950       	0.405375       	0.216749       	0.056025       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492805   	446.122805     	195.056520     	0.359956       	0.000000       	0.359956       	5.618953       	0.014048       	0.507499       	0.302382       	0.055467       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125449   	452.048931     	188.151318     	0.367357       	0.000000       	0.367357       	6.463164       	0.016177       	0.809395       	0.520861       	0.066708       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815753   	457.946621     	181.131250     	0.309695       	0.000000       	0.309695       	6.430037       	0.016118       	0.899726       	0.516229       	0.052393       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416202   	488.514581     	224.831471     	0.399552       	0.000000       	0.399552       	12.191831      	0.030480       	0.757500       	0.343391       	0.041709       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922337   	499.148122     	213.600841     	0.493865       	0.000000       	0.493865       	11.052829      	0.027633       	0.671666       	0.391655       	0.076109       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384712   	509.082365     	203.130870     	0.537625       	0.000000       	0.537625       	10.322402      	0.025806       	0.685194       	0.362352       	0.078100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850200   	516.470403     	195.443710     	0.534512       	0.000000       	0.534512       	7.742925       	0.019359       	0.478747       	0.335528       	0.079116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354584   	522.698162     	188.608248     	0.495616       	0.000000       	0.495616       	6.532149       	0.016332       	0.798928       	0.288058       	0.069115       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880814   	527.988731     	182.946363     	0.473770       	0.000000       	0.473770       	5.692796       	0.014298       	0.442859       	0.387930       	0.088067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468051   	531.833110     	178.742182     	0.412763       	0.000000       	0.412763       	4.341696       	0.011083       	0.275249       	0.486235       	0.088714       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073388   	556.536463     	228.355862     	0.394663       	0.000000       	0.394663       	6.511725       	0.016666       	0.519257       	0.541706       	0.068864       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666524   	562.325543     	222.166705     	0.406864       	0.000000       	0.406864       	6.255594       	0.015643       	0.340427       	0.450871       	0.064840       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207329   	569.994883     	213.766701     	0.459195       	0.000000       	0.459195       	8.103690       	0.020264       	0.755509       	0.414086       	0.072793       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714279   	579.256200     	203.294585     	0.493050       	0.000000       	0.493050       	9.662591       	0.024159       	1.302575       	0.377116       	0.078329       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208715   	589.187723     	192.639285     	0.505565       	0.000000       	0.505565       	10.301334      	0.025757       	0.859531       	0.344054       	0.077034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.697027   	598.943776     	181.902964     	0.511687       	0.000000       	0.511687       	10.101274      	0.025258       	1.146735       	0.319963       	0.075627       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180572   	608.345101     	171.021600     	0.516456       	0.000000       	0.516456       	9.730861       	0.024332       	1.666958       	0.305205       	0.073428       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653166   	639.853341     	212.317983     	0.527406       	0.000000       	0.527406       	13.092355      	0.032736       	2.388668       	0.301378       	0.072476       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087319   	653.735405     	196.994941     	0.565846       	0.000000       	0.565846       	14.228070      	0.035572       	1.660818       	0.310434       	0.074427       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516156   	666.296005     	183.464960     	0.571163       	0.000000       	0.571163       	12.903258      	0.032260       	1.197887       	0.310397       	0.073559       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15562.925601   	678.292300     	170.354569     	0.590555       	0.000000       	0.590555       	12.338231      	0.030848       	1.362716       	0.311088       	0.073124       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15562.336493   	688.815455     	158.942505     	0.589108       	0.000000       	0.589108       	10.857407      	0.027147       	1.143764       	0.307104       	0.071535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15561.701013   	699.872033     	146.660791     	0.635480       	0.000000       	0.635480       	11.398928      	0.028502       	1.518266       	0.313849       	0.072960       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15561.018289   	711.191180     	133.630621     	0.682724       	0.000000       	0.682724       	11.674705      	0.029192       	2.038189       	0.326365       	0.075513       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15560.287330   	743.734704     	174.950025     	0.730959       	0.000000       	0.730959       	14.151807      	0.035387       	1.509749       	0.322896       	0.073928       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15559.589416   	756.527178     	161.343171     	0.697914       	0.000000       	0.697914       	13.146319      	0.032875       	1.158449       	0.320970       	0.073202       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15558.906898   	768.584359     	147.848938     	0.682518       	0.000000       	0.682518       	12.410178      	0.031037       	1.766573       	0.321960       	0.073136       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15558.232004   	779.577279     	135.989909     	0.674894       	0.000000       	0.674894       	11.343700      	0.028373       	1.190223       	0.322406       	0.072946       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15557.561240   	789.119508     	125.143161     	0.670764       	0.000000       	0.670764       	9.886316       	0.024733       	1.631197       	0.319354       	0.071932       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15556.932964   	795.469287     	118.411597     	0.628275       	0.000000       	0.628275       	6.665407       	0.016685       	0.694432       	0.298943       	0.066740       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15556.299457   	802.493935     	110.395109     	0.633508       	0.000000       	0.633508       	7.338031       	0.018371       	1.311965       	0.295013       	0.066148       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15555.649143   	834.126573     	152.019005     	0.650314       	0.000000       	0.650314       	13.217685      	0.033075       	2.058733       	0.301972       	0.067774       	0.000000       	0.000000       	0.000000       	0.000000       
