DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	134.197327     	159.325159     	0.844938       	0.000000       	0.844938       	11.860303      	0.029651       	1.698970       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	144.099790     	148.797474     	0.811370       	0.000000       	0.811370       	9.929135       	0.024823       	1.409920       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	152.671341     	139.476246     	0.777453       	0.000000       	0.777453       	8.594844       	0.021487       	1.503837       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	158.791013     	133.026623     	0.697294       	0.000000       	0.697294       	6.136657       	0.015342       	1.010261       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	166.245772     	125.337064     	0.721646       	0.000000       	0.721646       	7.475184       	0.018688       	0.936021       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	173.409753     	117.664702     	0.715250       	0.000000       	0.715250       	7.183687       	0.017959       	1.203925       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	179.969521     	110.809130     	0.699829       	0.000000       	0.699829       	6.577958       	0.016445       	0.977443       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	208.473473     	156.795870     	0.697677       	0.000000       	0.697677       	9.780178       	0.024450       	1.180759       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	216.840985     	147.729633     	0.668913       	0.000000       	0.668913       	8.390227       	0.020976       	1.344922       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	223.623865     	140.765925     	0.627063       	0.000000       	0.627063       	6.801548       	0.017004       	0.789223       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	230.431873     	133.394234     	0.616072       	0.000000       	0.616072       	6.826737       	0.017067       	1.161026       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	236.897054     	126.261431     	0.602324       	0.000000       	0.602324       	6.483045       	0.016208       	1.252082       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	243.012877     	119.776048     	0.590325       	0.000000       	0.590325       	6.132807       	0.015332       	0.942901       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	246.994262     	115.988955     	0.572370       	0.000000       	0.572370       	3.994429       	0.009986       	0.365034       	0.003058       	0.001018       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	268.271154     	169.870597     	0.453936       	0.000000       	0.453936       	2.582100       	0.006455       	0.240194       	0.048752       	0.018188       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	271.765307     	166.548839     	0.462767       	0.000000       	0.462767       	3.545913       	0.008865       	0.238612       	0.042896       	0.013698       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	275.600679     	162.954874     	0.467062       	0.000000       	0.467062       	3.892262       	0.009731       	0.168766       	0.047159       	0.015788       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	281.242498     	157.291632     	0.530737       	0.000000       	0.530737       	5.711630       	0.014279       	0.482348       	0.055532       	0.017002       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	288.794276     	149.503193     	0.609287       	0.000000       	0.609287       	7.637036       	0.019093       	0.760690       	0.066165       	0.019382       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974723   	292.029440     	146.270763     	0.462807       	0.000000       	0.462807       	3.351027       	0.008380       	0.344210       	0.107484       	0.026256       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	295.765583     	142.662668     	0.474465       	0.000000       	0.474465       	3.803361       	0.009508       	0.279198       	0.057710       	0.018470       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000349   	321.017004     	192.160353     	0.499910       	0.000000       	0.499910       	6.578661       	0.016447       	0.673563       	0.060794       	0.018981       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500442   	327.932708     	184.812757     	0.499907       	0.000000       	0.499907       	6.996376       	0.017491       	0.851127       	0.063181       	0.019487       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985424   	335.730096     	176.193904     	0.515018       	0.000000       	0.515018       	7.872365       	0.019681       	1.261505       	0.055296       	0.014424       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456346   	343.949985     	167.455671     	0.529078       	0.000000       	0.529078       	8.288849       	0.020722       	0.978463       	0.048239       	0.011899       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911460   	352.365674     	158.280436     	0.544885       	0.000000       	0.544885       	8.480726       	0.021202       	1.239394       	0.043834       	0.010559       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379473   	358.798453     	151.578137     	0.531987       	0.000000       	0.531987       	6.482659       	0.016207       	0.751627       	0.033673       	0.008053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796839   	365.485078     	144.352183     	0.582634       	0.000000       	0.582634       	6.735807       	0.016840       	1.072781       	0.032342       	0.007661       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256679   	391.524006     	193.055710     	0.540160       	0.000000       	0.540160       	7.336153       	0.018340       	0.750481       	0.028884       	0.007216       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774056   	396.568256     	187.933237     	0.482623       	0.000000       	0.482623       	5.125041       	0.012813       	0.480055       	0.067979       	0.025387       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333663   	400.713341     	183.507081     	0.440393       	0.000000       	0.440393       	4.386543       	0.011056       	0.480006       	0.230402       	0.062129       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852760   	406.090734     	178.030753     	0.480904       	0.000000       	0.480904       	5.601626       	0.014063       	0.355606       	0.210170       	0.052882       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492804   	410.747544     	172.984515     	0.359956       	0.000000       	0.359956       	4.960986       	0.012404       	0.445209       	0.291772       	0.051965       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125447   	415.926815     	166.945234     	0.367357       	0.000000       	0.367357       	5.696557       	0.014266       	0.710080       	0.503020       	0.062237       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815752   	421.079122     	160.802489     	0.309695       	0.000000       	0.309695       	5.663050       	0.014209       	0.789391       	0.496534       	0.048239       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416200   	450.578518     	205.655502     	0.399552       	0.000000       	0.399552       	11.106853      	0.027767       	0.689685       	0.329689       	0.038404       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922335   	460.248574     	195.467617     	0.493865       	0.000000       	0.493865       	10.070187      	0.025177       	0.611564       	0.374955       	0.069930       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384710   	469.284042     	185.975999     	0.537625       	0.000000       	0.537625       	9.405334       	0.023514       	0.623910       	0.346351       	0.071619       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850198   	476.001136     	179.019002     	0.534512       	0.000000       	0.534512       	7.055559       	0.017642       	0.435950       	0.320823       	0.072604       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354582   	481.664020     	172.833937     	0.495616       	0.000000       	0.495616       	5.953144       	0.014885       	0.727536       	0.275375       	0.063359       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880812   	486.467081     	167.716495     	0.473770       	0.000000       	0.473770       	5.187910       	0.013049       	0.403302       	0.371800       	0.081053       	0.000000       	0.000000       	0.000000       	0.000000       
