DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	159.993266     	176.769919     	0.844938       	0.000000       	0.844938       	13.168042      	0.032920       	1.897082       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	170.975236     	164.995632     	0.811370       	0.000000       	0.811370       	11.011347      	0.027528       	1.574310       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	180.471442     	154.572106     	0.777453       	0.000000       	0.777453       	9.521816       	0.023805       	1.679163       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	187.234790     	147.359418     	0.697294       	0.000000       	0.697294       	6.781947       	0.016955       	1.128035       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	195.485309     	138.762994     	0.721646       	0.000000       	0.721646       	8.272939       	0.020682       	1.045132       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	203.410289     	130.187407     	0.715250       	0.000000       	0.715250       	7.946593       	0.019866       	1.344244       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	210.660625     	122.525624     	0.699829       	0.000000       	0.699829       	7.270256       	0.018176       	1.091355       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	244.249106     	178.251539     	0.697677       	0.000000       	0.697677       	11.118053      	0.027795       	1.353710       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	253.750182     	167.851912     	0.668913       	0.000000       	0.668913       	9.526631       	0.023817       	1.541908       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	261.438736     	159.864672     	0.627063       	0.000000       	0.627063       	7.709491       	0.019274       	0.904812       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	269.156526     	151.410883     	0.616072       	0.000000       	0.616072       	7.738800       	0.019347       	1.331061       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	276.482207     	143.232061     	0.602324       	0.000000       	0.602324       	7.345702       	0.018364       	1.435444       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	283.408174     	135.796426     	0.590325       	0.000000       	0.590325       	6.944982       	0.017362       	1.080978       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	287.896079     	131.448134     	0.572370       	0.000000       	0.572370       	4.502264       	0.011256       	0.418399       	0.003103       	0.001074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	328.900886     	240.489260     	0.453935       	0.000000       	0.453935       	3.566254       	0.008916       	0.346555       	0.052531       	0.020826       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	333.810600     	235.638830     	0.462767       	0.000000       	0.462767       	4.968951       	0.012422       	0.344246       	0.046815       	0.016013       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	339.216880     	230.391137     	0.467062       	0.000000       	0.467062       	5.471302       	0.013678       	0.243453       	0.051344       	0.018368       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	347.227092     	222.135051     	0.530737       	0.000000       	0.530737       	8.091083       	0.020228       	0.695740       	0.060643       	0.019897       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	357.982824     	210.792093     	0.609286       	0.000000       	0.609286       	10.855177      	0.027138       	1.097068       	0.072307       	0.022726       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	362.542218     	206.069113     	0.462807       	0.000000       	0.462807       	4.689478       	0.011725       	0.496308       	0.118359       	0.031297       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500260   	367.814590     	200.791992     	0.474464       	0.000000       	0.474464       	5.349051       	0.013373       	0.402534       	0.063307       	0.021935       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000350   	407.375618     	280.636529     	0.499909       	0.000000       	0.499909       	9.651872       	0.024130       	1.003500       	0.066715       	0.022566       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500444   	417.552193     	269.596832     	0.499906       	0.000000       	0.499906       	10.271604      	0.025679       	1.268000       	0.069349       	0.023183       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985427   	429.033413     	256.661268     	0.515017       	0.000000       	0.515017       	11.571361      	0.028928       	1.879221       	0.061213       	0.017568       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456349   	441.134251     	243.548056     	0.529078       	0.000000       	0.529078       	12.184811      	0.030462       	1.457478       	0.053511       	0.014630       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911465   	453.517844     	229.783509     	0.544885       	0.000000       	0.544885       	12.463399      	0.031158       	1.846033       	0.048648       	0.013034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379478   	462.943217     	219.709726     	0.531987       	0.000000       	0.531987       	9.486434       	0.023716       	1.119336       	0.037345       	0.009957       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796845   	472.742676     	208.835309     	0.582633       	0.000000       	0.582633       	9.859977       	0.024650       	1.597072       	0.035868       	0.009484       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256685   	522.024037     	308.799190     	0.540160       	0.000000       	0.540160       	11.842921      	0.029607       	1.233358       	0.031953       	0.008857       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774063   	530.151156     	300.271101     	0.482622       	0.000000       	0.482622       	8.221844       	0.020555       	0.788867       	0.074171       	0.029821       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333671   	536.969084     	292.829220     	0.440392       	0.000000       	0.440392       	7.093564       	0.017771       	0.788710       	0.257865       	0.075549       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852768   	545.804477     	283.630189     	0.480903       	0.000000       	0.480903       	9.095761       	0.022762       	0.584173       	0.237606       	0.065405       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492812   	553.501659     	275.208806     	0.359955       	0.000000       	0.359955       	8.050082       	0.020126       	0.731256       	0.332775       	0.064469       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125456   	562.177859     	265.142265     	0.367356       	0.000000       	0.367356       	9.267779       	0.023182       	1.166118       	0.568397       	0.078105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815761   	570.792536     	254.951658     	0.309695       	0.000000       	0.309695       	9.204255       	0.023051       	1.296047       	0.566526       	0.063026       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416209   	622.724151     	336.826885     	0.399551       	0.000000       	0.399551       	18.610009      	0.046525       	1.164315       	0.381869       	0.051923       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922344   	639.111248     	319.421377     	0.493865       	0.000000       	0.493865       	16.867062      	0.042168       	1.032310       	0.437798       	0.094038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384719   	654.419432     	303.151456     	0.537625       	0.000000       	0.537625       	15.754525      	0.039386       	1.053022       	0.406954       	0.096978       	0.000000       	0.000000       	0.000000       	0.000000       
