DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	69.819090      	148.030661     	67.930922      	0.000000       	67.930922      	6.587588       	0.016469       	1.062673       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	76.698876      	141.493210     	0.836899       	0.000000       	0.836899       	6.899151       	0.017248       	0.475200       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	83.358969      	134.976970     	0.814482       	0.000000       	0.814482       	6.678823       	0.016697       	0.651898       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	89.576266      	128.921514     	0.776384       	0.000000       	0.776384       	6.234768       	0.015587       	0.597072       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	95.856994      	122.920189     	0.767723       	0.000000       	0.767723       	6.298110       	0.015745       	0.470939       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	102.962253     	115.828840     	0.800831       	0.000000       	0.800831       	7.124812       	0.017812       	0.767367       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	110.239308     	108.389799     	0.820015       	0.000000       	0.820015       	7.297108       	0.018243       	0.961948       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	135.784301     	142.157408     	0.844938       	0.000000       	0.844938       	10.573325      	0.026433       	1.504004       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	144.624391     	132.856540     	0.811370       	0.000000       	0.811370       	8.864099       	0.022160       	1.248139       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	152.285954     	124.620122     	0.777453       	0.000000       	0.777453       	7.682576       	0.019206       	1.331296       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	157.772147     	118.921469     	0.697294       	0.000000       	0.697294       	5.501591       	0.013754       	0.894357       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	164.443735     	112.124422     	0.721646       	0.000000       	0.721646       	6.690050       	0.016725       	0.828643       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	170.858715     	105.341027     	0.715250       	0.000000       	0.715250       	6.432809       	0.016082       	1.065836       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	176.738732     	99.279009      	0.699829       	0.000000       	0.699829       	5.896503       	0.014741       	0.865344       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	208.976405     	156.534178     	0.697677       	0.000000       	0.697677       	9.763859       	0.024410       	1.178650       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	217.330089     	147.484207     	0.668913       	0.000000       	0.668913       	8.376364       	0.020941       	1.342520       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	224.101919     	140.532987     	0.627063       	0.000000       	0.627063       	6.790470       	0.016976       	0.787813       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	230.898823     	133.174500     	0.616072       	0.000000       	0.616072       	6.815607       	0.017039       	1.158952       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	237.353500     	126.054464     	0.602324       	0.000000       	0.602324       	6.472514       	0.016181       	1.249846       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	243.459427     	119.580685     	0.590325       	0.000000       	0.590325       	6.122887       	0.015307       	0.941217       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	247.434618     	115.800452     	0.572370       	0.000000       	0.572370       	3.988220       	0.009971       	0.364383       	0.003059       	0.001018       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	268.708866     	169.684994     	0.453936       	0.000000       	0.453936       	2.579479       	0.006449       	0.239915       	0.048783       	0.018209       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	272.199226     	166.367284     	0.462767       	0.000000       	0.462767       	3.542143       	0.008855       	0.238334       	0.042927       	0.013716       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	276.030390     	162.777701     	0.467062       	0.000000       	0.467062       	3.888076       	0.009720       	0.168569       	0.047192       	0.015808       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	281.665873     	157.121331     	0.530737       	0.000000       	0.530737       	5.705319       	0.014263       	0.481787       	0.055573       	0.017024       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	289.209078     	149.342321     	0.609287       	0.000000       	0.609287       	7.628491       	0.019071       	0.759806       	0.066214       	0.019408       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	292.440640     	146.113819     	0.462807       	0.000000       	0.462807       	3.347500       	0.008371       	0.343810       	0.107567       	0.026292       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	296.172645     	142.510153     	0.474465       	0.000000       	0.474465       	3.799256       	0.009498       	0.278874       	0.057753       	0.018495       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000349   	313.155089     	170.361271     	0.499910       	0.000000       	0.499910       	5.807792       	0.014519       	0.591001       	0.060828       	0.018995       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500442   	319.251280     	163.939529     	0.499907       	0.000000       	0.499907       	6.174858       	0.015437       	0.746791       	0.063229       	0.019514       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985424   	326.123167     	156.403044     	0.515018       	0.000000       	0.515018       	6.944590       	0.017361       	1.106912       	0.055342       	0.014447       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456346   	333.368208     	148.761931     	0.529078       	0.000000       	0.529078       	7.311599       	0.018279       	0.858593       	0.048279       	0.011919       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911460   	340.787215     	140.737633     	0.544885       	0.000000       	0.544885       	7.481583       	0.018704       	1.087601       	0.043871       	0.010578       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379473   	346.467946     	134.881222     	0.531987       	0.000000       	0.531987       	5.728754       	0.014322       	0.659645       	0.033702       	0.008067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796839   	352.372212     	128.570647     	0.582634       	0.000000       	0.582634       	5.951515       	0.014879       	0.941693       	0.032369       	0.007674       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256679   	369.465927     	156.377839     	0.540160       	0.000000       	0.540160       	5.887320       	0.014718       	0.595649       	0.028887       	0.007203       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774056   	373.517637     	152.349843     	0.482623       	0.000000       	0.482623       	4.129589       	0.010324       	0.381029       	0.067556       	0.024929       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333663   	376.799205     	148.892164     	0.440393       	0.000000       	0.440393       	3.517061       	0.008886       	0.381011       	0.226607       	0.059840       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852760   	381.060895     	144.611200     	0.480904       	0.000000       	0.480904       	4.479550       	0.011261       	0.282317       	0.206599       	0.050903       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492804   	384.733176     	140.650696     	0.359956       	0.000000       	0.359956       	3.966971       	0.009919       	0.353489       	0.284772       	0.049205       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125447   	388.787956     	135.898141     	0.367357       	0.000000       	0.367357       	4.556061       	0.011416       	0.563850       	0.489865       	0.058546       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815752   	392.832037     	131.045002     	0.309696       	0.000000       	0.309696       	4.535896       	0.011387       	0.626938       	0.480429       	0.044555       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416200   	420.751058     	177.593067     	0.399552       	0.000000       	0.399552       	9.511646       	0.023779       	0.589841       	0.318846       	0.035452       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922335   	428.992312     	168.938724     	0.493865       	0.000000       	0.493865       	8.625138       	0.021564       	0.523070       	0.362319       	0.065105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384710   	436.693273     	160.887177     	0.537625       	0.000000       	0.537625       	8.055502       	0.020140       	0.533670       	0.334401       	0.066665       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850198   	442.412466     	155.004881     	0.534512       	0.000000       	0.534512       	6.043866       	0.015113       	0.372941       	0.309561       	0.067456       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354582   	447.234274     	149.777671     	0.495616       	0.000000       	0.495616       	5.100405       	0.012754       	0.622421       	0.265843       	0.058958       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880812   	451.309271     	145.461337     	0.473770       	0.000000       	0.473770       	4.445041       	0.011189       	0.345064       	0.358854       	0.075364       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468048   	454.241954     	142.269225     	0.412764       	0.000000       	0.412764       	3.390388       	0.008743       	0.214487       	0.448962       	0.075376       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073385   	473.847900     	182.136629     	0.394663       	0.000000       	0.394663       	5.119616       	0.013251       	0.407643       	0.500420       	0.058479       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666521   	478.343212     	177.352724     	0.406864       	0.000000       	0.406864       	4.923494       	0.012316       	0.267274       	0.415866       	0.054915       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207326   	484.325121     	170.839488     	0.459195       	0.000000       	0.459195       	6.379217       	0.015956       	0.593214       	0.381352       	0.061654       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714275   	491.565918     	162.703063     	0.493050       	0.000000       	0.493050       	7.606633       	0.019021       	1.022842       	0.346815       	0.066240       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208711   	499.340974     	154.422003     	0.505565       	0.000000       	0.505565       	8.111634       	0.020285       	0.674991       	0.316293       	0.065156       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.697023   	506.984020     	146.075937     	0.511688       	0.000000       	0.511688       	7.957169       	0.019900       	0.900585       	0.294222       	0.064012       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180567   	514.352933     	137.614419     	0.516456       	0.000000       	0.516456       	7.668778       	0.019179       	1.309195       	0.280686       	0.062163       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653161   	534.947079     	160.498312     	0.527406       	0.000000       	0.527406       	9.645445       	0.024121       	1.748069       	0.277177       	0.061364       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087314   	545.120423     	149.363610     	0.565847       	0.000000       	0.565847       	10.485064      	0.026215       	1.215485       	0.285504       	0.063020       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516151   	554.326416     	139.542804     	0.571163       	0.000000       	0.571163       	9.515246       	0.023792       	0.876723       	0.285461       	0.062287       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15562.925595   	563.121709     	130.031767     	0.590556       	0.000000       	0.590556       	9.104146       	0.022765       	0.997447       	0.286089       	0.061923       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15562.336487   	570.837279     	121.765593     	0.589108       	0.000000       	0.589108       	8.018026       	0.020051       	0.837256       	0.282405       	0.060573       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15561.701007   	578.949818     	112.867286     	0.635480       	0.000000       	0.635480       	8.422200       	0.021063       	1.111587       	0.288598       	0.061778       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15561.018282   	587.260295     	103.425298     	0.682725       	0.000000       	0.682725       	8.632169       	0.021590       	1.492544       	0.300103       	0.063939       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15560.287322   	622.159956     	157.570663     	0.730959       	0.000000       	0.730959       	12.728378      	0.031833       	1.357217       	0.296883       	0.062590       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15559.589408   	633.668005     	145.394384     	0.697914       	0.000000       	0.697914       	11.832735      	0.029597       	1.041458       	0.295088       	0.061968       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15558.906890   	644.521307     	133.311486     	0.682519       	0.000000       	0.682519       	11.177245      	0.027962       	1.588173       	0.295980       	0.061907       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15558.231995   	654.423851     	122.691901     	0.674895       	0.000000       	0.674895       	10.224499      	0.025585       	1.069980       	0.296370       	0.061741       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15557.561231   	663.028005     	112.976410     	0.670764       	0.000000       	0.670764       	8.920023       	0.022329       	1.466231       	0.293540       	0.060874       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15556.932955   	668.763616     	106.955168     	0.628276       	0.000000       	0.628276       	6.025442       	0.015099       	0.624077       	0.274732       	0.056466       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15556.299447   	675.120436     	99.765372      	0.633508       	0.000000       	0.633508       	6.644585       	0.016655       	1.178719       	0.271110       	0.055962       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15555.649133   	706.033551     	142.255812     	0.650314       	0.000000       	0.650314       	12.471854      	0.031231       	1.938020       	0.277508       	0.057338       	0.000000       	0.000000       	0.000000       	0.000000       
