DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15579.330953   	72.028917      	147.783634     	85.020147      	0.000000       	85.020147      	12.563322      	0.031408       	1.173192       	0.002996       	0.000155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15578.237933   	82.971623      	136.590836     	1.093020       	0.000000       	1.093020       	10.972833      	0.027432       	1.312985       	0.002695       	0.000123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15577.181898   	92.861392      	126.309360     	1.056034       	0.000000       	1.056034       	9.917111       	0.024793       	1.420400       	0.002550       	0.000107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15576.111091   	101.007945     	118.354285     	1.070807       	0.000000       	1.070807       	8.169082       	0.020423       	0.856800       	0.002105       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15575.093917   	108.722669     	110.617338     	1.017175       	0.000000       	1.017175       	7.736154       	0.019340       	1.017967       	0.002091       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15574.139997   	115.769085     	103.990390     	0.953919       	0.000000       	0.953919       	7.066129       	0.017665       	0.514738       	0.002047       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15573.193214   	122.981528     	96.886243      	0.946783       	0.000000       	0.946783       	7.232628       	0.018082       	0.818303       	0.002104       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15572.285522   	173.244490     	195.590915     	0.907693       	0.000000       	0.907693       	12.796967      	0.031992       	1.906054       	0.002012       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15571.432586   	184.641112     	182.973252     	0.852936       	0.000000       	0.852936       	11.427163      	0.028568       	2.043436       	0.001972       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15570.576286   	196.755301     	170.317785     	0.856300       	0.000000       	0.856300       	12.146597      	0.030366       	1.365169       	0.002042       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15569.719778   	208.825442     	157.541459     	0.856508       	0.000000       	0.856508       	12.102497      	0.030256       	1.530337       	0.002100       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15568.877774   	217.351144     	149.146835     	0.842003       	0.000000       	0.842003       	8.549021       	0.021373       	0.687607       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15568.067875   	226.061866     	140.391795     	0.809899       	0.000000       	0.809899       	8.734529       	0.021836       	0.830409       	0.001971       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15567.278370   	234.948568     	131.596151     	0.789505       	0.000000       	0.789505       	8.910991       	0.022277       	0.674158       	0.002012       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15566.525589   	256.190917     	154.639383     	0.752781       	0.000000       	0.752781       	10.019396      	0.025048       	1.440153       	0.001999       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15565.793599   	265.564002     	144.717167     	0.731991       	0.000000       	0.731991       	9.398587       	0.023496       	1.255619       	0.002006       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15565.077079   	274.412391     	135.805287     	0.716520       	0.000000       	0.716520       	8.872587       	0.022181       	0.755812       	0.002017       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15564.392696   	282.046814     	127.983310     	0.684383       	0.000000       	0.684383       	7.655539       	0.019139       	0.850821       	0.001978       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15563.734144   	288.898662     	120.508932     	0.658552       	0.000000       	0.658552       	6.870972       	0.017177       	1.261957       	0.001946       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15563.099555   	295.102481     	113.694270     	0.634589       	0.000000       	0.634589       	6.221286       	0.015553       	1.227966       	0.001914       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15562.481230   	300.927455     	107.636546     	0.618325       	0.000000       	0.618325       	5.841478       	0.014604       	0.834570       	0.001901       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15561.869902   	341.400630     	186.714062     	0.611328       	0.000000       	0.611328       	10.501341      	0.026253       	1.032472       	0.001912       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15561.263076   	351.626046     	175.457344     	0.606827       	0.000000       	0.606827       	10.252981      	0.025632       	1.610564       	0.001932       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15560.655183   	361.788643     	164.344400     	0.607893       	0.000000       	0.607893       	10.190041      	0.025475       	1.530796       	0.001969       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15560.059711   	370.877563     	154.676969     	0.595471       	0.000000       	0.595471       	9.113671       	0.022784       	1.149231       	0.001967       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15559.463786   	379.894667     	145.257042     	0.595926       	0.000000       	0.595926       	9.041706       	0.022604       	0.974146       	0.001998       	0.000071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15558.854476   	389.370651     	135.099760     	0.609309       	0.000000       	0.609309       	9.501810       	0.023755       	1.264782       	0.002072       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15558.239751   	397.539016     	126.432122     	0.614725       	0.000000       	0.614725       	8.190914       	0.020477       	1.091450       	0.002071       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15557.592085   	431.607319     	197.092996     	0.647666       	0.000000       	0.647666       	7.856307       	0.019641       	0.880484       	0.018363       	0.010110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15556.875549   	441.830315     	186.753194     	0.716536       	0.000000       	0.716536       	10.268710      	0.025672       	0.787629       	0.020042       	0.010733       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15556.165874   	452.121918     	176.151954     	0.709675       	0.000000       	0.709675       	10.324010      	0.025810       	0.986906       	0.006596       	0.002697       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15555.451986   	462.608196     	165.366947     	0.713887       	0.000000       	0.713887       	10.515753      	0.026289       	0.983141       	0.003187       	0.000545       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15554.775392   	472.468391     	155.079810     	0.676594       	0.000000       	0.676594       	9.887813       	0.024720       	1.075919       	0.002897       	0.000416       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15554.113591   	482.219024     	144.273771     	0.661801       	0.000000       	0.661801       	9.777240       	0.024443       	1.690599       	0.002165       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15553.430626   	492.702961     	133.042466     	0.682965       	0.000000       	0.682965       	10.512501      	0.026281       	1.401770       	0.002283       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15552.736654   	521.543210     	162.631433     	0.693971       	0.000000       	0.693971       	13.877326      	0.034693       	2.227678       	0.002384       	0.000097       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15552.045929   	534.087351     	149.413286     	0.690726       	0.000000       	0.690726       	12.578028      	0.031445       	1.330845       	0.002442       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15551.376928   	544.794068     	138.446243     	0.669001       	0.000000       	0.669001       	10.735997      	0.026840       	0.900047       	0.002440       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15550.733413   	553.957947     	128.588718     	0.643515       	0.000000       	0.643515       	9.189262       	0.022973       	1.311779       	0.002409       	0.000101       	0.000000       	0.000000       	0.000000       	0.000000       
