DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15593.058492   	64.646288      	126.385276     	71.292608      	0.000000       	71.292608      	8.921006       	0.022303       	1.236327       	0.002415       	0.000117       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15592.081739   	73.033037      	117.989867     	0.976752       	0.000000       	0.976752       	8.410063       	0.021025       	0.962099       	0.002289       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15591.158274   	80.208377      	110.876997     	0.923465       	0.000000       	0.923465       	7.195216       	0.017988       	0.841119       	0.001889       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15590.269573   	86.764297      	104.435253     	0.888701       	0.000000       	0.888701       	6.574206       	0.016436       	0.756239       	0.001850       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15589.400727   	93.000388      	98.319664      	0.868846       	0.000000       	0.868846       	6.253564       	0.015634       	0.730871       	0.001839       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15588.483410   	100.211185     	90.811446      	0.917317       	0.000000       	0.917317       	7.230859       	0.018077       	1.194677       	0.001985       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15587.570978   	106.907268     	83.823381      	0.912431       	0.000000       	0.912431       	6.714877       	0.016787       	1.185619       	0.002007       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15586.665554   	145.243811     	149.370103     	0.905425       	0.000000       	0.905425       	12.118879      	0.030297       	1.989824       	0.002039       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15585.807486   	155.162043     	139.201669     	0.858067       	0.000000       	0.858067       	9.945069       	0.024863       	1.081432       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15584.973455   	164.321314     	129.098436     	0.834032       	0.000000       	0.834032       	9.184196       	0.022960       	1.753069       	0.001964       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15584.073315   	175.655803     	116.472265     	0.900139       	0.000000       	0.900139       	11.365074      	0.028413       	2.161236       	0.002172       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15583.170615   	185.949955     	105.904733     	0.902700       	0.000000       	0.902700       	10.322192      	0.025805       	1.148040       	0.002235       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15582.318095   	190.833919     	101.517368     	0.852520       	0.000000       	0.852520       	4.917745       	0.012294       	0.322140       	0.021487       	0.009367       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15581.467559   	196.001742     	96.905187      	0.850536       	0.000000       	0.850536       	5.198440       	0.012996       	0.264277       	0.017620       	0.007434       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15580.676002   	230.796612     	167.004754     	0.791557       	0.000000       	0.791557       	8.574030       	0.021435       	0.867960       	0.007724       	0.002528       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.859295   	240.649020     	156.759575     	0.816707       	0.000000       	0.816707       	9.882956       	0.024707       	1.178930       	0.005841       	0.001310       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15579.062056   	250.603847     	146.283607     	0.797240       	0.000000       	0.797240       	9.983886       	0.024960       	1.289322       	0.004099       	0.000741       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15578.311354   	259.368082     	137.242550     	0.750702       	0.000000       	0.750702       	8.789406       	0.021974       	1.002353       	0.003197       	0.000462       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15577.574095   	267.855473     	128.448239     	0.737259       	0.000000       	0.737259       	8.511509       	0.021279       	1.020060       	0.002839       	0.000340       	0.000000       	0.000000       	0.000000       	0.000000       
