DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15606.257173   	66.709000      	126.603111     	58.093927      	0.000000       	58.093927      	7.229270       	0.018073       	0.761546       	0.002197       	0.000106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15605.395826   	73.250015      	120.214676     	0.861347       	0.000000       	0.861347       	6.559432       	0.016399       	0.690349       	0.002018       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15604.592047   	78.815459      	114.693136     	0.803779       	0.000000       	0.803779       	5.581044       	0.013953       	0.744275       	0.001648       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15603.778757   	84.818369      	108.727347     	0.813290       	0.000000       	0.813290       	6.019661       	0.015049       	0.759419       	0.001701       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15602.929463   	89.763662      	104.329271     	0.849294       	0.000000       	0.849294       	4.965507       	0.012414       	0.281863       	0.007800       	0.002516       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15602.070639   	94.919392      	99.609376      	0.858824       	0.000000       	0.858824       	5.173896       	0.012935       	0.404823       	0.005231       	0.001516       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15601.193314   	99.775600      	95.172236      	0.877324       	0.000000       	0.877324       	4.885017       	0.012213       	0.429449       	0.016597       	0.005639       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15600.426089   	144.876398     	200.060820     	0.767225       	0.000000       	0.767225       	7.717203       	0.019293       	0.661438       	0.097112       	0.018068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15599.680511   	152.376229     	192.399746     	0.745579       	0.000000       	0.745579       	7.723969       	0.019489       	0.682683       	0.204649       	0.031940       	0.000000       	0.000000       	0.000000       	0.000000       
