DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.968039   	54.588972      	99.856317      	64.383061      	0.000000       	64.383061      	6.357155       	0.015893       	0.919590       	0.002290       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15599.052276   	60.330196      	94.379263      	0.915763       	0.000000       	0.915763       	5.757735       	0.014394       	0.635081       	0.002116       	0.000091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15598.173696   	65.542444      	89.613611      	0.878580       	0.000000       	0.878580       	5.227103       	0.013068       	0.417130       	0.001788       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.376915   	69.598931      	85.884206      	0.796781       	0.000000       	0.796781       	4.068289       	0.010171       	0.457896       	0.001631       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.614731   	73.425484      	82.295619      	0.762184       	0.000000       	0.762184       	3.837736       	0.009594       	0.513035       	0.001589       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.862706   	77.326601      	78.499209      	0.752025       	0.000000       	0.752025       	3.912489       	0.009781       	0.635946       	0.001591       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.106893   	81.366617      	74.605435      	0.755813       	0.000000       	0.755813       	4.051771       	0.010129       	0.597815       	0.001626       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.315260   	112.551273     	133.126239     	0.791633       	0.000000       	0.791633       	8.708163       	0.021770       	1.062666       	0.001736       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15593.514408   	121.057943     	123.992273     	0.800852       	0.000000       	0.800852       	8.529783       	0.021324       	1.405035       	0.001789       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15592.698651   	129.557750     	114.740004     	0.815757       	0.000000       	0.815757       	8.522978       	0.021307       	1.545048       	0.001863       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15591.873595   	137.834777     	106.002236     	0.825056       	0.000000       	0.825056       	8.299704       	0.020749       	1.263120       	0.001927       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15591.055314   	145.430505     	97.832488      	0.818281       	0.000000       	0.818281       	7.616728       	0.019042       	1.371302       	0.001958       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15590.262293   	152.033052     	90.982102      	0.793021       	0.000000       	0.793021       	6.621046       	0.016553       	1.022361       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15589.493764   	157.919993     	85.022338      	0.768529       	0.000000       	0.768529       	5.903632       	0.014759       	0.824661       	0.001932       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15588.737015   	199.408103     	161.347062     	0.756749       	0.000000       	0.756749       	11.518854      	0.028797       	2.913170       	0.001948       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15587.988089   	210.267350     	149.451417     	0.748926       	0.000000       	0.748926       	10.888441      	0.027221       	1.756130       	0.001973       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15587.280989   	218.953704     	138.760424     	0.707099       	0.000000       	0.707099       	8.710041       	0.021775       	2.688051       	0.001911       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15586.550970   	228.814927     	127.543065     	0.730019       	0.000000       	0.730019       	9.887953       	0.024720       	2.059425       	0.002010       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15585.828235   	237.832710     	117.730536     	0.722735       	0.000000       	0.722735       	9.042429       	0.022606       	1.492835       	0.002040       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15585.097984   	246.696947     	107.175552     	0.730251       	0.000000       	0.730251       	8.888566       	0.022221       	2.396669       	0.002108       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15584.388898   	254.183512     	98.821446      	0.709086       	0.000000       	0.709086       	7.507435       	0.018769       	1.555758       	0.002101       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15583.712755   	282.527903     	144.696892     	0.676142       	0.000000       	0.676142       	9.620494       	0.024051       	1.430202       	0.002052       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15583.081554   	290.053856     	136.576859     	0.631201       	0.000000       	0.631201       	7.546780       	0.018867       	1.204455       	0.001960       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15582.486053   	296.508348     	129.767633     	0.595501       	0.000000       	0.595501       	6.472556       	0.016181       	0.932170       	0.001882       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15581.907744   	302.814942     	122.940790     	0.578309       	0.000000       	0.578309       	6.324258       	0.015811       	1.080894       	0.001854       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15581.323664   	309.737860     	115.680623     	0.584080       	0.000000       	0.584080       	6.942171       	0.017355       	0.902077       	0.001897       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15580.742188   	316.416813     	108.680884     	0.581476       	0.000000       	0.581476       	6.697619       	0.016744       	0.883595       	0.001922       	0.000067       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15580.152111   	323.267586     	101.526523     	0.590077       	0.000000       	0.590077       	6.869927       	0.017175       	0.874511       	0.001979       	0.000071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15579.556635   	343.478357     	125.484745     	0.595476       	0.000000       	0.595476       	8.985266       	0.022463       	1.401988       	0.002032       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15578.938244   	352.558556     	115.467460     	0.618391       	0.000000       	0.618391       	9.105077       	0.022763       	1.530599       	0.002116       	0.000078       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15578.347713   	359.613884     	108.235228     	0.590532       	0.000000       	0.590532       	7.075090       	0.017688       	0.747673       	0.002074       	0.000076       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15577.717726   	367.060560     	100.396227     	0.629986       	0.000000       	0.629986       	7.467479       	0.018669       	1.001509       	0.002135       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15577.104391   	373.975683     	93.356198      	0.613335       	0.000000       	0.613335       	6.934629       	0.017337       	0.718735       	0.002169       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15576.512775   	379.969794     	87.064427      	0.591616       	0.000000       	0.591616       	6.011298       	0.015028       	0.872090       	0.002159       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15575.938617   	385.280693     	81.250407      	0.574157       	0.000000       	0.574157       	5.326357       	0.013316       	1.061820       	0.002142       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15575.361894   	404.242620     	106.857183     	0.576723       	0.000000       	0.576723       	7.733440       	0.019334       	0.986506       	0.002180       	0.000086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15574.815919   	410.272209     	100.380508     	0.545976       	0.000000       	0.545976       	6.046826       	0.015117       	0.975826       	0.002120       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15574.257556   	416.882766     	93.359704      	0.558363       	0.000000       	0.558363       	6.629303       	0.016573       	0.949863       	0.002172       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15573.704773   	422.883706     	87.069653      	0.552782       	0.000000       	0.552782       	6.018179       	0.015045       	0.824655       	0.002194       	0.000090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15573.149466   	428.587331     	80.991793      	0.555307       	0.000000       	0.555307       	5.720153       	0.014300       	0.913014       	0.002228       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.610048   	433.296650     	75.919561      	0.539418       	0.000000       	0.539418       	4.723335       	0.011808       	0.888315       	0.002208       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.954584   	437.478049     	71.846787      	0.655464       	0.000000       	0.655464       	4.214709       	0.010537       	0.513530       	0.022773       	0.012278       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.342796   	452.766544     	101.392346     	0.611788       	0.000000       	0.611788       	4.157601       	0.010394       	0.658629       	0.108711       	0.048836       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.704287   	457.249278     	97.148269      	0.638509       	0.000000       	0.638509       	4.607670       	0.011519       	0.274916       	0.113416       	0.045077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.059379   	462.185357     	92.152849      	0.644908       	0.000000       	0.644908       	5.046634       	0.012617       	0.593694       	0.097939       	0.036884       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.375732   	468.088996     	85.965799      	0.683646       	0.000000       	0.683646       	6.031331       	0.015078       	0.839365       	0.112614       	0.041059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15568.683865   	474.244097     	79.457894      	0.691867       	0.000000       	0.691867       	6.251630       	0.015629       	0.948141       	0.080901       	0.026151       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15567.980002   	480.374883     	72.585864      	0.703863       	0.000000       	0.703863       	6.217113       	0.015543       	1.358781       	0.070784       	0.022094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15567.321698   	485.160379     	67.664964      	0.658304       	0.000000       	0.658304       	4.851844       	0.012130       	0.727360       	0.054217       	0.017000       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15566.641682   	513.656102     	112.896229     	0.680017       	0.000000       	0.680017       	9.822559       	0.024556       	1.876192       	0.052280       	0.016197       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15565.906378   	524.271404     	101.042784     	0.735304       	0.000000       	0.735304       	10.694117      	0.026735       	1.894632       	0.052079       	0.015923       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15565.160717   	533.589459     	90.425331      	0.745661       	0.000000       	0.745661       	9.387707       	0.023469       	1.975407       	0.046183       	0.014104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15564.447394   	540.849389     	82.538578      	0.713323       	0.000000       	0.713323       	7.315825       	0.018290       	1.284251       	0.037604       	0.011332       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15563.709016   	547.709928     	74.862854      	0.738378       	0.000000       	0.738378       	6.913521       	0.017284       	1.500581       	0.035698       	0.010712       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15562.891404   	552.542216     	70.296038      	0.817612       	0.000000       	0.817612       	4.900107       	0.012250       	0.484321       	0.055569       	0.023132       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15562.075096   	557.370659     	65.828839      	0.816307       	0.000000       	0.816307       	4.874212       	0.012186       	0.409294       	0.033584       	0.010960       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15561.276858   	577.153048     	90.538881      	0.798238       	0.000000       	0.798238       	8.586307       	0.021466       	1.251889       	0.032452       	0.009707       	0.000000       	0.000000       	0.000000       	0.000000       
