DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	74.035798      	158.731479     	67.930922      	0.000000       	67.930922      	7.055466       	0.017639       	1.143978       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	81.404340      	151.667708     	0.836899       	0.000000       	0.836899       	7.389132       	0.018473       	0.511538       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	88.535028      	144.629862     	0.814482       	0.000000       	0.814482       	7.150598       	0.017876       	0.701730       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	95.188160      	138.091850     	0.776384       	0.000000       	0.776384       	6.671694       	0.016679       	0.642702       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	101.908163     	131.614165     	0.767723       	0.000000       	0.767723       	6.738486       	0.016846       	0.506922       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	109.512795     	123.963569     	0.800831       	0.000000       	0.800831       	7.625437       	0.019064       	0.825989       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	117.299675     	115.939952     	0.820015       	0.000000       	0.820015       	7.808211       	0.019521       	1.035421       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	143.364385     	149.107612     	0.844938       	0.000000       	0.844938       	11.094344      	0.027736       	1.582934       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	152.634564     	139.310081     	0.811370       	0.000000       	0.811370       	9.295266       	0.023238       	1.313635       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	160.664522     	130.634493     	0.777453       	0.000000       	0.777453       	8.051894       	0.020130       	1.401148       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	166.407165     	124.631825     	0.697294       	0.000000       	0.697294       	5.758683       	0.014397       	0.941280       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	173.395796     	117.473469     	0.721646       	0.000000       	0.721646       	7.007888       	0.017520       	0.872115       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	180.113973     	110.330213     	0.715250       	0.000000       	0.715250       	6.736765       	0.016842       	1.121741       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	186.269130     	103.946981     	0.699829       	0.000000       	0.699829       	6.172333       	0.015431       	0.910727       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	236.392970     	202.934721     	0.697677       	0.000000       	0.697677       	12.657259      	0.031643       	1.552677       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	247.198254     	191.001002     	0.668913       	0.000000       	0.668913       	10.834108      	0.027085       	1.768525       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	255.928898     	181.836084     	0.627063       	0.000000       	0.627063       	8.754193       	0.021885       	1.037787       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	264.693612     	172.137139     	0.616072       	0.000000       	0.616072       	8.788348       	0.021971       	1.526669       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	273.009684     	162.754511     	0.602324       	0.000000       	0.602324       	8.338574       	0.020846       	1.646378       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	280.868359     	154.224998     	0.590325       	0.000000       	0.590325       	7.880027       	0.019700       	1.239811       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	285.939733     	149.230391     	0.572370       	0.000000       	0.572370       	5.087193       	0.012718       	0.479783       	0.003101       	0.001071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	299.860535     	180.449736     	0.453935       	0.000000       	0.453935       	2.728464       	0.006821       	0.256126       	0.050842       	0.019640       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	303.564254     	176.899915     	0.462767       	0.000000       	0.462767       	3.758153       	0.009395       	0.254435       	0.045038       	0.014952       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	307.632180     	173.059335     	0.467062       	0.000000       	0.467062       	4.127690       	0.010319       	0.179953       	0.049444       	0.017182       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	313.624970     	167.009482     	0.530737       	0.000000       	0.530737       	6.066277       	0.015166       	0.514312       	0.058322       	0.018565       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	321.651496     	158.691353     	0.609287       	0.000000       	0.609287       	8.116339       	0.020291       	0.811077       	0.069522       	0.021192       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	325.080513     	155.235946     	0.462807       	0.000000       	0.462807       	3.551221       	0.008879       	0.366993       	0.113325       	0.028887       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	329.043126     	151.379330     	0.474464       	0.000000       	0.474464       	4.033407       	0.010084       	0.297673       	0.060710       	0.020284       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000350   	346.313476     	178.907136     	0.499910       	0.000000       	0.499910       	6.099565       	0.015249       	0.622538       	0.063966       	0.020854       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500443   	352.716544     	172.134622     	0.499906       	0.000000       	0.499906       	6.485787       	0.016214       	0.786633       	0.066505       	0.021440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985426   	359.935519     	164.187991     	0.515018       	0.000000       	0.515018       	7.295695       	0.018239       	1.165953       	0.058481       	0.016079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456348   	367.546373     	156.131558     	0.529078       	0.000000       	0.529078       	7.681132       	0.019203       	0.904379       	0.051075       	0.013335       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911463   	375.339215     	147.671942     	0.544885       	0.000000       	0.544885       	7.858911       	0.019647       	1.145590       	0.046422       	0.011859       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379476   	381.301097     	141.496569     	0.531987       	0.000000       	0.531987       	6.012559       	0.015031       	0.694801       	0.035646       	0.009053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796842   	387.497435     	134.841178     	0.582633       	0.000000       	0.582633       	6.246190       	0.015615       	0.991835       	0.034236       	0.008618       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256682   	413.161977     	183.957801     	0.540160       	0.000000       	0.540160       	6.962451       	0.017406       	0.711085       	0.030503       	0.008042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774060   	417.947933     	179.116815     	0.482622       	0.000000       	0.482622       	4.868753       	0.012172       	0.454856       	0.070625       	0.027001       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333667   	421.862034     	174.939277     	0.440392       	0.000000       	0.440392       	4.163117       	0.010467       	0.454813       	0.238549       	0.065316       	0.000000       	0.000000       	0.000000       	0.000000       
