DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	129.672929     	148.969106     	0.844938       	0.000000       	0.844938       	11.083964      	0.027710       	1.581361       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	138.934542     	139.181469     	0.811370       	0.000000       	0.811370       	9.286679       	0.023217       	1.312329       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	146.957167     	130.514624     	0.777453       	0.000000       	0.777453       	8.044543       	0.020111       	1.399755       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	152.694713     	124.518001     	0.697294       	0.000000       	0.697294       	5.753573       	0.014384       	0.940344       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	159.677053     	117.366818     	0.721646       	0.000000       	0.721646       	7.001581       	0.017504       	0.871248       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	166.389236     	110.230686     	0.715250       	0.000000       	0.715250       	6.730757       	0.016827       	1.120626       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	172.538993     	103.853774     	0.699829       	0.000000       	0.699829       	6.166920       	0.015417       	0.909821       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	213.849972     	181.827806     	0.697677       	0.000000       	0.697677       	11.341107      	0.028353       	1.382538       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	223.540080     	171.205840     	0.668913       	0.000000       	0.668913       	9.716137       	0.024290       	1.574741       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	231.379719     	163.047871     	0.627063       	0.000000       	0.627063       	7.860955       	0.019652       	0.924078       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	239.249354     	154.413518     	0.616072       	0.000000       	0.616072       	7.891026       	0.019728       	1.359399       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	246.718780     	146.060035     	0.602324       	0.000000       	0.602324       	7.489807       	0.018725       	1.466000       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	253.780275     	138.465528     	0.590325       	0.000000       	0.590325       	7.080849       	0.017702       	1.103983       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	258.353142     	134.023203     	0.572370       	0.000000       	0.572370       	4.587407       	0.011469       	0.427288       	0.003072       	0.001034       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	291.588325     	220.866441     	0.453935       	0.000000       	0.453935       	3.293695       	0.008234       	0.317002       	0.050279       	0.019247       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	296.106733     	216.440009     	0.462767       	0.000000       	0.462767       	4.574305       	0.011436       	0.314895       	0.044461       	0.014614       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	301.078754     	211.650922     	0.467062       	0.000000       	0.467062       	5.033448       	0.012584       	0.222700       	0.048843       	0.016823       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	308.433959     	204.113854     	0.530737       	0.000000       	0.530737       	7.431358       	0.018578       	0.636447       	0.057575       	0.018149       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	318.303608     	193.756370     	0.609287       	0.000000       	0.609287       	9.963167       	0.024908       	1.003603       	0.068610       	0.020696       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	322.498730     	189.447235     	0.462807       	0.000000       	0.462807       	4.317896       	0.010797       	0.454046       	0.111978       	0.028340       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	327.347593     	184.632238     	0.474465       	0.000000       	0.474465       	4.921197       	0.012303       	0.368264       	0.060031       	0.019900       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000349   	345.720794     	210.936757     	0.499910       	0.000000       	0.499910       	7.204429       	0.018011       	0.740962       	0.063217       	0.020425       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500443   	353.299226     	202.837112     	0.499907       	0.000000       	0.499907       	7.663306       	0.019158       	0.936244       	0.065716       	0.020987       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985425   	361.845623     	193.338819     	0.515018       	0.000000       	0.515018       	8.625657       	0.021564       	1.387654       	0.057696       	0.015672       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456347   	370.854831     	183.709306     	0.529078       	0.000000       	0.529078       	9.082282       	0.022706       	1.076309       	0.050369       	0.012975       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911462   	380.077645     	173.599034     	0.544885       	0.000000       	0.544885       	9.291820       	0.023230       	1.363337       	0.045776       	0.011531       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379475   	387.119085     	166.209886     	0.531987       	0.000000       	0.531987       	7.094328       	0.017736       	0.826808       	0.035152       	0.008800       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796842   	394.438855     	158.240450     	0.582633       	0.000000       	0.582633       	7.371962       	0.018430       	1.180107       	0.033762       	0.008374       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256681   	416.784731     	195.628846     	0.540160       	0.000000       	0.540160       	7.394467       	0.018486       	0.757298       	0.030104       	0.007841       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774059   	421.866643     	190.462090     	0.482622       	0.000000       	0.482622       	5.164979       	0.012912       	0.484399       	0.070154       	0.026786       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333666   	426.040132     	185.995500     	0.440393       	0.000000       	0.440393       	4.422643       	0.011121       	0.484341       	0.238033       	0.065413       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852763   	431.458045     	180.467636     	0.480904       	0.000000       	0.480904       	5.649935       	0.014167       	0.358832       	0.217855       	0.056008       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492807   	436.160273     	175.361706     	0.359956       	0.000000       	0.359956       	5.016645       	0.012542       	0.449241       	0.301874       	0.054457       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125451   	441.393915     	169.246644     	0.367357       	0.000000       	0.367357       	5.765923       	0.014434       	0.716495       	0.517847       	0.065175       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815755   	446.600627     	163.028085     	0.309695       	0.000000       	0.309695       	5.731722       	0.014374       	0.796533       	0.510637       	0.050576       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416204   	476.189255     	207.776962     	0.399552       	0.000000       	0.399552       	11.206583      	0.028017       	0.694092       	0.339938       	0.040266       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922339   	485.936040     	197.495090     	0.493865       	0.000000       	0.493865       	10.160297      	0.025401       	0.615440       	0.388110       	0.074344       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384713   	495.041285     	187.916795     	0.537625       	0.000000       	0.537625       	9.488085       	0.023721       	0.627835       	0.359120       	0.076378       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850202   	501.812224     	180.891515     	0.534512       	0.000000       	0.534512       	7.121056       	0.017805       	0.438737       	0.332312       	0.077252       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354586   	507.519339     	174.647398     	0.495616       	0.000000       	0.495616       	6.007582       	0.015021       	0.732151       	0.285446       	0.067613       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880816   	512.359203     	169.478546     	0.473770       	0.000000       	0.473770       	5.236743       	0.013161       	0.405879       	0.383719       	0.085917       	0.000000       	0.000000       	0.000000       	0.000000       
