DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	169.042063     	197.482024     	0.844938       	0.000000       	0.844938       	14.720721      	0.036802       	2.132299       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	181.305734     	184.227643     	0.811370       	0.000000       	0.811370       	12.296261      	0.030741       	1.769491       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	191.899792     	172.495349     	0.777453       	0.000000       	0.777453       	10.622420      	0.026556       	1.887327       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	199.427395     	164.376659     	0.697294       	0.000000       	0.697294       	7.548117       	0.018870       	1.267867       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	208.622755     	154.703479     	0.721646       	0.000000       	0.721646       	9.220148       	0.023050       	1.174678       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	217.451336     	145.055427     	0.715250       	0.000000       	0.715250       	8.852459       	0.022131       	1.510843       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	225.521701     	136.436316     	0.699829       	0.000000       	0.699829       	8.092341       	0.020231       	1.226599       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	277.533445     	233.286758     	0.697677       	0.000000       	0.697677       	14.549895      	0.036375       	1.797340       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	289.942352     	219.466732     	0.668913       	0.000000       	0.668913       	12.441750      	0.031104       	2.047189       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	299.954253     	208.853830     	0.627063       	0.000000       	0.627063       	10.038662      	0.025097       	1.201304       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	310.006069     	197.624021     	0.616072       	0.000000       	0.616072       	10.078676      	0.025197       	1.767206       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	319.539574     	186.761520     	0.602324       	0.000000       	0.602324       	9.559058       	0.023898       	1.905766       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	328.544519     	176.887538     	0.590325       	0.000000       	0.590325       	9.029170       	0.022573       	1.435137       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	334.332669     	171.098830     	0.572370       	0.000000       	0.572370       	5.805805       	0.014515       	0.555273       	0.003141       	0.001122       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	364.165561     	246.301012     	0.453935       	0.000000       	0.453935       	3.646446       	0.009116       	0.355308       	0.054438       	0.022177       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	369.189400     	241.325432     	0.462767       	0.000000       	0.462767       	5.085408       	0.012714       	0.352938       	0.048855       	0.017251       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	374.722376     	235.942422     	0.467062       	0.000000       	0.467062       	5.600474       	0.014001       	0.249598       	0.053498       	0.019722       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	382.924014     	227.474201     	0.530737       	0.000000       	0.530737       	8.285658       	0.020714       	0.713299       	0.063305       	0.021448       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	393.938792     	215.840647     	0.609286       	0.000000       	0.609286       	11.118093      	0.027795       	1.124748       	0.075520       	0.024533       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	398.602272     	210.995370     	0.462807       	0.000000       	0.462807       	4.799259       	0.011999       	0.508824       	0.123781       	0.033881       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500261   	403.996185     	205.583465     	0.474464       	0.000000       	0.474464       	5.473686       	0.013684       	0.412683       	0.066089       	0.023713       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000351   	439.577712     	274.429096     	0.499909       	0.000000       	0.499909       	9.424761       	0.023562       	0.979517       	0.069673       	0.024422       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500446   	449.509923     	263.661586     	0.499906       	0.000000       	0.499906       	10.029731      	0.025074       	1.237685       	0.072445       	0.025115       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985429   	460.715827     	251.043896     	0.515017       	0.000000       	0.515017       	11.298399      	0.028246       	1.834308       	0.064249       	0.019279       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456352   	472.527079     	238.253087     	0.529077       	0.000000       	0.529077       	11.897229      	0.029743       	1.422657       	0.056235       	0.016135       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911467   	484.614689     	224.826851     	0.544884       	0.000000       	0.544884       	12.169176      	0.030423       	1.801944       	0.051143       	0.014405       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379481   	493.815946     	215.002538     	0.531986       	0.000000       	0.531986       	9.263671       	0.023159       	1.092628       	0.039255       	0.011016       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796849   	503.382228     	204.398083     	0.582633       	0.000000       	0.582633       	9.628057       	0.024070       	1.559031       	0.037705       	0.010500       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256689   	552.485168     	304.557766     	0.540159       	0.000000       	0.540159       	11.665631      	0.029164       	1.214845       	0.033528       	0.009737       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774067   	560.488377     	296.163238     	0.482622       	0.000000       	0.482622       	8.100124       	0.020250       	0.777025       	0.076665       	0.031465       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333675   	567.192518     	288.839053     	0.440392       	0.000000       	0.440392       	6.987705       	0.017494       	0.776871       	0.266070       	0.078952       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852772   	575.881692     	279.786946     	0.480903       	0.000000       	0.480903       	8.957599       	0.022409       	0.575412       	0.246016       	0.068786       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492817   	583.421768     	271.523938     	0.359955       	0.000000       	0.359955       	7.902665       	0.019757       	0.720299       	0.342831       	0.066652       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125460   	591.939196     	261.620588     	0.367356       	0.000000       	0.367356       	9.122053       	0.022814       	1.148652       	0.581811       	0.080602       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815765   	600.409689     	251.582082     	0.309695       	0.000000       	0.309695       	9.071556       	0.022708       	1.276646       	0.578355       	0.064893       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416214   	647.775382     	323.069548     	0.399551       	0.000000       	0.399551       	17.800494      	0.044501       	1.111591       	0.390300       	0.053053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922349   	663.418757     	306.444462     	0.493865       	0.000000       	0.493865       	16.133405      	0.040334       	0.985546       	0.449696       	0.098194       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384724   	678.029496     	290.909460     	0.537625       	0.000000       	0.537625       	15.067322      	0.037668       	1.005304       	0.418915       	0.101714       	0.000000       	0.000000       	0.000000       	0.000000       
