DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	48.735547      	94.526574      	67.930922      	0.000000       	67.930922      	4.248196       	0.010620       	0.656152       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	53.171554      	90.620719      	0.836899       	0.000000       	0.836899       	4.449248       	0.011123       	0.293506       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	57.478673      	86.712511      	0.814482       	0.000000       	0.814482       	4.319952       	0.010800       	0.402739       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	61.516799      	83.069836      	0.776384       	0.000000       	0.776384       	4.050134       	0.010125       	0.368924       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	65.601148      	79.450310      	0.767723       	0.000000       	0.767723       	4.096227       	0.010241       	0.291023       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	70.209541      	75.155193      	0.800831       	0.000000       	0.800831       	4.621689       	0.011554       	0.474258       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	74.937472      	70.639034      	0.820015       	0.000000       	0.820015       	4.741594       	0.011854       	0.594580       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	102.408277     	117.762445     	0.844938       	0.000000       	0.844938       	8.744565       	0.021861       	1.226962       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	109.738771     	110.204842     	0.811370       	0.000000       	0.811370       	7.350720       	0.018377       	1.018253       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	116.107285     	103.509892     	0.777453       	0.000000       	0.777453       	6.386285       	0.015966       	1.086117       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	120.693350     	98.878320      	0.697294       	0.000000       	0.697294       	4.599207       	0.011498       	0.729660       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	126.252133     	93.349449      	0.721646       	0.000000       	0.721646       	5.574456       	0.013936       	0.676061       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	131.602913     	87.829144      	0.715250       	0.000000       	0.715250       	5.365942       	0.013415       	0.869612       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	136.517216     	82.894555      	0.699829       	0.000000       	0.699829       	4.928369       	0.012321       	0.706049       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	158.995381     	120.207717     	0.697677       	0.000000       	0.697677       	7.498687       	0.018747       	0.885828       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	165.429798     	113.415339     	0.668913       	0.000000       	0.668913       	6.452286       	0.016131       	1.009005       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	170.668184     	108.197109     	0.627063       	0.000000       	0.627063       	5.253183       	0.013133       	0.592111       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	175.924657     	102.670799     	0.616072       	0.000000       	0.616072       	5.271314       	0.013178       	0.871068       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	180.922294     	97.321899      	0.602324       	0.000000       	0.602324       	5.011823       	0.012530       	0.939400       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	185.656369     	92.457185      	0.590325       	0.000000       	0.590325       	4.747596       	0.011869       	0.707443       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	188.773792     	89.627317      	0.572370       	0.000000       	0.572370       	3.128205       	0.007821       	0.274034       	0.002962       	0.000901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	225.314123     	188.220558     	0.453936       	0.000000       	0.453936       	2.842855       	0.007107       	0.267839       	0.045418       	0.015913       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	229.185096     	184.496878     	0.462767       	0.000000       	0.462767       	3.920379       	0.009801       	0.266068       	0.039605       	0.011823       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	233.438725     	180.467724     	0.467062       	0.000000       	0.467062       	4.308039       	0.010770       	0.188178       	0.043640       	0.013699       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	239.710071     	174.122194     	0.530737       	0.000000       	0.530737       	6.338455       	0.015846       	0.537811       	0.051262       	0.014678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	248.113702     	165.397493     	0.609287       	0.000000       	0.609287       	8.485869       	0.021215       	0.848119       	0.061024       	0.016688       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974723   	251.706245     	161.776066     	0.462807       	0.000000       	0.462807       	3.700492       	0.009257       	0.383742       	0.098692       	0.022535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500258   	255.852783     	157.729017     	0.474465       	0.000000       	0.474465       	4.210260       	0.010526       	0.311254       	0.053197       	0.015888       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000347   	289.877731     	228.318999     	0.499911       	0.000000       	0.499911       	7.850569       	0.019626       	0.809359       	0.055994       	0.016289       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500440   	298.150977     	219.443916     	0.499907       	0.000000       	0.499907       	8.352275       	0.020881       	1.022716       	0.058148       	0.016677       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985422   	307.481346     	209.038767     	0.515018       	0.000000       	0.515018       	9.404412       	0.023511       	1.515755       	0.050532       	0.012099       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456343   	317.316556     	198.488246     	0.529079       	0.000000       	0.529079       	9.903984       	0.024760       	1.175616       	0.044014       	0.009901       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911457   	327.385193     	187.410107     	0.544886       	0.000000       	0.544886       	10.133960      	0.025335       	1.489065       	0.039988       	0.008757       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379469   	335.067890     	179.306370     	0.531988       	0.000000       	0.531988       	7.732779       	0.019332       	0.902945       	0.030750       	0.006671       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796835   	343.056666     	170.562103     	0.582634       	0.000000       	0.582634       	8.038411       	0.020096       	1.288491       	0.029539       	0.006339       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256674   	378.439293     	239.723644     	0.540161       	0.000000       	0.540161       	9.182087       	0.022955       	0.946533       	0.026505       	0.006092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774051   	384.749600     	233.210194     	0.482623       	0.000000       	0.482623       	6.390634       	0.015977       	0.605438       	0.064351       	0.023433       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333658   	390.007899     	227.551425     	0.440393       	0.000000       	0.440393       	5.493816       	0.013893       	0.605346       	0.221624       	0.059347       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852754   	396.824283     	220.548790     	0.480904       	0.000000       	0.480904       	7.035138       	0.017692       	0.448402       	0.201062       	0.050001       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492798   	402.805447     	214.067606     	0.359956       	0.000000       	0.359956       	6.279815       	0.015702       	0.561324       	0.282950       	0.051206       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125441   	409.456713     	206.376667     	0.367357       	0.000000       	0.367357       	7.163102       	0.017947       	0.895194       	0.493888       	0.061951       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815746   	416.043089     	198.594507     	0.309696       	0.000000       	0.309696       	7.096810       	0.017844       	0.995045       	0.492590       	0.049043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416194   	451.945415     	251.873850     	0.399552       	0.000000       	0.399552       	13.763321      	0.034408       	0.856888       	0.326586       	0.039540       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922329   	464.022498     	239.130846     	0.493865       	0.000000       	0.493865       	12.477089      	0.031194       	0.759781       	0.368812       	0.068957       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384704   	475.309732     	227.237025     	0.537625       	0.000000       	0.537625       	11.656376      	0.029142       	0.775069       	0.340001       	0.070213       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850192   	483.713082     	218.488861     	0.534512       	0.000000       	0.534512       	8.741214       	0.021856       	0.541461       	0.316007       	0.071853       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354576   	490.799217     	210.705754     	0.495616       	0.000000       	0.495616       	7.375142       	0.018441       	0.903582       	0.270566       	0.062111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880806   	496.838720     	204.254551     	0.473770       	0.000000       	0.473770       	6.424151       	0.016197       	0.500823       	0.368452       	0.080651       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468042   	501.261061     	199.455164     	0.412764       	0.000000       	0.412764       	4.900883       	0.012698       	0.311267       	0.465844       	0.082923       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073379   	547.045211     	302.811418     	0.394663       	0.000000       	0.394663       	8.826550       	0.022753       	0.711858       	0.519648       	0.065733       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666515   	555.077375     	294.269042     	0.406864       	0.000000       	0.406864       	8.482575       	0.021214       	0.466665       	0.429196       	0.061250       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207320   	565.662432     	282.686879     	0.459195       	0.000000       	0.459195       	11.005560      	0.027522       	1.035799       	0.392981       	0.067618       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714270   	578.399618     	268.265777     	0.493050       	0.000000       	0.493050       	13.127970      	0.032824       	1.786182       	0.357960       	0.072576       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208705   	592.021119     	253.610352     	0.505565       	0.000000       	0.505565       	13.982411      	0.034962       	1.178579       	0.325948       	0.070753       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.697017   	605.381778     	238.852135     	0.511688       	0.000000       	0.511688       	13.697696      	0.034251       	1.572208       	0.302786       	0.068923       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180561   	618.249196     	223.894321     	0.516456       	0.000000       	0.516456       	13.188985      	0.032980       	2.285285       	0.288587       	0.066673       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653155   	644.203448     	240.402886     	0.527406       	0.000000       	0.527406       	15.026561      	0.037574       	2.742280       	0.284735       	0.065638       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087308   	660.198494     	222.733027     	0.565847       	0.000000       	0.565847       	16.329058      	0.040825       	1.906647       	0.293187       	0.067327       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516145   	674.674800     	207.122855     	0.571163       	0.000000       	0.571163       	14.806158      	0.037019       	1.375177       	0.292833       	0.066368       	0.000000       	0.000000       	0.000000       	0.000000       
