DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	74.035798      	158.731479     	67.930922      	0.000000       	67.930922      	7.055466       	0.017639       	1.143978       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	81.404340      	151.667708     	0.836899       	0.000000       	0.836899       	7.389132       	0.018473       	0.511538       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	88.535028      	144.629862     	0.814482       	0.000000       	0.814482       	7.150598       	0.017876       	0.701730       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	95.188160      	138.091850     	0.776384       	0.000000       	0.776384       	6.671694       	0.016679       	0.642702       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	101.908163     	131.614165     	0.767723       	0.000000       	0.767723       	6.738486       	0.016846       	0.506922       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	109.512795     	123.963569     	0.800831       	0.000000       	0.800831       	7.625437       	0.019064       	0.825989       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	117.299675     	115.939952     	0.820015       	0.000000       	0.820015       	7.808211       	0.019521       	1.035421       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	161.461978     	190.531821     	0.844938       	0.000000       	0.844938       	14.199701      	0.035499       	2.053369       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	173.295560     	177.774102     	0.811370       	0.000000       	0.811370       	11.865094      	0.029663       	1.703995       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	183.521223     	166.480979     	0.777453       	0.000000       	0.777453       	10.253102      	0.025633       	1.817475       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	190.792375     	158.666305     	0.697294       	0.000000       	0.697294       	7.291023       	0.018228       	1.220945       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	199.670690     	149.354436     	0.721646       	0.000000       	0.721646       	8.902308       	0.022256       	1.131207       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	208.196072     	140.066248     	0.715250       	0.000000       	0.715250       	8.548499       	0.021371       	1.454939       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	215.991291     	131.768355     	0.699829       	0.000000       	0.699829       	7.816506       	0.019541       	1.181215       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	263.328062     	218.415960     	0.697677       	0.000000       	0.697677       	13.622603      	0.034057       	1.677469       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	274.951273     	205.520129     	0.668913       	0.000000       	0.668913       	11.654085      	0.029135       	1.910659       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	284.335415     	195.616673     	0.627063       	0.000000       	0.627063       	9.409329       	0.023523       	1.121190       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	293.756599     	185.136925     	0.616072       	0.000000       	0.616072       	9.446463       	0.023616       	1.649357       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	302.693592     	174.999516     	0.602324       	0.000000       	0.602324       	8.961051       	0.022403       	1.778681       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	311.136869     	165.784307     	0.590325       	0.000000       	0.590325       	8.466095       	0.021165       	1.339439       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	316.573772     	160.384725     	0.572370       	0.000000       	0.572370       	5.453665       	0.013634       	0.518288       	0.003127       	0.001105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	354.069134     	257.907085     	0.453935       	0.000000       	0.453935       	3.808787       	0.009522       	0.372789       	0.053903       	0.021796       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	359.327341     	252.679766     	0.462767       	0.000000       	0.462767       	5.319786       	0.013299       	0.370300       	0.048279       	0.016900       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	365.120386     	247.024365     	0.467062       	0.000000       	0.467062       	5.860589       	0.014651       	0.261874       	0.052893       	0.019342       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	373.713826     	238.129041     	0.530737       	0.000000       	0.530737       	8.677689       	0.021694       	0.748372       	0.062554       	0.021008       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	385.258592     	225.909796     	0.609286       	0.000000       	0.609286       	11.648498      	0.029121       	1.180034       	0.074611       	0.024018       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	390.143206     	220.819307     	0.462807       	0.000000       	0.462807       	5.019473       	0.012550       	0.533823       	0.122309       	0.033187       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500260   	395.792819     	215.131545     	0.474464       	0.000000       	0.474464       	5.729272       	0.014323       	0.432954       	0.065336       	0.023234       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000351   	419.296499     	251.146939     	0.499909       	0.000000       	0.499909       	8.594020       	0.021485       	0.890496       	0.068855       	0.023902       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500445   	428.346402     	241.377308     	0.499906       	0.000000       	0.499906       	9.144363       	0.022861       	1.125173       	0.071599       	0.024585       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985428   	438.555718     	229.926243     	0.515017       	0.000000       	0.515017       	10.298472      	0.025746       	1.667609       	0.063411       	0.018802       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456351   	449.317155     	218.317886     	0.529077       	0.000000       	0.529077       	10.844028      	0.027110       	1.293407       	0.055480       	0.015713       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911467   	460.331450     	206.132011     	0.544884       	0.000000       	0.544884       	11.092478      	0.027731       	1.638282       	0.050451       	0.014019       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379480   	468.723132     	197.218991     	0.531986       	0.000000       	0.531986       	8.451535       	0.021129       	0.993471       	0.038725       	0.010718       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796848   	477.447259     	187.600584     	0.582633       	0.000000       	0.582633       	8.783281       	0.021958       	1.417760       	0.037195       	0.010213       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256688   	513.385036     	256.135961     	0.540160       	0.000000       	0.540160       	9.745215       	0.024363       	1.009567       	0.033076       	0.009470       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774066   	520.073007     	249.192309     	0.482622       	0.000000       	0.482622       	6.780542       	0.016951       	0.645732       	0.075619       	0.030611       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333674   	525.633478     	243.151887     	0.440392       	0.000000       	0.440392       	5.835197       	0.014617       	0.645617       	0.260109       	0.075751       	0.000000       	0.000000       	0.000000       	0.000000       
