DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	69.819090      	148.030661     	67.930922      	0.000000       	67.930922      	6.587588       	0.016469       	1.062673       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	76.698876      	141.493210     	0.836899       	0.000000       	0.836899       	6.899151       	0.017248       	0.475200       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	83.358969      	134.976970     	0.814482       	0.000000       	0.814482       	6.678823       	0.016697       	0.651898       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	89.576266      	128.921514     	0.776384       	0.000000       	0.776384       	6.234768       	0.015587       	0.597072       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	95.856994      	122.920189     	0.767723       	0.000000       	0.767723       	6.298110       	0.015745       	0.470939       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	102.962253     	115.828840     	0.800831       	0.000000       	0.800831       	7.124812       	0.017812       	0.767367       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	110.239308     	108.389799     	0.820015       	0.000000       	0.820015       	7.297108       	0.018243       	0.961948       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	153.881894     	183.581617     	0.844938       	0.000000       	0.844938       	13.678681      	0.034197       	1.974439       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	165.285386     	171.320561     	0.811370       	0.000000       	0.811370       	11.433926      	0.028585       	1.638500       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	175.142654     	160.466609     	0.777453       	0.000000       	0.777453       	9.883783       	0.024709       	1.747623       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	182.157355     	152.955952     	0.697294       	0.000000       	0.697294       	7.033929       	0.017585       	1.174022       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	190.718625     	144.005393     	0.721646       	0.000000       	0.721646       	8.584468       	0.021461       	1.087736       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	198.940806     	135.077070     	0.715250       	0.000000       	0.715250       	8.244539       	0.020611       	1.399034       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	206.460878     	127.100397     	0.699829       	0.000000       	0.699829       	7.540670       	0.018852       	1.135832       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	235.911474     	172.015438     	0.697677       	0.000000       	0.697677       	10.729195      	0.026823       	1.303442       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	245.083073     	162.003368     	0.668913       	0.000000       	0.668913       	9.196328       	0.022991       	1.484654       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	252.508383     	154.313626     	0.627063       	0.000000       	0.627063       	7.445588       	0.018614       	0.871216       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	259.961730     	146.174364     	0.616072       	0.000000       	0.616072       	7.473694       	0.018684       	1.281640       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	267.037285     	138.299589     	0.602324       	0.000000       	0.602324       	7.094948       	0.017737       	1.382151       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	273.727750     	131.140179     	0.590325       	0.000000       	0.590325       	6.708889       	0.016772       	1.040846       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	278.068396     	126.955033     	0.572370       	0.000000       	0.572370       	4.354627       	0.010887       	0.402889       	0.003094       	0.001062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	303.396342     	191.749609     	0.453935       	0.000000       	0.453935       	2.886214       	0.007216       	0.273146       	0.051053       	0.019787       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	307.327212     	187.954945     	0.462767       	0.000000       	0.462767       	3.986094       	0.009965       	0.271338       	0.045258       	0.015083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	311.647217     	183.849464     	0.467062       	0.000000       	0.467062       	4.380638       	0.010952       	0.191904       	0.049681       	0.017330       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	318.019963     	177.384267     	0.530737       	0.000000       	0.530737       	6.447475       	0.016119       	0.548459       	0.058610       	0.018730       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	326.560502     	168.496665     	0.609287       	0.000000       	0.609287       	8.631985       	0.021580       	0.864903       	0.069867       	0.021380       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	330.202582     	164.802672     	0.462807       	0.000000       	0.462807       	3.765469       	0.009415       	0.391331       	0.113974       	0.029201       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	334.412007     	160.678553     	0.474464       	0.000000       	0.474464       	4.281174       	0.010703       	0.317409       	0.061046       	0.020498       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000350   	376.781181     	252.821481     	0.499910       	0.000000       	0.499910       	8.705279       	0.021763       	0.901703       	0.064342       	0.021100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500443   	385.953870     	242.919264     	0.499906       	0.000000       	0.499906       	9.262714       	0.023157       	1.139409       	0.066869       	0.021662       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985426   	396.300780     	231.313805     	0.515018       	0.000000       	0.515018       	10.431816      	0.026080       	1.688661       	0.058827       	0.016265       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456348   	407.206418     	219.548713     	0.529078       	0.000000       	0.529078       	10.984481      	0.027461       	1.309689       	0.051382       	0.013496       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911463   	418.367862     	207.198513     	0.544885       	0.000000       	0.544885       	11.236237      	0.028091       	1.658848       	0.046703       	0.012005       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379476   	426.871444     	198.163819     	0.531987       	0.000000       	0.531987       	8.560844       	0.021402       	1.005836       	0.035860       	0.009165       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796843   	435.711910     	188.414158     	0.582633       	0.000000       	0.582633       	8.897151       	0.022243       	1.435144       	0.034442       	0.008725       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256683   	484.263462     	289.189814     	0.540160       	0.000000       	0.540160       	11.110049      	0.027775       	1.154455       	0.030723       	0.008190       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774060   	491.890640     	281.215559     	0.482622       	0.000000       	0.482622       	7.718460       	0.019296       	0.738417       	0.071986       	0.028330       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333668   	498.276914     	274.265268     	0.440392       	0.000000       	0.440392       	6.652399       	0.016682       	0.738284       	0.249443       	0.071708       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852764   	506.551785     	265.674076     	0.480904       	0.000000       	0.480904       	8.525270       	0.021345       	0.546825       	0.229055       	0.061710       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492809   	513.747257     	257.814026     	0.359956       	0.000000       	0.359956       	7.535486       	0.018839       	0.684521       	0.321174       	0.061354       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125453   	521.843742     	248.420326     	0.367356       	0.000000       	0.367356       	8.669437       	0.021689       	1.091619       	0.551264       	0.074279       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815757   	529.884390     	238.905068     	0.309695       	0.000000       	0.309695       	8.611686       	0.021574       	1.213267       	0.549463       	0.059650       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416206   	580.989104     	321.672598     	0.399551       	0.000000       	0.399551       	17.768599      	0.044422       	1.113422       	0.369464       	0.049230       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922341   	596.632161     	305.074157     	0.493865       	0.000000       	0.493865       	16.105075      	0.040263       	0.987231       	0.421755       	0.087998       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384716   	611.247410     	289.560666     	0.537625       	0.000000       	0.537625       	15.044036      	0.037610       	1.007080       	0.391176       	0.090410       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850204   	622.125209     	278.122810     	0.534512       	0.000000       	0.534512       	11.269029      	0.028174       	0.703339       	0.363056       	0.092430       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354589   	631.296583     	267.938458     	0.495615       	0.000000       	0.495615       	9.506238       	0.023767       	1.173728       	0.311097       	0.080242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880819   	639.137421     	259.482477     	0.473770       	0.000000       	0.473770       	8.279310       	0.020763       	0.650441       	0.417710       	0.102282       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468056   	644.914441     	253.171642     	0.412763       	0.000000       	0.412763       	6.319355       	0.016016       	0.404243       	0.526320       	0.105116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073393   	659.487584     	267.780059     	0.394663       	0.000000       	0.394663       	7.677046       	0.019530       	0.609200       	0.584372       	0.080583       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666530   	666.352395     	260.416964     	0.406864       	0.000000       	0.406864       	7.370585       	0.018429       	0.399373       	0.487345       	0.076088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207335   	675.419377     	250.450597     	0.459195       	0.000000       	0.459195       	9.539377       	0.023851       	0.886186       	0.448544       	0.085520       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714285   	686.352089     	238.045672     	0.493050       	0.000000       	0.493050       	11.370395      	0.028427       	1.527580       	0.409256       	0.092218       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208721   	698.072540     	225.419084     	0.505564       	0.000000       	0.505564       	12.124191      	0.030313       	1.007962       	0.373426       	0.090567       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.697033   	709.585079     	212.696667     	0.511687       	0.000000       	0.511687       	11.889337      	0.029726       	1.344767       	0.347072       	0.088771       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180578   	720.675580     	199.808183     	0.516455       	0.000000       	0.516455       	11.450111      	0.028629       	1.954828       	0.330982       	0.086151       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653172   	753.827146     	239.138353     	0.527406       	0.000000       	0.527406       	14.765285      	0.036917       	2.681951       	0.326802       	0.085019       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087326   	769.487087     	221.802767     	0.565846       	0.000000       	0.565846       	16.036644      	0.040093       	1.864788       	0.336611       	0.087296       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516163   	783.649596     	206.493462     	0.571163       	0.000000       	0.571163       	14.535438      	0.036340       	1.345030       	0.336589       	0.086276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15562.925608   	797.164061     	191.667292     	0.590555       	0.000000       	0.590555       	13.886529      	0.034718       	1.530196       	0.337346       	0.085753       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15562.336501   	809.009437     	178.763034     	0.589107       	0.000000       	0.589107       	12.208965      	0.030524       	1.284401       	0.333065       	0.083899       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15561.701021   	821.441882     	164.888555     	0.635480       	0.000000       	0.635480       	12.804850      	0.032015       	1.705108       	0.340390       	0.085575       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15561.018297   	834.158201     	150.179045     	0.682724       	0.000000       	0.682724       	13.103043      	0.032761       	2.289191       	0.353964       	0.088569       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15560.287338   	886.697350     	230.913184     	0.730959       	0.000000       	0.730959       	19.187375      	0.047972       	2.059444       	0.350254       	0.086725       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15559.589425   	904.122884     	212.212739     	0.697913       	0.000000       	0.697913       	17.818292      	0.044551       	1.580067       	0.348207       	0.085887       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15558.906907   	920.548027     	193.669460     	0.682518       	0.000000       	0.682518       	16.816499      	0.042048       	2.409299       	0.349308       	0.085819       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15558.232013   	935.526102     	177.354935     	0.674894       	0.000000       	0.674894       	15.366323      	0.038424       	1.623096       	0.349824       	0.085607       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15557.561250   	948.533938     	162.413776     	0.670763       	0.000000       	0.670763       	13.387869      	0.033479       	2.224053       	0.346554       	0.084430       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15556.932975   	957.206874     	153.075545     	0.628275       	0.000000       	0.628275       	9.019993       	0.022562       	0.946513       	0.324495       	0.078366       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15556.299467   	966.801686     	141.981612     	0.633507       	0.000000       	0.633507       	9.939921       	0.024864       	1.787519       	0.320245       	0.077675       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15555.649154   	1020.496130    	220.373021     	0.650314       	0.000000       	0.650314       	20.323056      	0.050825       	3.185849       	0.327787       	0.079583       	0.000000       	0.000000       	0.000000       	0.000000       
