DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15617.543570   	73.350216      	138.651052     	46.807530      	0.000000       	46.807530      	6.368227       	0.015921       	0.788251       	0.002090       	0.000110       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15616.695680   	80.386714      	131.684518     	0.847890       	0.000000       	0.847890       	7.056187       	0.017640       	0.758236       	0.002049       	0.000097       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15615.873068   	86.361691      	125.859164     	0.822612       	0.000000       	0.822612       	5.991788       	0.014979       	0.656179       	0.001832       	0.000078       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15614.926141   	93.068914      	119.516776     	0.946926       	0.000000       	0.946926       	6.735109       	0.016838       	0.554205       	0.011048       	0.003612       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15614.375042   	97.136927      	115.226564     	0.551099       	0.000000       	0.551099       	4.426255       	0.011799       	0.415056       	0.346444       	0.021427       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15613.713431   	102.023024     	110.474687     	0.661612       	0.000000       	0.661612       	5.061514       	0.012754       	0.351975       	0.162663       	0.012055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15612.860112   	107.058619     	105.891079     	0.853318       	0.000000       	0.853318       	5.209658       	0.014151       	0.227269       	0.159910       	0.014132       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15612.036490   	132.934394     	155.338510     	0.823622       	0.000000       	0.823622       	7.270768       	0.018270       	0.355423       	0.126723       	0.013547       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15611.240450   	139.709610     	148.635951     	0.796040       	0.000000       	0.796040       	6.902449       	0.017256       	0.596149       	0.109978       	0.012268       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15610.447657   	146.928042     	141.324224     	0.792792       	0.000000       	0.792792       	7.348880       	0.018372       	0.755639       	0.112075       	0.012472       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15609.710726   	153.483072     	134.380510     	0.736931       	0.000000       	0.736931       	6.671028       	0.016678       	1.009617       	0.099321       	0.009960       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15609.024558   	159.221191     	128.105082     	0.686168       	0.000000       	0.686168       	5.838068       	0.014595       	1.123529       	0.085354       	0.007914       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15608.371483   	164.458636     	122.392035     	0.653075       	0.000000       	0.653075       	5.327456       	0.013319       	1.038665       	0.076693       	0.006824       	0.000000       	0.000000       	0.000000       	0.000000       
