DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15593.058492   	78.104983      	157.594340     	71.292608      	0.000000       	71.292608      	11.135236      	0.027838       	1.563032       	0.002415       	0.000117       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15592.081739   	88.555175      	146.876182     	0.976752       	0.000000       	0.976752       	10.478677      	0.026197       	1.216233       	0.002289       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15591.158274   	97.468209      	137.799146     	0.923465       	0.000000       	0.923465       	8.937266       	0.022343       	1.063236       	0.001889       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15590.269573   	105.593691     	129.584247     	0.888701       	0.000000       	0.888701       	8.147701       	0.020369       	0.955898       	0.001850       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15589.400727   	113.310194     	121.791611     	0.868846       	0.000000       	0.868846       	7.737686       	0.019344       	0.923797       	0.001839       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15588.483410   	122.244035     	112.240739     	0.917317       	0.000000       	0.917317       	8.958222       	0.022396       	1.509966       	0.001985       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15587.570978   	130.520157     	103.355843     	0.912431       	0.000000       	0.912431       	8.298877       	0.020747       	1.498451       	0.002007       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15586.665554   	170.308433     	167.192822     	0.905425       	0.000000       	0.905425       	13.574250      	0.033936       	2.244195       	0.002039       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15585.807486   	181.402384     	155.707490     	0.858067       	0.000000       	0.858067       	11.123734      	0.027809       	1.219665       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15584.973455   	191.640018     	144.299127     	0.834032       	0.000000       	0.834032       	10.265261      	0.025663       	1.977134       	0.001964       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15584.073315   	204.321302     	130.046585     	0.900139       	0.000000       	0.900139       	12.715245      	0.031788       	2.437436       	0.002172       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15583.170615   	215.826059     	118.118717     	0.902700       	0.000000       	0.902700       	11.535832      	0.028840       	1.294737       	0.002235       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15582.318095   	221.252620     	113.145357     	0.852520       	0.000000       	0.852520       	5.462654       	0.013657       	0.363227       	0.022436       	0.010256       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15581.467559   	226.998375     	107.919361     	0.850536       	0.000000       	0.850536       	5.778585       	0.014446       	0.297947       	0.018384       	0.008134       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15580.676002   	262.321261     	177.431499     	0.791557       	0.000000       	0.791557       	9.103691       	0.022759       	0.925728       	0.008045       	0.002776       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.859295   	272.787003     	166.492736     	0.816707       	0.000000       	0.816707       	10.498106      	0.026245       	1.257364       	0.006119       	0.001494       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15579.062056   	283.360961     	155.310191     	0.797240       	0.000000       	0.797240       	10.604719      	0.026512       	1.375065       	0.004250       	0.000841       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15578.311354   	292.665367     	145.660881     	0.750702       	0.000000       	0.750702       	9.331019       	0.023328       	1.068994       	0.003285       	0.000521       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15577.574095   	301.673850     	136.276310     	0.737259       	0.000000       	0.737259       	9.033967       	0.022585       	1.087863       	0.002899       	0.000381       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15576.862589   	309.779456     	128.148923     	0.711506       	0.000000       	0.711506       	8.128541       	0.020321       	0.710352       	0.002614       	0.000288       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15576.180797   	314.777305     	123.295930     	0.681792       	0.000000       	0.681792       	5.023560       	0.012559       	0.511225       	0.013152       	0.006892       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15575.514084   	357.216605     	216.029998     	0.666713       	0.000000       	0.666713       	8.729271       	0.021823       	0.453375       	0.018149       	0.009772       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15574.857826   	366.198029     	207.180633     	0.656258       	0.000000       	0.656258       	9.013477       	0.022534       	0.492146       	0.009518       	0.004677       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15574.188493   	376.016250     	197.290805     	0.669333       	0.000000       	0.669333       	9.847411       	0.024619       	0.711750       	0.004572       	0.001590       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15573.525965   	385.798213     	187.455566     	0.662528       	0.000000       	0.662528       	9.809216       	0.024523       	0.688551       	0.002729       	0.000423       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15572.905582   	394.674448     	178.558486     	0.620383       	0.000000       	0.620383       	8.900956       	0.022252       	0.616508       	0.002468       	0.000326       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15572.357558   	401.276285     	171.804923     	0.548024       	0.000000       	0.548024       	6.620474       	0.016551       	0.681113       	0.002087       	0.000222       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15571.841224   	407.484268     	165.162838     	0.516334       	0.000000       	0.516334       	6.225187       	0.015563       	0.933231       	0.001641       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
