DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15580.506456   	71.746829      	147.004891     	83.844644      	0.000000       	83.844644      	12.280436      	0.030701       	1.059317       	0.002906       	0.000153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15579.425807   	83.137892      	135.341133     	1.080649       	0.000000       	1.080649       	11.422318      	0.028556       	1.322089       	0.002699       	0.000127       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15578.384615   	91.872209      	126.711702     	1.041192       	0.000000       	1.041192       	8.758585       	0.021896       	0.912038       	0.002372       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15577.361942   	98.749312      	120.263405     	1.022673       	0.000000       	1.022673       	6.930659       	0.017327       	0.540312       	0.036228       	0.009505       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15576.349079   	105.421241     	114.009222     	1.012863       	0.000000       	1.012863       	6.735328       	0.016838       	0.531718       	0.046561       	0.012045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15575.563974   	109.400401     	110.323447     	0.785105       	0.000000       	0.785105       	4.213840       	0.010765       	0.257039       	0.223915       	0.024173       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15574.740253   	113.822866     	106.373568     	0.823722       	0.000000       	0.823722       	4.593265       	0.011526       	0.180336       	0.159275       	0.020895       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15573.996120   	150.604051     	189.752386     	0.744132       	0.000000       	0.744132       	6.870990       	0.017177       	0.494324       	0.072628       	0.011459       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15573.332480   	156.116666     	184.105740     	0.663640       	0.000000       	0.663640       	5.586232       	0.013966       	0.724054       	0.059652       	0.008858       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15572.693874   	162.087493     	177.748263     	0.638606       	0.000000       	0.638606       	6.044437       	0.015111       	0.951647       	0.058499       	0.008469       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15572.094176   	167.624550     	171.730141     	0.599698       	0.000000       	0.599698       	5.598291       	0.013996       	1.019530       	0.047238       	0.005770       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15571.513170   	173.092355     	165.968306     	0.581006       	0.000000       	0.581006       	5.523089       	0.013808       	0.819752       	0.041476       	0.004825       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15570.949508   	178.342170     	160.430452     	0.563661       	0.000000       	0.563661       	5.299847       	0.013250       	0.801668       	0.036782       	0.004134       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15570.429899   	182.443847     	156.110423     	0.519609       	0.000000       	0.519609       	4.142382       	0.010356       	0.697256       	0.030350       	0.003268       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15569.801380   	208.780256     	204.759206     	0.628518       	0.000000       	0.628518       	7.647664       	0.019119       	0.582070       	0.042136       	0.008179       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15569.230538   	214.390297     	199.351624     	0.570843       	0.000000       	0.570843       	5.672499       	0.014181       	0.305927       	0.048277       	0.011675       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15568.661357   	220.028381     	193.881861     	0.569181       	0.000000       	0.569181       	5.705277       	0.014263       	0.333667       	0.052929       	0.013456       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15568.144815   	224.582827     	189.330164     	0.516542       	0.000000       	0.516542       	4.668453       	0.011671       	0.399786       	0.102336       	0.020581       	0.000000       	0.000000       	0.000000       	0.000000       
