DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15579.330953   	76.657355      	158.066480     	85.020147      	0.000000       	85.020147      	13.443961      	0.033610       	1.259706       	0.002996       	0.000155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15578.237933   	88.358369      	146.016689     	1.093020       	0.000000       	1.093020       	11.733041      	0.029333       	1.409770       	0.002695       	0.000123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15577.181898   	98.926050      	134.950927     	1.056034       	0.000000       	1.056034       	10.596724      	0.026492       	1.525073       	0.002550       	0.000107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15576.111091   	107.620983     	126.383043     	1.070807       	0.000000       	1.070807       	8.718835       	0.021797       	0.919855       	0.002105       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15575.093917   	115.850800     	118.054838     	1.017175       	0.000000       	1.017175       	8.252539       	0.020631       	1.092841       	0.002091       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15574.139997   	123.362531     	110.923566     	0.953919       	0.000000       	0.953919       	7.532609       	0.018832       	0.552583       	0.002047       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15573.193214   	131.050331     	103.282727     	0.946783       	0.000000       	0.946783       	7.709177       	0.019273       	0.878444       	0.002104       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15572.285522   	168.413888     	170.152151     	0.907693       	0.000000       	0.907693       	11.143428      	0.027859       	1.644841       	0.002012       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15571.432586   	178.347347     	159.281319     	0.852936       	0.000000       	0.852936       	9.960332       	0.024901       	1.763436       	0.001972       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
