DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.363615   	66.274460      	132.035438     	62.987485      	0.000000       	62.987485      	6.793682       	0.016984       	0.658365       	0.002238       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.534747   	72.386054      	126.070013     	0.828868       	0.000000       	0.828868       	6.128903       	0.015322       	0.665390       	0.001988       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.751995   	77.910249      	120.777321     	0.782752       	0.000000       	0.782752       	5.539868       	0.013850       	0.535577       	0.001823       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15599.006952   	82.982186      	116.026595     	0.745042       	0.000000       	0.745042       	5.086188       	0.012715       	0.409580       	0.001535       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.292656   	87.693070      	111.500966     	0.714297       	0.000000       	0.714297       	4.724183       	0.011810       	0.515744       	0.001489       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.592139   	92.348715      	106.981659     	0.700517       	0.000000       	0.700517       	4.668797       	0.011672       	0.551028       	0.001479       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.932876   	96.331685      	102.979626     	0.659263       	0.000000       	0.659263       	3.994359       	0.009986       	0.666937       	0.001403       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.270389   	121.622904     	152.418549     	0.662487       	0.000000       	0.662487       	6.559051       	0.016398       	0.914513       	0.001434       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.598465   	128.592147     	145.297039     	0.671924       	0.000000       	0.671924       	6.988189       	0.017470       	0.805244       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.927456   	135.444159     	138.124763     	0.671009       	0.000000       	0.671009       	6.870685       	0.017177       	0.972600       	0.001496       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.275495   	141.594863     	131.741724     	0.651961       	0.000000       	0.651961       	6.167601       	0.015419       	0.867399       	0.001477       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.632969   	147.543559     	125.532207     	0.642526       	0.000000       	0.642526       	5.965090       	0.014913       	0.886954       	0.001482       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15593.026617   	152.465260     	120.237210     	0.606352       	0.000000       	0.606352       	4.935461       	0.012339       	0.965888       	0.001421       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.442959   	157.006507     	115.592016     	0.583658       	0.000000       	0.583658       	4.554023       	0.011385       	0.674829       	0.001391       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.827511   	205.794616     	215.519946     	0.615448       	0.000000       	0.615448       	11.317893      	0.028295       	1.869625       	0.001490       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15591.202924   	217.113202     	202.675884     	0.624587       	0.000000       	0.624587       	11.348498      	0.028371       	2.120151       	0.001540       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.601816   	226.439153     	191.954084     	0.601108       	0.000000       	0.601108       	9.350841       	0.023377       	1.972067       	0.001514       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15590.037295   	233.898835     	183.523455     	0.564521       	0.000000       	0.564521       	7.479829       	0.018700       	1.515322       	0.001447       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.467182   	242.151726     	174.038946     	0.570113       	0.000000       	0.570113       	8.275061       	0.020688       	1.779561       	0.001482       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.905341   	249.970625     	165.530332     	0.561841       	0.000000       	0.561841       	7.839987       	0.019600       	1.230468       	0.001488       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15588.334141   	258.204482     	155.852398     	0.571200       	0.000000       	0.571200       	8.256033       	0.020640       	1.993102       	0.001536       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.760341   	292.218481     	209.555804     	0.573800       	0.000000       	0.573800       	11.544433      	0.028861       	2.825961       	0.001572       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15587.156497   	305.286980     	195.371343     	0.603845       	0.000000       	0.603845       	13.102935      	0.032757       	1.685371       	0.001678       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.530372   	318.680694     	180.596904     	0.626125       	0.000000       	0.626125       	13.429062      	0.033573       	1.971501       	0.001775       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.878495   	332.318873     	164.836244     	0.651876       	0.000000       	0.651876       	13.674248      	0.034186       	2.738289       	0.001884       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.213950   	345.101002     	150.560296     	0.664545       	0.000000       	0.664545       	12.816135      	0.032040       	2.124358       	0.001965       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.529483   	357.637275     	136.219356     	0.684467       	0.000000       	0.684467       	12.569762      	0.031424       	2.455645       	0.002065       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.835252   	369.222149     	122.890027     	0.694231       	0.000000       	0.694231       	11.616058      	0.029040       	2.407503       	0.002144       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.145973   	412.042012     	182.119705     	0.689279       	0.000000       	0.689279       	16.613578      	0.041534       	3.596024       	0.002181       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.438172   	428.545756     	163.247587     	0.707800       	0.000000       	0.707800       	16.547392      	0.041368       	3.032526       	0.002280       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.749334   	441.868753     	147.072486     	0.688839       	0.000000       	0.688839       	13.358676      	0.033397       	3.505263       	0.002283       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.056752   	454.430044     	132.190354     	0.692582       	0.000000       	0.692582       	12.595113      	0.031488       	2.979601       	0.002334       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.349594   	466.725259     	119.007560     	0.707158       	0.000000       	0.707158       	12.328464      	0.030821       	1.561488       	0.002428       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.664395   	476.489177     	108.393191     	0.685199       	0.000000       	0.685199       	9.790814       	0.024477       	1.508755       	0.002419       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.002016   	484.589431     	99.215284      	0.662379       	0.000000       	0.662379       	8.122948       	0.020307       	1.717339       	0.002387       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.362902   	523.607289     	164.036703     	0.639113       	0.000000       	0.639113       	12.802211      	0.032006       	1.765483       	0.002348       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15577.723736   	536.330971     	150.142832     	0.639166       	0.000000       	0.639166       	12.757953      	0.031895       	1.775084       	0.002376       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.088399   	548.150023     	136.508536     	0.635337       	0.000000       	0.635337       	11.851084      	0.029628       	2.418549       	0.002404       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15576.463900   	558.445387     	125.095643     	0.624500       	0.000000       	0.624500       	10.323580      	0.025809       	1.713812       	0.002407       	0.000095       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15575.826136   	567.219158     	115.851283     	0.637764       	0.000000       	0.637764       	8.798150       	0.021995       	1.083974       	0.002384       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15575.073231   	573.202622     	109.316497     	0.752905       	0.000000       	0.752905       	6.244383       	0.015611       	1.043308       	0.245307       	0.089983       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15574.447340   	576.810545     	105.128303     	0.625890       	0.000000       	0.625890       	4.069879       	0.010175       	0.744205       	0.451782       	0.130538       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15573.981123   	617.444807     	198.876032     	0.466217       	0.000000       	0.466217       	7.408621       	0.018522       	0.559867       	0.505838       	0.097925       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15573.496945   	624.631398     	191.192584     	0.484178       	0.000000       	0.484178       	7.745624       	0.019364       	0.422002       	0.539668       	0.091805       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15572.942791   	631.504969     	183.925223     	0.554154       	0.000000       	0.554154       	7.394199       	0.018491       	0.427317       	0.502138       	0.086422       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15572.381888   	637.916186     	177.347074     	0.560903       	0.000000       	0.560903       	6.849766       	0.017129       	0.289286       	0.421420       	0.098858       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15571.802391   	645.194875     	169.816272     	0.579496       	0.000000       	0.579496       	7.648944       	0.019126       	0.461354       	0.351128       	0.094253       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15571.205965   	652.942785     	161.778593     	0.596426       	0.000000       	0.596426       	8.090816       	0.020230       	0.543290       	0.322676       	0.093084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15570.698165   	657.763946     	156.738847     	0.507800       	0.000000       	0.507800       	5.099846       	0.012750       	0.447700       	0.265935       	0.077893       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15570.169941   	685.199922     	203.468013     	0.528224       	0.000000       	0.528224       	8.987343       	0.022468       	1.061715       	0.278899       	0.084006       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15569.639490   	694.216408     	193.517801     	0.530452       	0.000000       	0.530452       	9.309579       	0.023274       	1.171085       	0.269820       	0.078305       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15569.092477   	701.250018     	186.074885     	0.547013       	0.000000       	0.547013       	7.333091       	0.018333       	0.656838       	0.281148       	0.085290       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15568.505952   	709.993493     	176.502527     	0.586525       	0.000000       	0.586525       	9.050907       	0.022627       	1.107976       	0.284804       	0.084191       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15567.934004   	719.252336     	166.067158     	0.571947       	0.000000       	0.571947       	9.576438       	0.023941       	1.430879       	0.293654       	0.085967       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15567.350895   	729.070282     	155.276402     	0.583109       	0.000000       	0.583109       	10.133182      	0.025333       	1.240683       	0.289903       	0.082776       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15566.745968   	739.236734     	144.373309     	0.604927       	0.000000       	0.604927       	10.485018      	0.026213       	1.023002       	0.292353       	0.081840       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15566.085812   	768.456843     	189.654459     	0.660156       	0.000000       	0.660156       	10.779365      	0.026948       	0.849641       	0.282308       	0.080011       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15565.551666   	774.310039     	183.265090     	0.534147       	0.000000       	0.534147       	6.242129       	0.015605       	0.681386       	0.373328       	0.112455       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15564.987236   	781.433033     	175.825445     	0.564430       	0.000000       	0.564430       	7.465705       	0.018667       	0.538369       	0.324045       	0.099466       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15564.402964   	789.310256     	167.487434     	0.584272       	0.000000       	0.584272       	8.211505       	0.020529       	0.710779       	0.313753       	0.097477       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15563.832009   	797.109076     	158.844832     	0.570955       	0.000000       	0.570955       	8.132055       	0.020330       	1.081503       	0.312905       	0.096468       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15563.257318   	804.975468     	150.526015     	0.574691       	0.000000       	0.574691       	8.195426       	0.020489       	0.698082       	0.308545       	0.092792       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15562.665009   	811.003957     	144.041787     	0.592308       	0.000000       	0.592308       	6.468133       	0.016170       	0.608404       	0.423473       	0.133504       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15562.063682   	857.341043     	231.101313     	0.601327       	0.000000       	0.601327       	12.963766      	0.032409       	1.828035       	0.344271       	0.105278       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15561.461779   	871.091884     	215.255764     	0.601903       	0.000000       	0.601903       	14.116913      	0.035292       	2.330540       	0.330780       	0.099853       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15560.867272   	884.662421     	199.516934     	0.594507       	0.000000       	0.594507       	13.922978      	0.034807       	2.410358       	0.317633       	0.092608       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15560.257566   	898.471396     	184.240621     	0.609707       	0.000000       	0.609707       	14.162219      	0.035406       	1.723800       	0.317839       	0.091051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15559.565243   	909.565707     	172.166862     	0.692323       	0.000000       	0.692323       	11.427008      	0.028568       	1.339074       	0.304130       	0.085523       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15558.939980   	918.528440     	162.388151     	0.625263       	0.000000       	0.625263       	9.274499       	0.023186       	1.129476       	0.288579       	0.079981       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15558.340729   	924.938280     	155.255856     	0.599251       	0.000000       	0.599251       	7.226859       	0.018085       	0.504686       	0.798934       	0.195029       	0.000000       	0.000000       	0.000000       	0.000000       
