DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15584.908860   	74.675336      	170.143549     	79.442240      	0.000000       	79.442240      	7.866170       	0.019665       	0.432521       	0.171168       	0.000116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15584.089813   	81.164007      	163.953150     	0.819048       	0.000000       	0.819048       	6.572364       	0.016431       	0.437083       	0.067262       	0.010388       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15583.277914   	87.939324      	157.137175     	0.811899       	0.000000       	0.811899       	6.834052       	0.017085       	0.793821       	0.041650       	0.006001       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15582.566583   	92.633880      	152.526136     	0.711330       	0.000000       	0.711330       	4.767836       	0.011920       	0.554532       	0.061361       	0.009657       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15581.837822   	97.867475      	147.330608     	0.728762       	0.000000       	0.728762       	5.320761       	0.013302       	0.603529       	0.073865       	0.011601       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15581.098042   	103.609305     	141.687069     	0.739780       	0.000000       	0.739780       	5.801423       	0.014504       	0.581895       	0.045089       	0.007018       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15580.407704   	108.595469     	136.883362     	0.690338       	0.000000       	0.690338       	5.037650       	0.012594       	0.456396       	0.038892       	0.005823       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15579.693319   	156.648733     	238.452710     	0.714384       	0.000000       	0.714384       	10.622798      	0.026557       	1.022239       	0.042977       	0.006242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15578.983201   	167.656107     	226.140438     	0.710118       	0.000000       	0.710118       	11.070740      	0.027677       	1.951650       	0.035689       	0.004386       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15578.291406   	177.370508     	215.710906     	0.691795       	0.000000       	0.691795       	9.768017       	0.024420       	1.353310       	0.029196       	0.003122       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15577.653056   	184.329194     	208.611146     	0.638350       	0.000000       	0.638350       	6.999693       	0.017499       	0.738417       	0.023509       	0.002434       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15576.967337   	192.065340     	200.866838     	0.685719       	0.000000       	0.685719       	7.798405       	0.019496       	0.631622       	0.042762       	0.010212       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15576.354411   	198.123474     	194.916924     	0.612925       	0.000000       	0.612925       	6.101474       	0.015254       	0.461366       	0.028087       	0.005169       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15575.750493   	204.528921     	187.887832     	0.603919       	0.000000       	0.603919       	6.446548       	0.016116       	1.186462       	0.024984       	0.002992       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15575.094209   	243.299405     	252.984472     	0.656284       	0.000000       	0.656284       	12.581206      	0.031453       	1.728438       	0.029269       	0.003251       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15574.374466   	259.024141     	236.408658     	0.719743       	0.000000       	0.719743       	15.793923      	0.039485       	1.501633       	0.029702       	0.003130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15573.711427   	270.740762     	223.144128     	0.663040       	0.000000       	0.663040       	11.768380      	0.029421       	2.159190       	0.022339       	0.002318       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15573.101385   	279.808940     	213.636648     	0.610042       	0.000000       	0.610042       	9.108946       	0.022772       	1.008575       	0.017996       	0.001845       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15572.454264   	290.797022     	202.062575     	0.647121       	0.000000       	0.647121       	11.034059      	0.027585       	1.187135       	0.018392       	0.001865       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15571.773817   	298.994728     	193.852321     	0.680447       	0.000000       	0.680447       	8.249923       	0.020625       	0.640778       	0.031592       	0.010926       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15571.195069   	304.458880     	188.364820     	0.578748       	0.000000       	0.578748       	5.739027       	0.016109       	0.327223       	0.258766       	0.064112       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15570.665854   	342.412023     	269.526482     	0.529215       	0.000000       	0.529215       	8.317960       	0.021623       	1.049592       	0.343195       	0.058081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15570.118660   	350.981894     	260.772499     	0.547194       	0.000000       	0.547194       	8.820127       	0.022496       	0.481050       	0.227760       	0.040248       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15569.583553   	358.713561     	252.766427     	0.535107       	0.000000       	0.535107       	7.924155       	0.020239       	0.617023       	0.172250       	0.033542       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15569.038660   	366.978447     	244.229837     	0.544893       	0.000000       	0.544893       	8.434290       	0.021086       	0.647193       	0.148319       	0.033544       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15568.535725   	374.095774     	236.607242     	0.502936       	0.000000       	0.502936       	7.265542       	0.018164       	0.859989       	0.130051       	0.030035       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15568.056096   	381.006272     	228.861245     	0.479629       	0.000000       	0.479629       	7.045605       	0.017614       	1.180021       	0.117493       	0.024704       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15567.591595   	387.765404     	220.843888     	0.464501       	0.000000       	0.464501       	6.880950       	0.017202       	1.600909       	0.104615       	0.020549       	0.000000       	0.000000       	0.000000       	0.000000       
