DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15628.995716   	79.516445      	151.057303     	35.355384      	0.000000       	35.355384      	5.030772       	0.012577       	0.767309       	0.001750       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15628.149736   	85.963585      	144.207373     	0.845980       	0.000000       	0.845980       	6.465128       	0.016163       	1.230782       	0.001826       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15627.281925   	93.699793      	136.143274     	0.867811       	0.000000       	0.867811       	7.757516       	0.019394       	1.174393       	0.001914       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15626.364532   	102.705583     	127.309930     	0.917393       	0.000000       	0.917393       	9.030204       	0.022576       	0.720533       	0.001840       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15625.476887   	110.741055     	119.289189     	0.887645       	0.000000       	0.887645       	8.057439       	0.020144       	0.850946       	0.001824       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15624.645051   	117.370201     	112.567363     	0.831836       	0.000000       	0.831836       	6.647515       	0.016619       	0.906147       	0.001749       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15623.898467   	122.323440     	107.620753     	0.746584       	0.000000       	0.746584       	4.967253       	0.012418       	0.725941       	0.001597       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15623.155623   	146.411153     	158.750315     	0.742844       	0.000000       	0.742844       	5.352508       	0.013381       	0.510773       	0.001413       	0.000038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15622.455668   	152.336279     	152.806120     	0.699955       	0.000000       	0.699955       	5.941399       	0.014853       	0.702751       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15621.778018   	158.513874     	146.694892     	0.677650       	0.000000       	0.677650       	6.194507       	0.015486       	0.594372       	0.001426       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15621.093106   	164.821637     	139.799325     	0.684912       	0.000000       	0.684912       	6.325022       	0.015813       	1.255456       	0.001447       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15620.452826   	170.489517     	133.992183     	0.640280       	0.000000       	0.640280       	5.683510       	0.014209       	0.763913       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15619.708928   	179.567790     	124.408594     	0.743897       	0.000000       	0.743897       	9.102716       	0.022757       	1.224770       	0.001687       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
