DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.657797   	61.967587      	123.216646     	64.693303      	0.000000       	64.693303      	6.235423       	0.015589       	0.491234       	0.002247       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15598.763439   	68.676308      	116.642351     	0.894358       	0.000000       	0.894358       	6.727717       	0.016819       	0.740935       	0.002177       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15597.878372   	75.127443      	110.244522     	0.885067       	0.000000       	0.885067       	6.469375       	0.016173       	0.813522       	0.002066       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.047714   	79.393934      	106.446498     	0.830658       	0.000000       	0.830658       	4.289827       	0.010725       	0.338854       	0.012612       	0.003512       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.476446   	82.061793      	104.027799     	0.571268       	0.000000       	0.571268       	2.845545       	0.007364       	0.144423       	0.170322       	0.008481       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.763836   	85.488377      	100.949928     	0.712610       	0.000000       	0.712610       	3.561140       	0.009254       	0.229340       	0.125303       	0.011960       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.214927   	88.760374      	97.718277      	0.548909       	0.000000       	0.548909       	3.450780       	0.008883       	0.329781       	0.169900       	0.012885       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.824977   	128.295672     	192.509582     	0.389950       	0.000000       	0.389950       	6.094790       	0.019328       	0.753855       	0.290164       	0.015718       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15594.328772   	134.658719     	185.979955     	0.496205       	0.000000       	0.496205       	6.610128       	0.016929       	0.415704       	0.230152       	0.015257       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15593.749064   	141.134254     	179.529531     	0.579709       	0.000000       	0.579709       	6.697356       	0.017877       	0.332777       	0.203943       	0.013014       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.133653   	147.461774     	172.989629     	0.615410       	0.000000       	0.615410       	6.516206       	0.018707       	0.639107       	0.169979       	0.013537       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15592.529794   	153.389420     	166.644758     	0.603860       	0.000000       	0.603860       	6.085457       	0.017133       	0.863274       	0.140678       	0.012577       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15591.885607   	160.691423     	159.120822     	0.644187       	0.000000       	0.644187       	7.456104       	0.020690       	0.712018       	0.133412       	0.012786       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.254754   	167.487266     	151.917182     	0.630852       	0.000000       	0.630852       	6.933948       	0.018322       	0.900544       	0.119783       	0.011390       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15590.649514   	202.796037     	220.717220     	0.605240       	0.000000       	0.605240       	9.188962       	0.023817       	1.366241       	0.106373       	0.009869       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15589.995977   	214.269102     	208.343322     	0.653537       	0.000000       	0.653537       	11.611727      	0.029641       	1.415709       	0.109021       	0.010161       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15589.342850   	224.923664     	197.337111     	0.653127       	0.000000       	0.653127       	10.787144      	0.027603       	0.872194       	0.104980       	0.009429       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15588.667245   	235.967483     	185.429742     	0.675605       	0.000000       	0.675605       	11.176911      	0.028602       	1.406063       	0.104489       	0.009266       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15588.026159   	243.299018     	178.221683     	0.641087       	0.000000       	0.641087       	7.442722       	0.019287       	0.406424       	0.091900       	0.007629       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15587.408676   	250.733096     	170.290776     	0.617482       	0.000000       	0.617482       	7.541413       	0.019545       	1.006976       	0.087790       	0.007319       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15586.776672   	258.012885     	162.908399     	0.632004       	0.000000       	0.632004       	7.383743       	0.019158       	0.630638       	0.084796       	0.006953       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15586.161617   	296.654242     	244.015685     	0.615056       	0.000000       	0.615056       	8.870812       	0.022891       	0.636958       	0.206564       	0.044192       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15585.687303   	302.918733     	237.318108     	0.474314       	0.000000       	0.474314       	6.762781       	0.020413       	0.409111       	0.477877       	0.053615       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15585.205573   	309.143312     	230.788791     	0.481730       	0.000000       	0.481730       	6.687728       	0.021034       	0.323319       	0.442115       	0.057018       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15584.695203   	315.918740     	223.545643     	0.510370       	0.000000       	0.510370       	7.140039       	0.021652       	0.613479       	0.342960       	0.046108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15584.194548   	322.247946     	216.860849     	0.500655       	0.000000       	0.500655       	6.615248       	0.020068       	0.570201       	0.265973       	0.033320       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15583.685533   	328.775810     	209.721529     	0.509016       	0.000000       	0.509016       	6.771223       	0.020150       	0.877113       	0.223208       	0.033816       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.184264   	335.544188     	202.139078     	0.501268       	0.000000       	0.501268       	6.981132       	0.020264       	1.102588       	0.192490       	0.032675       	0.000000       	0.000000       	0.000000       	0.000000       
