DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	48.735547      	94.526574      	67.930922      	0.000000       	67.930922      	4.248196       	0.010620       	0.656152       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	53.171554      	90.620719      	0.836899       	0.000000       	0.836899       	4.449248       	0.011123       	0.293506       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	57.478673      	86.712511      	0.814482       	0.000000       	0.814482       	4.319952       	0.010800       	0.402739       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	61.516799      	83.069836      	0.776384       	0.000000       	0.776384       	4.050134       	0.010125       	0.368924       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	65.601148      	79.450310      	0.767723       	0.000000       	0.767723       	4.096227       	0.010241       	0.291023       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	70.209541      	75.155193      	0.800831       	0.000000       	0.800831       	4.621689       	0.011554       	0.474258       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	74.937472      	70.639034      	0.820015       	0.000000       	0.820015       	4.741594       	0.011854       	0.594580       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	88.835083      	86.694288      	0.844938       	0.000000       	0.844938       	6.415548       	0.016039       	0.874137       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	94.243026      	81.356825      	0.811370       	0.000000       	0.811370       	5.423350       	0.013558       	0.725483       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	98.964763      	76.625025      	0.777453       	0.000000       	0.777453       	4.735381       	0.011838       	0.773872       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	102.404449     	73.352454      	0.697294       	0.000000       	0.697294       	3.449955       	0.008625       	0.519911       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	106.545974     	69.438712      	0.721646       	0.000000       	0.721646       	4.153646       	0.010384       	0.481742       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	110.541360     	65.527097      	0.715250       	0.000000       	0.715250       	4.007151       	0.010018       	0.619714       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	114.225631     	62.028490      	0.699829       	0.000000       	0.699829       	3.695255       	0.009238       	0.503182       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	126.683828     	79.694506      	0.697677       	0.000000       	0.697677       	4.972403       	0.012431       	0.559257       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	130.977707     	75.419984      	0.668913       	0.000000       	0.668913       	4.306384       	0.010766       	0.637051       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	134.505817     	72.134573      	0.627063       	0.000000       	0.627063       	3.538620       	0.008847       	0.373854       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	138.044163     	68.651756      	0.616072       	0.000000       	0.616072       	3.548882       	0.008872       	0.550007       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	141.416592     	65.278359      	0.602324       	0.000000       	0.602324       	3.382541       	0.008456       	0.593180       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	144.620330     	62.208526      	0.590325       	0.000000       	0.590325       	3.213424       	0.008034       	0.446734       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	146.780757     	60.438926      	0.572370       	0.000000       	0.572370       	2.168695       	0.005422       	0.173276       	0.002846       	0.000772       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	163.411144     	104.077798     	0.453936       	0.000000       	0.453936       	1.673949       	0.004185       	0.141115       	0.039377       	0.011973       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	165.601043     	102.170897     	0.462768       	0.000000       	0.462768       	2.229460       	0.005574       	0.140209       	0.033987       	0.008753       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	167.989238     	100.107010     	0.467062       	0.000000       	0.467062       	2.431757       	0.006079       	0.099192       	0.037483       	0.010161       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	171.447385     	96.843279      	0.530737       	0.000000       	0.530737       	3.510904       	0.008777       	0.283564       	0.043980       	0.010881       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	176.044962     	92.343646      	0.609287       	0.000000       	0.609287       	4.661582       	0.011654       	0.447339       	0.052351       	0.012375       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	178.063676     	90.497114      	0.462807       	0.000000       	0.462807       	2.106818       	0.005280       	0.202522       	0.082823       	0.016056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500256   	180.382867     	88.437239      	0.474466       	0.000000       	0.474466       	2.370035       	0.005925       	0.164305       	0.044919       	0.011385       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000345   	191.472112     	107.433717     	0.499911       	0.000000       	0.499911       	3.645644       	0.009114       	0.357790       	0.047284       	0.011678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500437   	195.285375     	103.609415     	0.499908       	0.000000       	0.499908       	3.872063       	0.009680       	0.452147       	0.049120       	0.011971       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985418   	199.578251     	99.108004      	0.515019       	0.000000       	0.515019       	4.346127       	0.010865       	0.670302       	0.042386       	0.008497       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456338   	204.108350     	94.538634      	0.529080       	0.000000       	0.529080       	4.578443       	0.011446       	0.520007       	0.036898       	0.006894       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911451   	208.755484     	89.732311      	0.544887       	0.000000       	0.544887       	4.692418       	0.011731       	0.658791       	0.033553       	0.006079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379462   	212.351434     	86.233685      	0.531989       	0.000000       	0.531989       	3.630915       	0.009077       	0.399700       	0.025887       	0.004631       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796827   	216.091727     	82.470710      	0.582635       	0.000000       	0.582635       	3.774617       	0.009437       	0.570993       	0.024888       	0.004399       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256666   	231.543747     	112.110781     	0.540162       	0.000000       	0.540162       	4.235015       	0.010588       	0.415076       	0.022408       	0.004264       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774042   	234.471633     	109.338252     	0.482624       	0.000000       	0.482624       	2.989593       	0.007474       	0.265559       	0.054233       	0.016674       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333648   	236.814088     	106.986057     	0.440394       	0.000000       	0.440394       	2.527004       	0.006875       	0.265586       	0.177674       	0.038647       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852743   	239.848219     	104.068512     	0.480905       	0.000000       	0.480905       	3.201612       	0.008439       	0.196838       	0.159042       	0.031788       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492786   	242.501915     	101.303959     	0.359956       	0.000000       	0.359956       	2.878013       	0.007210       	0.246496       	0.217107       	0.031187       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125429   	245.355810     	98.035218      	0.367358       	0.000000       	0.367358       	3.242825       	0.008237       	0.393273       	0.380693       	0.036891       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815733   	248.175686     	94.709038      	0.309696       	0.000000       	0.309696       	3.198464       	0.008262       	0.437412       	0.370325       	0.027008       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416181   	261.194592     	111.484949     	0.399552       	0.000000       	0.399552       	5.772720       	0.014433       	0.350921       	0.239381       	0.020256       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922315   	266.152664     	106.427975     	0.493866       	0.000000       	0.493866       	5.239572       	0.013113       	0.311268       	0.268387       	0.036553       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384689   	270.794388     	101.747975     	0.537626       	0.000000       	0.537626       	4.899975       	0.012259       	0.317651       	0.245992       	0.037121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850175   	274.247806     	98.369788      	0.534513       	0.000000       	0.534513       	3.690530       	0.009245       	0.222171       	0.227867       	0.037392       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354558   	277.163249     	95.375369      	0.495617       	0.000000       	0.495617       	3.119190       	0.007810       	0.370846       	0.195937       	0.032691       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880786   	279.600984     	92.929488      	0.473772       	0.000000       	0.473772       	2.713943       	0.007117       	0.205710       	0.269092       	0.042770       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468021   	281.327194     	91.145393      	0.412765       	0.000000       	0.412765       	2.068963       	0.006277       	0.127896       	0.336476       	0.042263       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073357   	291.430579     	110.820739     	0.394664       	0.000000       	0.394664       	2.987220       	0.009100       	0.232098       	0.374736       	0.032946       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666492   	294.022267     	108.168508     	0.406865       	0.000000       	0.406865       	2.906878       	0.007340       	0.152218       	0.307851       	0.030437       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207296   	297.495606     	104.526133     	0.459196       	0.000000       	0.459196       	3.763696       	0.009493       	0.337876       	0.280864       	0.033997       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714245   	301.709838     	99.956452      	0.493051       	0.000000       	0.493051       	4.480161       	0.011234       	0.582571       	0.254696       	0.036395       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208678   	306.252131     	95.291100      	0.505566       	0.000000       	0.505566       	4.786380       	0.012005       	0.384538       	0.232082       	0.035738       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.696989   	310.733254     	90.580610      	0.511689       	0.000000       	0.511689       	4.708993       	0.011803       	0.513186       	0.216067       	0.035061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180532   	315.068397     	85.798255      	0.516457       	0.000000       	0.516457       	4.552667       	0.011410       	0.746146       	0.206114       	0.033995       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653124   	328.247481     	101.891959     	0.527408       	0.000000       	0.527408       	5.897258       	0.014773       	1.036446       	0.203402       	0.033507       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087276   	334.443197     	95.315820      	0.565848       	0.000000       	0.565848       	6.421237       	0.016072       	0.720750       	0.209449       	0.034395       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516111   	340.068613     	89.517814      	0.571165       	0.000000       	0.571165       	5.849262       	0.014647       	0.519909       	0.209199       	0.033922       	0.000000       	0.000000       	0.000000       	0.000000       
