DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	48.735547      	94.526574      	67.930922      	0.000000       	67.930922      	4.248196       	0.010620       	0.656152       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	53.171554      	90.620719      	0.836899       	0.000000       	0.836899       	4.449248       	0.011123       	0.293506       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	57.478673      	86.712511      	0.814482       	0.000000       	0.814482       	4.319952       	0.010800       	0.402739       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	61.516799      	83.069836      	0.776384       	0.000000       	0.776384       	4.050134       	0.010125       	0.368924       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	65.601148      	79.450310      	0.767723       	0.000000       	0.767723       	4.096227       	0.010241       	0.291023       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	70.209541      	75.155193      	0.800831       	0.000000       	0.800831       	4.621689       	0.011554       	0.474258       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	74.937472      	70.639034      	0.820015       	0.000000       	0.820015       	4.741594       	0.011854       	0.594580       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	88.835083      	86.694288      	0.844938       	0.000000       	0.844938       	6.415548       	0.016039       	0.874137       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	94.243026      	81.356825      	0.811370       	0.000000       	0.811370       	5.423350       	0.013558       	0.725483       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	98.964763      	76.625025      	0.777453       	0.000000       	0.777453       	4.735381       	0.011838       	0.773872       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	102.404449     	73.352454      	0.697294       	0.000000       	0.697294       	3.449955       	0.008625       	0.519911       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	106.545974     	69.438712      	0.721646       	0.000000       	0.721646       	4.153646       	0.010384       	0.481742       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	110.541360     	65.527097      	0.715250       	0.000000       	0.715250       	4.007151       	0.010018       	0.619714       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	114.225631     	62.028490      	0.699829       	0.000000       	0.699829       	3.695255       	0.009238       	0.503182       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	131.087567     	90.204410      	0.697677       	0.000000       	0.697677       	5.627781       	0.014069       	0.643976       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	135.936760     	85.276690      	0.668913       	0.000000       	0.668913       	4.863090       	0.012158       	0.733543       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	139.908573     	81.489844      	0.627063       	0.000000       	0.627063       	3.983435       	0.009959       	0.430473       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	143.892673     	77.476869      	0.616072       	0.000000       	0.616072       	3.995752       	0.009989       	0.633296       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	147.686771     	73.590931      	0.602324       	0.000000       	0.602324       	3.805267       	0.009513       	0.682995       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	151.287599     	70.055382      	0.590325       	0.000000       	0.590325       	3.611509       	0.009029       	0.514365       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	153.696386     	68.010639      	0.572370       	0.000000       	0.572370       	2.417701       	0.006044       	0.199413       	0.002869       	0.000797       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	166.525000     	100.456498     	0.453936       	0.000000       	0.453936       	1.622417       	0.004056       	0.135659       	0.039746       	0.012205       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044615   	168.640625     	98.629149      	0.462767       	0.000000       	0.462767       	2.155327       	0.005388       	0.134790       	0.034314       	0.008926       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577553   	170.946422     	96.651341      	0.467062       	0.000000       	0.467062       	2.349510       	0.005874       	0.095361       	0.037839       	0.010356       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046816   	174.280592     	93.522422      	0.530737       	0.000000       	0.530737       	3.387038       	0.008468       	0.272618       	0.044400       	0.011091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437529   	178.710580     	89.207546      	0.609287       	0.000000       	0.609287       	4.494078       	0.011235       	0.430085       	0.052855       	0.012617       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974722   	180.659547     	87.437894      	0.462807       	0.000000       	0.462807       	2.037739       	0.005106       	0.194720       	0.083666       	0.016363       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500256   	182.898104     	85.464743      	0.474466       	0.000000       	0.474466       	2.289638       	0.005724       	0.157979       	0.045358       	0.011602       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000345   	198.018983     	115.398001     	0.499911       	0.000000       	0.499911       	3.928467       	0.009821       	0.388186       	0.047766       	0.011918       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500437   	202.132262     	111.234022     	0.499908       	0.000000       	0.499908       	4.173323       	0.010433       	0.490564       	0.049611       	0.012208       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985418   	206.763840     	106.335701     	0.515019       	0.000000       	0.515019       	4.686119       	0.011715       	0.727221       	0.042826       	0.008676       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456338   	211.650434     	101.364425     	0.529080       	0.000000       	0.529080       	4.936215       	0.012341       	0.564140       	0.037281       	0.007042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911451   	216.661675     	96.136854      	0.544887       	0.000000       	0.544887       	5.057783       	0.012644       	0.714675       	0.033898       	0.006211       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379463   	220.531858     	92.329188      	0.531989       	0.000000       	0.531989       	3.906096       	0.009765       	0.433559       	0.026147       	0.004731       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796828   	224.557100     	88.232059      	0.582635       	0.000000       	0.582635       	4.060529       	0.010151       	0.619235       	0.025136       	0.004494       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256666   	236.051026     	106.852549     	0.540162       	0.000000       	0.540162       	4.026617       	0.010067       	0.393054       	0.022624       	0.004352       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774042   	238.835940     	104.236935     	0.482624       	0.000000       	0.482624       	2.846762       	0.007117       	0.251476       	0.054731       	0.016970       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333648   	241.050325     	102.025428     	0.440394       	0.000000       	0.440394       	2.400393       	0.006524       	0.251509       	0.179485       	0.039405       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852743   	243.918071     	99.283435      	0.480905       	0.000000       	0.480905       	3.036482       	0.007996       	0.186416       	0.160740       	0.032437       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492787   	246.413999     	96.687678      	0.359956       	0.000000       	0.359956       	2.722255       	0.006819       	0.233458       	0.219508       	0.031795       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125429   	249.097556     	93.606584      	0.367358       	0.000000       	0.367358       	3.075965       	0.007807       	0.372488       	0.384601       	0.037575       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815733   	251.752425     	90.465320      	0.309696       	0.000000       	0.309696       	3.036640       	0.007813       	0.414320       	0.373958       	0.027473       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416182   	264.535258     	107.489653     	0.399552       	0.000000       	0.399552       	5.538491       	0.013847       	0.336728       	0.241811       	0.020586       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922316   	269.278612     	102.657512     	0.493866       	0.000000       	0.493866       	5.027317       	0.012581       	0.298690       	0.271382       	0.037311       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384690   	273.718927     	98.189441      	0.537626       	0.000000       	0.537626       	4.700872       	0.011761       	0.304826       	0.248796       	0.037912       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850176   	277.019976     	94.970575      	0.534513       	0.000000       	0.534513       	3.540165       	0.008868       	0.213214       	0.230248       	0.038082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354559   	279.806548     	92.118121      	0.495617       	0.000000       	0.495617       	2.992165       	0.007492       	0.355906       	0.198102       	0.033365       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880787   	282.132626     	89.789904      	0.473772       	0.000000       	0.473772       	2.604558       	0.006802       	0.197432       	0.271677       	0.043509       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15568.468022   	283.773222     	88.094232      	0.412765       	0.000000       	0.412765       	1.985683       	0.005946       	0.122753       	0.339141       	0.042797       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15568.073358   	314.220311     	162.279091     	0.394664       	0.000000       	0.394664       	4.591274       	0.012984       	0.368532       	0.381201       	0.034959       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15567.666493   	318.337431     	158.002725     	0.406865       	0.000000       	0.406865       	4.441586       	0.011170       	0.241644       	0.313296       	0.032277       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15567.207297   	323.805410     	152.157756     	0.459196       	0.000000       	0.459196       	5.767671       	0.014495       	0.536495       	0.285198       	0.035371       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15566.714246   	330.406845     	144.848145     	0.493051       	0.000000       	0.493051       	6.877251       	0.017224       	0.925411       	0.258592       	0.037704       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15566.208680   	337.481910     	137.414249     	0.505566       	0.000000       	0.505566       	7.328740       	0.018358       	0.610722       	0.235317       	0.036832       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15565.696991   	344.432948     	129.923266     	0.511689       	0.000000       	0.511689       	7.187879       	0.017999       	0.814793       	0.218842       	0.035999       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15565.180534   	351.139384     	122.322792     	0.516457       	0.000000       	0.516457       	6.932487       	0.017358       	1.184445       	0.208692       	0.034866       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15564.653126   	366.627574     	135.652681     	0.527408       	0.000000       	0.527408       	8.214673       	0.020565       	1.482845       	0.205918       	0.034348       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15564.087278   	375.332282     	126.248398     	0.565848       	0.000000       	0.565848       	8.939098       	0.022365       	1.031034       	0.212025       	0.035249       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15563.516113   	383.224664     	117.951422     	0.571165       	0.000000       	0.571165       	8.124477       	0.020334       	0.743663       	0.211761       	0.034758       	0.000000       	0.000000       	0.000000       	0.000000       
