DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15591.702599   	87.419285      	179.730256     	72.648501      	0.000000       	72.648501      	12.954161      	0.032385       	1.464085       	0.002491       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15590.706533   	99.188707      	167.616956     	0.996066       	0.000000       	0.996066       	11.801248      	0.029503       	1.308118       	0.002323       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15589.865035   	106.363905     	160.822246     	0.841498       	0.000000       	0.841498       	7.194870       	0.017987       	0.441338       	0.001685       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15589.049244   	113.740315     	152.676307     	0.815791       	0.000000       	0.815791       	7.396584       	0.018491       	1.565146       	0.001682       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15588.177141   	123.209338     	142.142847     	0.872103       	0.000000       	0.872103       	9.494596       	0.023736       	1.910968       	0.001837       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15587.257764   	133.628182     	131.110067     	0.919376       	0.000000       	0.919376       	10.446934      	0.026117       	1.505222       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15586.365136   	142.530660     	122.132814     	0.892628       	0.000000       	0.892628       	8.926745       	0.022317       	0.943136       	0.001951       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15585.498789   	195.212563     	218.769020     	0.866347       	0.000000       	0.866347       	15.221895      	0.038055       	1.508246       	0.001937       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15584.639843   	209.925519     	202.736239     	0.858946       	0.000000       	0.858946       	14.751799      	0.036879       	2.139928       	0.001963       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15583.780450   	224.319679     	186.688440     	0.859393       	0.000000       	0.859393       	14.432250      	0.036081       	2.474941       	0.002010       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15582.936999   	237.381572     	172.317140     	0.843451       	0.000000       	0.843451       	13.096656      	0.032742       	2.118096       	0.002021       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15582.123957   	248.705541     	160.445195     	0.813042       	0.000000       	0.813042       	11.354353      	0.028386       	1.330633       	0.001998       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15581.345736   	258.539501     	149.963357     	0.778220       	0.000000       	0.778220       	9.860572       	0.024651       	1.399487       	0.001960       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15580.606686   	266.973244     	140.493365     	0.739050       	0.000000       	0.739050       	8.456790       	0.021142       	1.752252       	0.001906       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15579.838264   	322.375275     	232.595942     	0.768422       	0.000000       	0.768422       	17.948926      	0.044872       	3.216918       	0.002023       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.055137   	340.351051     	211.825536     	0.783127       	0.000000       	0.783127       	18.022945      	0.045057       	3.530588       	0.002112       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15578.259588   	357.719152     	192.602380     	0.795549       	0.000000       	0.795549       	17.413836      	0.043535       	2.604869       	0.002201       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15577.487519   	372.198910     	177.065890     	0.772069       	0.000000       	0.772069       	14.518251      	0.036296       	1.790309       	0.002197       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15576.740114   	384.710737     	163.277582     	0.747405       	0.000000       	0.747405       	12.545373      	0.031363       	1.990339       	0.002182       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15575.978821   	397.863171     	149.065292     	0.761293       	0.000000       	0.761293       	13.187671      	0.032969       	1.785912       	0.002268       	0.000075       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15575.210591   	410.523798     	134.815279     	0.768230       	0.000000       	0.768230       	12.694709      	0.031737       	2.323534       	0.002345       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15574.466978   	467.074511     	226.232958     	0.743614       	0.000000       	0.743614       	19.100798      	0.047752       	2.725137       	0.002332       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15573.737475   	484.297294     	206.536715     	0.729503       	0.000000       	0.729503       	17.268293      	0.043171       	3.157452       	0.002340       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15573.007282   	500.980819     	188.214832     	0.730192       	0.000000       	0.730192       	16.727734      	0.041819       	2.324342       	0.002390       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15572.271420   	517.108378     	169.765451     	0.735863       	0.000000       	0.735863       	16.170446      	0.040426       	3.014797       	0.002460       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15571.545509   	531.213514     	154.342762     	0.725911       	0.000000       	0.725911       	14.142979      	0.035357       	2.005621       	0.002486       	0.000090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15570.819880   	544.385508     	140.152381     	0.725629       	0.000000       	0.725629       	13.207547      	0.033019       	1.708463       	0.002534       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15570.039330   	553.165808     	131.383436     	0.780550       	0.000000       	0.780550       	8.818517       	0.022046       	0.730977       	0.016172       	0.008556       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15569.366602   	599.863295     	233.571440     	0.672728       	0.000000       	0.672728       	9.925309       	0.024814       	1.059415       	0.703009       	0.136548       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15568.630623   	611.477553     	220.872831     	0.735980       	0.000000       	0.735980       	12.033623      	0.030084       	1.400965       	0.389281       	0.107441       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15567.875705   	624.141242     	207.785521     	0.754917       	0.000000       	0.754917       	12.983046      	0.032458       	0.859181       	0.286899       	0.080677       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15567.163947   	635.771659     	195.480047     	0.711758       	0.000000       	0.711758       	11.906596      	0.029766       	1.110637       	0.246412       	0.075197       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15566.494424   	646.442998     	183.865900     	0.669523       	0.000000       	0.669523       	10.913105      	0.027283       	1.370565       	0.214484       	0.059362       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15565.850496   	656.436242     	172.834511     	0.643928       	0.000000       	0.643928       	10.210666      	0.025527       	1.464651       	0.191896       	0.051151       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15565.198632   	666.854933     	161.083860     	0.651864       	0.000000       	0.651864       	10.629543      	0.026574       	1.772971       	0.184278       	0.048134       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15564.441200   	720.094479     	256.813497     	0.757432       	0.000000       	0.757432       	15.980818      	0.039952       	1.546977       	0.201320       	0.058562       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15563.711135   	733.759766     	242.427439     	0.730065       	0.000000       	0.730065       	13.891431      	0.034729       	1.224692       	0.191416       	0.054813       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15563.017268   	745.417365     	229.710605     	0.693866       	0.000000       	0.693866       	11.989235      	0.029973       	1.421465       	0.301663       	0.101548       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15562.599925   	754.262770     	218.454174     	0.417343       	0.000000       	0.417343       	9.645445       	0.024114       	2.028330       	0.775925       	0.095760       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15562.225753   	761.289170     	210.628018     	0.374172       	0.000000       	0.374172       	7.445843       	0.018617       	0.754484       	0.400826       	0.057715       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15561.810660   	766.917675     	204.402647     	0.415093       	0.000000       	0.415093       	6.064653       	0.015162       	0.575812       	0.420986       	0.097450       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15561.313395   	772.871942     	198.084363     	0.497266       	0.000000       	0.497266       	6.356740       	0.015892       	0.458809       	0.386581       	0.096528       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15560.731182   	825.819698     	293.947550     	0.582213       	0.000000       	0.582213       	15.881045      	0.039703       	1.337981       	0.393586       	0.112787       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15560.180735   	839.668762     	278.645420     	0.550447       	0.000000       	0.550447       	14.237628      	0.035594       	1.614949       	0.352970       	0.104440       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15559.600311   	852.797528     	264.525099     	0.580423       	0.000000       	0.580423       	13.497927      	0.033745       	1.202818       	0.335416       	0.099765       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15559.035348   	862.688576     	253.355317     	0.564963       	0.000000       	0.564963       	10.344567      	0.025861       	1.390177       	0.427658       	0.136568       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15558.509252   	871.278925     	244.146261     	0.526097       	0.000000       	0.526097       	8.953726       	0.022384       	0.781426       	0.340993       	0.105535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15557.964559   	881.385800     	232.465474     	0.544693       	0.000000       	0.544693       	10.475575      	0.026189       	1.749904       	0.342511       	0.108031       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15557.454215   	890.606644     	221.648600     	0.510344       	0.000000       	0.510344       	9.565048       	0.023913       	1.762171       	0.320290       	0.096967       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15556.912769   	946.562504     	312.620934     	0.541446       	0.000000       	0.541446       	18.832219      	0.047081       	3.236893       	0.329278       	0.099622       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15556.362369   	964.999689     	290.390043     	0.550400       	0.000000       	0.550400       	18.813351      	0.047034       	3.967939       	0.329133       	0.097822       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15555.761962   	986.168318     	265.239777     	0.600407       	0.000000       	0.600407       	21.569577      	0.053924       	4.181097       	0.347023       	0.102611       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15555.160674   	1004.515452    	244.101346     	0.601288       	0.000000       	0.601288       	18.737915      	0.046845       	3.001805       	0.343936       	0.099446       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15554.548403   	1021.451887    	225.263485     	0.612271       	0.000000       	0.612271       	17.321344      	0.043304       	2.128788       	0.341605       	0.097647       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15553.817076   	1036.099560    	209.434920     	0.731327       	0.000000       	0.731327       	15.023469      	0.037559       	1.536423       	0.338237       	0.095836       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15553.121572   	1046.535996    	198.480266     	0.695504       	0.000000       	0.695504       	10.821314      	0.027054       	0.828843       	0.357825       	0.109287       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15552.400956   	1102.195371    	291.556832     	0.720616       	0.000000       	0.720616       	18.595071      	0.046488       	1.548980       	0.389207       	0.125745       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15551.644638   	1122.572162    	269.473600     	0.756318       	0.000000       	0.756318       	20.809062      	0.052024       	2.030488       	0.380247       	0.117068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15550.843997   	1141.104786    	249.051863     	0.800642       	0.000000       	0.800642       	19.073704      	0.047686       	2.148674       	0.493395       	0.169215       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15550.059554   	1157.056162    	231.078568     	0.784443       	0.000000       	0.784443       	16.686608      	0.041718       	2.071131       	0.693513       	0.232549       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15549.288469   	1172.597564    	213.023620     	0.771085       	0.000000       	0.771085       	16.131261      	0.040330       	2.694771       	0.549530       	0.173632       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15548.550932   	1185.535717    	198.629932     	0.737536       	0.000000       	0.737536       	13.451961      	0.033632       	1.679263       	0.480176       	0.153984       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15547.884142   	1195.867080    	187.190490     	0.666790       	0.000000       	0.666790       	10.796195      	0.026992       	1.310038       	0.437839       	0.136831       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15547.222474   	1253.487653    	276.504592     	0.661669       	0.000000       	0.661669       	20.591054      	0.051480       	3.256513       	0.419001       	0.128342       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15546.568013   	1267.318813    	261.548286     	0.654461       	0.000000       	0.654461       	14.240162      	0.035603       	1.370604       	0.373399       	0.111568       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15545.908587   	1283.632198    	243.632731     	0.659426       	0.000000       	0.659426       	16.739420      	0.041852       	1.835561       	0.384183       	0.116123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-08	15545.225040   	1302.109475    	222.531760     	0.683547       	0.000000       	0.683547       	18.920867      	0.047306       	2.863651       	0.396284       	0.118725       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-09	15544.564462   	1317.880406    	204.090052     	0.660578       	0.000000       	0.660578       	16.198675      	0.040501       	2.903611       	0.387243       	0.113804       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-10	15543.866809   	1332.881397    	186.789641     	0.697653       	0.000000       	0.697653       	15.426262      	0.038571       	2.571802       	0.386700       	0.112718       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-11	15543.164002   	1347.133397    	170.349508     	0.702807       	0.000000       	0.702807       	14.677099      	0.036699       	2.465840       	0.388400       	0.111714       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-12	15542.450819   	1395.268898    	223.323045     	0.713183       	0.000000       	0.713183       	22.332646      	0.055840       	4.157000       	0.391306       	0.111429       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-13	15541.728249   	1414.931634    	199.871728     	0.722570       	0.000000       	0.722570       	20.105901      	0.050274       	4.067986       	0.392891       	0.110760       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-14	15540.996601   	1432.286807    	178.704278     	0.731648       	0.000000       	0.731648       	17.793344      	0.044495       	4.105754       	0.393676       	0.109973       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-15	15540.228207   	1448.747583    	158.984398     	0.768394       	0.000000       	0.768394       	16.907703      	0.042283       	3.580571       	0.404644       	0.112399       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-16	15539.446316   	1461.806100    	142.840327     	0.781891       	0.000000       	0.781891       	13.503414      	0.033775       	3.422548       	0.411121       	0.112825       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-17	15538.665207   	1471.132943    	130.906204     	0.781109       	0.000000       	0.781109       	9.759693       	0.024420       	2.955540       	0.408430       	0.111179       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-18	15537.874511   	1477.315266    	122.256429     	0.790696       	0.000000       	0.790696       	6.607640       	0.016543       	2.832831       	0.408774       	0.110641       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-19	15537.060629   	1488.058159    	123.804280     	0.813881       	0.000000       	0.813881       	7.426542       	0.018595       	3.089488       	0.415054       	0.111790       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-20	15536.237415   	1491.964568    	117.220423     	0.823215       	0.000000       	0.823215       	4.335707       	0.010874       	3.071365       	0.418424       	0.111920       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-21	15535.395455   	1494.199402    	111.983387     	0.842006       	0.000000       	0.842006       	2.669550       	0.006715       	3.405038       	0.423549       	0.112722       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-22	15534.551584   	1495.323262    	107.483440     	0.844007       	0.000000       	0.844007       	1.560171       	0.003949       	3.774267       	0.422962       	0.111817       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-23	15533.710601   	1495.838647    	104.131738     	0.841276       	0.000000       	0.841276       	0.954877       	0.002445       	3.220351       	0.419462       	0.110381       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-24	15532.865928   	1496.067535    	102.365536     	0.845149       	0.000000       	0.845149       	0.670275       	0.001744       	1.919340       	0.418171       	0.109661       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-25	15532.024139   	1496.166202    	100.872378     	0.842487       	0.000000       	0.842487       	0.543666       	0.001439       	1.763447       	0.415360       	0.108499       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-26	15531.197170   	1512.868885    	124.629480     	0.827954       	0.000000       	0.827954       	5.915708       	0.014882       	4.864273       	0.407676       	0.106090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-27	15530.171837   	1515.087878    	121.394019     	1.027287       	0.000000       	1.027287       	2.692570       	0.006839       	1.517962       	0.415053       	0.113347       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-28	15529.308284   	1516.870028    	117.319401     	0.865526       	0.000000       	0.865526       	2.246123       	0.005738       	2.631320       	0.396209       	0.102855       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-29	15528.163885   	1520.395574    	113.247445     	1.148347       	0.000000       	1.148347       	4.100790       	0.010392       	1.055519       	0.501685       	0.159837       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-30	15527.049953   	1522.779929    	110.287232     	1.118640       	0.000000       	1.118640       	2.928611       	0.007481       	1.062005       	0.449568       	0.133658       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-31	15526.060825   	1524.464738    	107.254321     	0.994201       	0.000000       	0.994201       	2.212017       	0.005710       	1.701917       	0.409463       	0.112518       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-01	15525.135137   	1525.438221    	105.177944     	0.931384       	0.000000       	0.931384       	1.495381       	0.003940       	1.388679       	0.388551       	0.103134       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-02	15524.245859   	1544.799726    	128.706167     	0.895667       	0.000000       	0.895667       	8.645165       	0.021837       	2.349315       	0.371971       	0.097451       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-03	15523.267684   	1550.058089    	122.032605     	0.987123       	0.000000       	0.987123       	5.840284       	0.014848       	1.671742       	0.361988       	0.094424       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-04	15522.324002   	1553.405569    	116.730492     	0.953943       	0.000000       	0.953943       	3.951861       	0.010152       	2.136098       	0.357624       	0.093069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-05	15521.417187   	1555.276974    	112.210201     	0.918614       	0.000000       	0.918614       	2.550109       	0.006674       	2.701079       	0.351621       	0.090768       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-06	15520.540006   	1556.100774    	108.129400     	0.890898       	0.000000       	0.890898       	1.613213       	0.004360       	3.172405       	0.344427       	0.088790       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-07	15519.648610   	1556.422365    	104.921000     	0.907836       	0.000000       	0.907836       	1.129442       	0.003181       	2.821589       	0.342632       	0.088339       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-08	15518.761982   	1556.318003    	101.654717     	0.905650       	0.000000       	0.905650       	0.819731       	0.002440       	3.181864       	0.338362       	0.086977       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-09	15517.877604   	1560.665368    	106.843300     	0.906928       	0.000000       	0.906928       	1.715632       	0.004716       	5.070083       	0.331107       	0.084792       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-10	15516.993159   	1560.453417    	103.244740     	0.910713       	0.000000       	0.910713       	0.970901       	0.002892       	3.345178       	0.323658       	0.082508       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-11	15516.093169   	1559.749195    	96.824785      	0.931661       	0.000000       	0.931661       	0.725438       	0.002318       	6.429186       	0.314626       	0.079715       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-12	15515.225000   	1558.627657    	92.750112      	0.903566       	0.000000       	0.903566       	0.501607       	0.001799       	4.263528       	0.302095       	0.075933       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-13	15514.387097   	1557.340721    	89.365670      	0.876960       	0.000000       	0.876960       	0.457506       	0.001728       	3.604073       	0.285346       	0.071120       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-14	15513.563136   	1555.985045    	85.970983      	0.867418       	0.000000       	0.867418       	0.457771       	0.001766       	3.622017       	0.269714       	0.066696       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-15	15512.744396   	1554.622390    	82.909063      	0.866735       	0.000000       	0.866735       	0.475009       	0.001847       	3.281486       	0.255519       	0.062629       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-16	15511.931580   	1556.855546    	90.019893      	0.865925       	0.000000       	0.865925       	0.556703       	0.002092       	4.268789       	0.241138       	0.058471       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-17	15511.127730   	1555.057501    	84.606145      	0.862524       	-0.000018      	0.862506       	0.556629       	0.002135       	5.546338       	0.222746       	0.052678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-18	15510.077883   	1552.769028    	81.012061      	1.143028       	-0.000076      	1.142952       	0.574209       	0.002213       	3.968761       	0.206282       	0.048098       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-19	15509.047992   	1550.224015    	79.865540      	1.130430       	-0.000159      	1.130270       	0.595198       	0.002286       	1.424052       	0.237247       	0.065121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-20	15508.039938   	1548.186353    	78.317439      	1.112584       	-0.000227      	1.112356       	0.614599       	0.002335       	1.785418       	0.180664       	0.040909       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-21	15507.084412   	1545.492280    	77.385146      	1.062441       	-0.000444      	1.061998       	0.622558       	0.002321       	1.109904       	0.189132       	0.048065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-22	15506.222921   	1542.082031    	76.059855      	0.968437       	-0.000909      	0.967528       	0.626774       	0.002239       	1.386332       	0.150986       	0.032829       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-23	15505.501347   	1555.121176    	112.865010     	0.825278       	-0.001505      	0.823773       	3.278298       	0.008663       	5.452632       	0.134987       	0.028572       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-24	15504.871821   	1552.129647    	106.446849     	0.731700       	-0.001939      	0.729761       	1.828028       	0.004708       	4.876233       	0.119654       	0.024647       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-25	15504.289796   	1548.424807    	98.574592      	0.686331       	-0.002339      	0.683993       	1.245302       	0.003113       	6.942421       	0.104473       	0.020853       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-26	15503.730969   	1544.410639    	91.989449      	0.666884       	-0.002732      	0.664152       	0.923268       	0.002308       	6.167982       	0.090259       	0.017407       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-27	15503.161796   	1539.720818    	87.026182      	0.688093       	-0.003326      	0.684767       	0.853209       	0.002133       	4.668130       	0.077411       	0.014350       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-28	15502.224808   	1534.760686    	84.939411      	1.177205       	-0.003939      	1.173267       	1.088598       	0.002721       	1.904084       	0.524413       	0.204809       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-29	15501.280470   	1531.398958    	83.498383      	1.200623       	-0.004415      	1.196208       	1.002950       	0.002507       	1.341387       	0.216155       	0.084746       	0.000000       	0.000000       	0.000000       	0.000000       
2005-04-30	15500.407635   	1571.908666    	134.355206     	1.118349       	-0.004714      	1.113634       	18.115282      	0.045288       	10.663978      	0.144397       	0.053877       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-01	15499.578057   	1580.089718    	116.059672     	1.076867       	-0.005186      	1.071681       	12.886041      	0.032215       	6.049557       	0.070206       	0.018900       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-02	15498.932557   	1583.098618    	102.442997     	0.861655       	-0.005484      	0.856170       	7.900499       	0.019751       	6.271332       	0.049677       	0.010295       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-03	15498.396761   	1581.960324    	93.541539      	0.729797       	-0.005535      	0.724262       	3.243503       	0.008109       	6.166438       	0.036290       	0.005348       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-04	15497.907110   	1579.318612    	87.447525      	0.670063       	-0.005484      	0.664579       	1.497166       	0.003743       	5.136586       	0.029135       	0.003702       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-05	15497.242824   	1579.350610    	85.940001      	0.870850       	-0.005094      	0.865756       	0.946643       	0.002367       	1.395946       	0.043786       	0.011246       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-06	15496.642086   	1575.340632    	84.478976      	0.793606       	-0.005320      	0.788286       	0.878234       	0.002196       	1.099208       	0.021699       	0.002614       	0.000000       	0.000000       	0.000000       	0.000000       
2005-05-07	15495.999186   	1577.575900    	92.104973      	0.870455       	-0.005598      	0.864857       	3.487343       	0.008718       	0.755908       	0.194643       	0.080874       	0.000000       	0.000000       	0.000000       	0.000000       
