DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	74.035798      	158.731479     	67.930922      	0.000000       	67.930922      	7.055466       	0.017639       	1.143978       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	81.404340      	151.667708     	0.836899       	0.000000       	0.836899       	7.389132       	0.018473       	0.511538       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	88.535028      	144.629862     	0.814482       	0.000000       	0.814482       	7.150598       	0.017876       	0.701730       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	95.188160      	138.091850     	0.776384       	0.000000       	0.776384       	6.671694       	0.016679       	0.642702       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	101.908163     	131.614165     	0.767723       	0.000000       	0.767723       	6.738486       	0.016846       	0.506922       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	109.512795     	123.963569     	0.800831       	0.000000       	0.800831       	7.625437       	0.019064       	0.825989       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	117.299675     	115.939952     	0.820015       	0.000000       	0.820015       	7.808211       	0.019521       	1.035421       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	143.364385     	149.107612     	0.844938       	0.000000       	0.844938       	11.094344      	0.027736       	1.582934       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	152.634564     	139.310081     	0.811370       	0.000000       	0.811370       	9.295266       	0.023238       	1.313635       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	160.664522     	130.634493     	0.777453       	0.000000       	0.777453       	8.051894       	0.020130       	1.401148       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	166.407165     	124.631825     	0.697294       	0.000000       	0.697294       	5.758683       	0.014397       	0.941280       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	173.395796     	117.473469     	0.721646       	0.000000       	0.721646       	7.007888       	0.017520       	0.872115       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	180.113973     	110.330213     	0.715250       	0.000000       	0.715250       	6.736765       	0.016842       	1.121741       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	186.269130     	103.946981     	0.699829       	0.000000       	0.699829       	6.172333       	0.015431       	0.910727       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	209.970560     	139.875275     	0.697677       	0.000000       	0.697677       	8.725018       	0.021813       	1.044365       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	217.444000     	131.860700     	0.668913       	0.000000       	0.668913       	7.493913       	0.018735       	1.189575       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	223.512483     	125.704334     	0.627063       	0.000000       	0.627063       	6.085361       	0.015213       	0.698068       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	229.602764     	119.186259     	0.616072       	0.000000       	0.616072       	6.107212       	0.015268       	1.026935       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	235.388951     	112.878747     	0.602324       	0.000000       	0.602324       	5.802348       	0.014506       	1.107487       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	240.865287     	107.143334     	0.590325       	0.000000       	0.590325       	5.491718       	0.013729       	0.834021       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	244.446601     	103.799396     	0.572370       	0.000000       	0.572370       	3.593352       	0.008983       	0.322956       	0.003056       	0.001014       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	257.748438     	135.709460     	0.453936       	0.000000       	0.453936       	2.105129       	0.005263       	0.188742       	0.048030       	0.017690       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	260.555894     	133.127954     	0.462767       	0.000000       	0.462767       	2.856763       	0.007142       	0.187511       	0.042164       	0.013273       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	263.629218     	130.334875     	0.467062       	0.000000       	0.467062       	3.127506       	0.007819       	0.132636       	0.046363       	0.015301       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	268.122386     	125.927352     	0.530737       	0.000000       	0.530737       	4.559140       	0.011398       	0.379119       	0.054575       	0.016468       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	274.120241     	119.860596     	0.609287       	0.000000       	0.609287       	6.078076       	0.015195       	0.597967       	0.065026       	0.018778       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974723   	276.711488     	117.349470     	0.462807       	0.000000       	0.462807       	2.703301       	0.006760       	0.270631       	0.105294       	0.025235       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500258   	279.701449     	114.550231     	0.474465       	0.000000       	0.474465       	3.054170       	0.007635       	0.219535       	0.056573       	0.017771       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000348   	299.891904     	154.254457     	0.499910       	0.000000       	0.499910       	5.263222       	0.013158       	0.532462       	0.059609       	0.018276       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500441   	305.410440     	148.487036     	0.499907       	0.000000       	0.499907       	5.594478       	0.013986       	0.672850       	0.061956       	0.018770       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985423   	311.629644     	141.715639     	0.515018       	0.000000       	0.515018       	6.289080       	0.015723       	0.997335       	0.054154       	0.013842       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456345   	318.186973     	134.849999     	0.529078       	0.000000       	0.529078       	6.621111       	0.016553       	0.773607       	0.047229       	0.011403       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911460   	324.902747     	127.639301     	0.544885       	0.000000       	0.544885       	6.775629       	0.016939       	0.979955       	0.042916       	0.010113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379472   	330.052944     	122.380761     	0.531988       	0.000000       	0.531988       	5.196162       	0.012990       	0.594365       	0.032975       	0.007711       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796838   	335.405258     	116.717376     	0.582634       	0.000000       	0.582634       	5.397480       	0.013494       	0.848539       	0.031672       	0.007333       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256678   	356.253554     	155.770472     	0.540161       	0.000000       	0.540161       	5.891311       	0.014728       	0.595754       	0.028285       	0.006902       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774055   	360.309288     	151.739507     	0.482623       	0.000000       	0.482623       	4.132481       	0.010331       	0.381107       	0.066417       	0.024192       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333662   	363.597101     	148.279623     	0.440393       	0.000000       	0.440393       	3.519182       	0.008908       	0.381094       	0.222461       	0.058025       	0.000000       	0.000000       	0.000000       	0.000000       
