DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.486242   	54.328972      	98.816466      	62.864858      	0.000000       	62.864858      	6.096442       	0.015241       	0.701950       	0.002229       	0.000111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.550794   	60.933716      	92.515379      	0.935448       	0.000000       	0.935448       	6.623564       	0.016559       	0.612972       	0.002262       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.661500   	66.557886      	87.083816      	0.889294       	0.000000       	0.889294       	5.640112       	0.014100       	0.680745       	0.001841       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.785839   	71.271892      	82.754400      	0.875660       	0.000000       	0.875660       	4.727573       	0.011819       	0.477503       	0.001749       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.020526   	74.676259      	79.770504      	0.765314       	0.000000       	0.765314       	3.414444       	0.008536       	0.334766       	0.001541       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279635   	77.436346      	77.520891      	0.740891       	0.000000       	0.740891       	2.776413       	0.006941       	0.214090       	0.009386       	0.002859       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.602705   	79.777044      	75.684105      	0.676930       	0.000000       	0.676930       	2.365360       	0.005913       	0.148355       	0.018748       	0.004472       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.952924   	122.997995     	182.411173     	0.649781       	0.000000       	0.649781       	5.749410       	0.014374       	0.673304       	0.014085       	0.003302       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.280289   	129.774789     	175.583905     	0.672636       	0.000000       	0.672636       	6.807553       	0.017019       	0.692350       	0.013740       	0.002717       	0.000000       	0.000000       	0.000000       	0.000000       
