DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	173.566461     	207.838076     	0.844938       	0.000000       	0.844938       	15.497060      	0.038743       	2.249907       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	186.470982     	193.843648     	0.811370       	0.000000       	0.811370       	12.938718      	0.032347       	1.867081       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	197.613966     	181.456971     	0.777453       	0.000000       	0.777453       	11.172722      	0.027932       	1.991409       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	205.523696     	172.885281     	0.697294       	0.000000       	0.697294       	7.931201       	0.019828       	1.337784       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	215.191476     	162.673723     	0.721646       	0.000000       	0.721646       	9.693752       	0.024234       	1.239452       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	224.471857     	152.489440     	0.715250       	0.000000       	0.715250       	9.305391       	0.023263       	1.594143       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	232.952233     	143.391667     	0.699829       	0.000000       	0.699829       	8.503381       	0.021258       	1.294221       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	258.945724     	176.725115     	0.697677       	0.000000       	0.697677       	11.022823      	0.027557       	1.341406       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	268.366080     	166.420423     	0.668913       	0.000000       	0.668913       	9.445709       	0.023614       	1.527895       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	275.990098     	158.506103     	0.627063       	0.000000       	0.627063       	7.644793       	0.019112       	0.896590       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	283.642999     	150.129459     	0.616072       	0.000000       	0.616072       	7.673749       	0.019184       	1.318967       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	290.907211     	142.025299     	0.602324       	0.000000       	0.602324       	7.284077       	0.018210       	1.422406       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	297.775155     	134.657648     	0.590325       	0.000000       	0.590325       	6.886813       	0.017217       	1.071163       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	302.226623     	130.349662     	0.572370       	0.000000       	0.572370       	4.465749       	0.011164       	0.414607       	0.003116       	0.001091       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	331.502986     	206.171945     	0.453935       	0.000000       	0.453935       	3.086786       	0.007717       	0.294867       	0.052706       	0.020949       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	335.721671     	202.065427     	0.462767       	0.000000       	0.462767       	4.276373       	0.010691       	0.292911       	0.046997       	0.016121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	340.361098     	197.622622     	0.467062       	0.000000       	0.467062       	4.702711       	0.011757       	0.207157       	0.051527       	0.018476       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	347.215647     	190.628561     	0.530737       	0.000000       	0.530737       	6.932759       	0.017332       	0.592038       	0.060878       	0.020028       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	356.408007     	181.016071     	0.609286       	0.000000       	0.609286       	9.288178       	0.023220       	0.933599       	0.072598       	0.022888       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	360.317863     	177.017838     	0.462807       	0.000000       	0.462807       	4.038646       	0.010097       	0.422393       	0.118693       	0.031407       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500260   	364.838567     	172.554042     	0.474464       	0.000000       	0.474464       	4.595663       	0.011489       	0.342597       	0.063470       	0.022016       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000350   	407.596029     	264.262878     	0.499909       	0.000000       	0.499909       	9.097115       	0.022743       	0.943958       	0.066911       	0.022676       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500444   	417.182648     	253.889617     	0.499906       	0.000000       	0.499906       	9.680374       	0.024201       	1.192793       	0.069554       	0.023298       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985427   	427.997558     	241.733268     	0.515017       	0.000000       	0.515017       	10.903598      	0.027259       	1.767767       	0.061430       	0.017683       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456350   	439.396471     	229.409983     	0.529078       	0.000000       	0.529078       	11.481326      	0.028703       	1.371037       	0.053709       	0.014735       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911465   	451.062280     	216.474323     	0.544885       	0.000000       	0.544885       	11.743999      	0.029360       	1.736545       	0.048831       	0.013130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379478   	459.945805     	207.010002     	0.531987       	0.000000       	0.531987       	8.943369       	0.022358       	1.052939       	0.037485       	0.010032       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796845   	469.181427     	196.795448     	0.582633       	0.000000       	0.582633       	9.294862       	0.023237       	1.502325       	0.036004       	0.009556       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256686   	513.858467     	286.457359     	0.540160       	0.000000       	0.540160       	10.986571      	0.027466       	1.141678       	0.032064       	0.008914       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774064   	521.398880     	278.576026     	0.482622       	0.000000       	0.482622       	7.633713       	0.019084       	0.730242       	0.074215       	0.029792       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333671   	527.704024     	271.707578     	0.440392       	0.000000       	0.440392       	6.578731       	0.016483       	0.730109       	0.257104       	0.074988       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852768   	535.875449     	263.218321     	0.480903       	0.000000       	0.480903       	8.429383       	0.021095       	0.540778       	0.236863       	0.064908       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492812   	542.957310     	255.469874     	0.359955       	0.000000       	0.359955       	7.431444       	0.018579       	0.676958       	0.331004       	0.063676       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125456   	550.940355     	246.188236     	0.367356       	0.000000       	0.367356       	8.569431       	0.021435       	1.079564       	0.564951       	0.076988       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815761   	558.880956     	236.774075     	0.309695       	0.000000       	0.309695       	8.523976       	0.021343       	1.199880       	0.562032       	0.061775       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416209   	596.743275     	287.911991     	0.399551       	0.000000       	0.399551       	15.778845      	0.039447       	0.982790       	0.377079       	0.049725       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922344   	610.576037     	273.232522     	0.493865       	0.000000       	0.493865       	14.301981      	0.035755       	0.871354       	0.433464       	0.091900       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384720   	623.495943     	259.525057     	0.537625       	0.000000       	0.537625       	13.356262      	0.033391       	0.888828       	0.402964       	0.094934       	0.000000       	0.000000       	0.000000       	0.000000       
