DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	155.468868     	166.413867     	0.844938       	0.000000       	0.844938       	12.391703      	0.030979       	1.779473       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	165.809987     	155.379627     	0.811370       	0.000000       	0.811370       	10.368890      	0.025922       	1.476720       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	174.757266     	145.610485     	0.777453       	0.000000       	0.777453       	8.971514       	0.022429       	1.575081       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	181.138487     	138.850799     	0.697294       	0.000000       	0.697294       	6.398862       	0.015997       	1.058118       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	188.916584     	130.792754     	0.721646       	0.000000       	0.721646       	7.799333       	0.019498       	0.980359       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	196.389761     	122.753401     	0.715250       	0.000000       	0.715250       	7.493658       	0.018734       	1.260945       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	203.230079     	115.570286     	0.699829       	0.000000       	0.699829       	6.859211       	0.017148       	1.023733       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	249.625599     	203.283482     	0.697677       	0.000000       	0.697677       	12.678993      	0.031697       	1.555489       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	260.449286     	191.328109     	0.668913       	0.000000       	0.668913       	10.852558      	0.027131       	1.771727       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	269.194620     	182.146586     	0.627063       	0.000000       	0.627063       	8.768920       	0.021922       	1.039667       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	277.974072     	172.430102     	0.616072       	0.000000       	0.616072       	8.803122       	0.022008       	1.529434       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	286.304049     	163.030551     	0.602324       	0.000000       	0.602324       	8.352515       	0.020881       	1.649361       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	294.175765     	154.485716     	0.590325       	0.000000       	0.590325       	7.893101       	0.019733       	1.242058       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	299.255231     	149.482117     	0.572370       	0.000000       	0.572370       	5.095318       	0.012738       	0.480652       	0.003113       	0.001087       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	336.602449     	247.170108     	0.453935       	0.000000       	0.453935       	3.659327       	0.009148       	0.356618       	0.052961       	0.021129       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	341.645974     	242.175080     	0.462767       	0.000000       	0.462767       	5.103556       	0.012759       	0.354240       	0.047271       	0.016288       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	347.200757     	236.770961     	0.467062       	0.000000       	0.467062       	5.620662       	0.014052       	0.250518       	0.051828       	0.018671       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	355.434881     	228.269616     	0.530737       	0.000000       	0.530737       	8.316154       	0.020790       	0.715928       	0.061239       	0.020242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	366.493531     	216.590439     	0.609286       	0.000000       	0.609286       	11.159573      	0.027899       	1.128891       	0.073025       	0.023126       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	371.177967     	211.726471     	0.462807       	0.000000       	0.462807       	4.816077       	0.012041       	0.510698       	0.119600       	0.031888       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500260   	376.595356     	206.291661     	0.474464       	0.000000       	0.474464       	5.495071       	0.013738       	0.414202       	0.063945       	0.022341       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000351   	420.469041     	296.760866     	0.499909       	0.000000       	0.499909       	10.216621      	0.025542       	1.064084       	0.067394       	0.022991       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500445   	431.245289     	285.042732     	0.499906       	0.000000       	0.499906       	10.873487      	0.027184       	1.344554       	0.070055       	0.023620       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985427   	443.403893     	271.313964     	0.515017       	0.000000       	0.515017       	12.251131      	0.030628       	1.992654       	0.061900       	0.017950       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456350   	456.218329     	257.396791     	0.529078       	0.000000       	0.529078       	12.900814      	0.032252       	1.545437       	0.054126       	0.014964       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911465   	469.331523     	242.788860     	0.544884       	0.000000       	0.544884       	13.195393      	0.032988       	1.957422       	0.049211       	0.013338       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379479   	479.307247     	232.095406     	0.531987       	0.000000       	0.531987       	10.038596      	0.025096       	1.186844       	0.037775       	0.010192       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796846   	489.679223     	220.550391     	0.582633       	0.000000       	0.582633       	10.434344      	0.026086       	1.693304       	0.036282       	0.009709       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256686   	535.221661     	309.251451     	0.540160       	0.000000       	0.540160       	11.854385      	0.029636       	1.234715       	0.032310       	0.009056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774064   	543.355983     	300.714630     	0.482622       	0.000000       	0.482622       	8.229710       	0.020574       	0.789733       	0.074814       	0.030273       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333672   	550.178060     	293.265108     	0.440392       	0.000000       	0.440392       	7.100340       	0.017784       	0.789575       	0.260479       	0.076773       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852769   	559.019011     	284.057208     	0.480903       	0.000000       	0.480903       	9.103987       	0.022780       	0.584816       	0.240256       	0.066578       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492813   	566.710408     	275.637168     	0.359955       	0.000000       	0.359955       	8.047932       	0.020120       	0.732064       	0.336415       	0.065468       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125457   	575.388572     	265.561984     	0.367356       	0.000000       	0.367356       	9.275134       	0.023199       	1.167406       	0.573771       	0.079321       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815762   	584.010363     	255.357510     	0.309695       	0.000000       	0.309695       	9.216689       	0.023078       	1.297480       	0.571821       	0.064069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416210   	622.846029     	305.452625     	0.399551       	0.000000       	0.399551       	16.761648      	0.041904       	1.042789       	0.384078       	0.051577       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922345   	637.558032     	289.829803     	0.493865       	0.000000       	0.493865       	15.192178      	0.037981       	0.924509       	0.442195       	0.095455       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384720   	651.298328     	275.237165     	0.537625       	0.000000       	0.537625       	14.187253      	0.035468       	0.943009       	0.411488       	0.098733       	0.000000       	0.000000       	0.000000       	0.000000       
