DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	78.252507      	169.432296     	67.930922      	0.000000       	67.930922      	7.523344       	0.018808       	1.225282       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	86.109805      	161.842206     	0.836899       	0.000000       	0.836899       	7.879112       	0.019698       	0.547877       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	93.711087      	154.282754     	0.814482       	0.000000       	0.814482       	7.622372       	0.019056       	0.751562       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	100.800053     	147.262185     	0.776384       	0.000000       	0.776384       	7.108621       	0.017772       	0.688331       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	107.959332     	140.308140     	0.767723       	0.000000       	0.767723       	7.178863       	0.017947       	0.542905       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	116.063337     	132.098299     	0.800831       	0.000000       	0.800831       	8.126062       	0.020315       	0.884611       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	124.360042     	123.490105     	0.820015       	0.000000       	0.820015       	8.319313       	0.020798       	1.108895       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	173.566461     	207.838076     	0.844938       	0.000000       	0.844938       	15.497060      	0.038743       	2.249907       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	186.470982     	193.843648     	0.811370       	0.000000       	0.811370       	12.938718      	0.032347       	1.867081       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	197.613966     	181.456971     	0.777453       	0.000000       	0.777453       	11.172722      	0.027932       	1.991409       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	205.523696     	172.885281     	0.697294       	0.000000       	0.697294       	7.931201       	0.019828       	1.337784       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	215.191476     	162.673723     	0.721646       	0.000000       	0.721646       	9.693752       	0.024234       	1.239452       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	224.471857     	152.489440     	0.715250       	0.000000       	0.715250       	9.305391       	0.023263       	1.594143       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	232.952233     	143.391667     	0.699829       	0.000000       	0.699829       	8.503381       	0.021258       	1.294221       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	276.560680     	218.764730     	0.697677       	0.000000       	0.697677       	13.644333      	0.034111       	1.680281       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	288.202290     	205.847251     	0.668913       	0.000000       	0.668913       	11.672530      	0.029181       	1.913861       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	297.601115     	195.927196     	0.627063       	0.000000       	0.627063       	9.424049       	0.023560       	1.123069       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	307.037025     	185.429920     	0.616072       	0.000000       	0.616072       	9.461226       	0.023653       	1.652122       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	315.987906     	175.275606     	0.602324       	0.000000       	0.602324       	8.974974       	0.022437       	1.781664       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	324.444197     	166.045103     	0.590325       	0.000000       	0.590325       	8.479140       	0.021198       	1.341687       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	329.889166     	160.636554     	0.572370       	0.000000       	0.572370       	5.461762       	0.013654       	0.519157       	0.003138       	0.001118       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	371.291021     	269.234085     	0.453935       	0.000000       	0.453935       	3.966556       	0.009916       	0.389849       	0.054785       	0.022424       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	376.775903     	263.761624     	0.462767       	0.000000       	0.462767       	5.547984       	0.013870       	0.387243       	0.049232       	0.017484       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	382.820521     	257.841031     	0.467062       	0.000000       	0.467062       	6.113802       	0.015285       	0.273853       	0.053900       	0.019981       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	391.793328     	248.529914     	0.530737       	0.000000       	0.530737       	9.059254       	0.022648       	0.782599       	0.063799       	0.021741       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	403.851346     	235.740672     	0.609286       	0.000000       	0.609286       	12.164541      	0.030411       	1.233987       	0.076112       	0.024871       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	408.947467     	230.411194     	0.462807       	0.000000       	0.462807       	5.234066       	0.013086       	0.558219       	0.124859       	0.034429       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500261   	414.842226     	224.456574     	0.474464       	0.000000       	0.474464       	5.976348       	0.014941       	0.452736       	0.066648       	0.024088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000352   	430.387766     	238.478696     	0.499909       	0.000000       	0.499909       	8.136122       	0.020340       	0.841665       	0.070242       	0.024784       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500446   	438.949558     	229.258664     	0.499906       	0.000000       	0.499906       	8.656487       	0.021641       	1.063451       	0.073054       	0.025508       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985429   	448.607980     	218.449884     	0.515017       	0.000000       	0.515017       	9.747632       	0.024369       	1.576165       	0.064841       	0.019623       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456352   	458.789387     	207.492620     	0.529077       	0.000000       	0.529077       	10.263832      	0.025660       	1.222508       	0.056765       	0.016437       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911468   	469.210762     	195.989743     	0.544884       	0.000000       	0.544884       	10.499251      	0.026248       	1.548511       	0.051628       	0.014680       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379482   	477.154736     	187.579030     	0.531986       	0.000000       	0.531986       	8.003610       	0.020009       	0.939089       	0.039627       	0.011228       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796849   	485.413168     	178.504076     	0.582633       	0.000000       	0.582633       	8.317287       	0.020793       	1.340299       	0.038062       	0.010703       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256690   	533.520121     	279.768408     	0.540159       	0.000000       	0.540159       	10.667444      	0.026669       	1.108383       	0.033822       	0.009898       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774068   	540.838891     	272.127926     	0.482622       	0.000000       	0.482622       	7.414175       	0.018535       	0.708928       	0.076870       	0.031480       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333676   	546.947843     	265.469755     	0.440392       	0.000000       	0.440392       	6.389772       	0.015999       	0.708792       	0.264821       	0.077863       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852773   	554.869974     	257.238175     	0.480903       	0.000000       	0.480903       	8.187466       	0.020484       	0.525018       	0.244851       	0.067865       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492817   	561.755623     	249.697629     	0.359955       	0.000000       	0.359955       	7.243278       	0.018108       	0.657223       	0.339521       	0.065026       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125461   	569.515797     	240.660648     	0.367356       	0.000000       	0.367356       	8.356258       	0.020900       	1.048079       	0.575183       	0.078356       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815766   	577.230395     	231.500294     	0.309695       	0.000000       	0.309695       	8.305127       	0.020794       	1.164921       	0.569737       	0.062473       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416214   	601.671978     	251.204109     	0.399551       	0.000000       	0.399551       	13.606822      	0.034017       	0.838915       	0.381221       	0.049031       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922349   	613.533516     	238.620392     	0.493865       	0.000000       	0.493865       	12.333868      	0.030835       	0.743714       	0.441496       	0.094152       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384725   	624.607617     	226.885209     	0.537625       	0.000000       	0.537625       	11.514253      	0.028786       	0.758556       	0.411366       	0.097823       	0.000000       	0.000000       	0.000000       	0.000000       
