DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15611.626104   	77.570983      	155.334916     	52.724996      	0.000000       	52.724996      	6.840137       	0.017100       	0.799944       	0.002054       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15610.794651   	85.027082      	148.001715     	0.831452       	0.000000       	0.831452       	7.476790       	0.018692       	0.687862       	0.001999       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15609.995396   	91.992041      	141.139376     	0.799256       	0.000000       	0.799256       	6.984286       	0.017461       	0.677309       	0.001867       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15609.230032   	98.301414      	134.812216     	0.765364       	0.000000       	0.765364       	6.326767       	0.015817       	0.765757       	0.001577       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15608.460400   	104.917894     	127.891881     	0.769632       	0.000000       	0.769632       	6.634680       	0.016587       	1.055287       	0.001613       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15607.726500   	110.674703     	122.135937     	0.733900       	0.000000       	0.733900       	5.772791       	0.014432       	0.717053       	0.001550       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15606.985222   	116.743796     	116.118329     	0.741278       	0.000000       	0.741278       	6.085903       	0.015215       	0.672983       	0.001595       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15606.237678   	162.048801     	205.433266     	0.747544       	0.000000       	0.747544       	11.585601      	0.028964       	1.097006       	0.001631       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15605.521358   	171.930693     	194.077601     	0.716320       	0.000000       	0.716320       	9.908248       	0.024771       	2.163736       	0.001586       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15604.834653   	180.625173     	184.356145     	0.686705       	0.000000       	0.686705       	8.717821       	0.021795       	1.690340       	0.001547       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15604.105132   	191.499881     	172.243772     	0.729521       	0.000000       	0.729521       	10.903643      	0.027259       	1.938252       	0.001675       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15603.377163   	201.691818     	161.205514     	0.727969       	0.000000       	0.727969       	10.219187      	0.025548       	1.547039       	0.001702       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15602.659821   	211.003177     	150.802414     	0.717342       	0.000000       	0.717342       	9.336413       	0.023341       	1.784029       	0.001714       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15601.917139   	217.767004     	144.001358     	0.742683       	0.000000       	0.742683       	6.787877       	0.016970       	0.755861       	0.007080       	0.003153       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15601.240313   	260.877181     	235.654405     	0.676826       	0.000000       	0.676826       	9.386450       	0.023466       	0.887329       	0.002807       	0.000825       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15600.626557   	269.155734     	226.421273     	0.613755       	0.000000       	0.613755       	8.300770       	0.020752       	1.546118       	0.001465       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15600.009066   	279.123753     	216.431566     	0.617491       	0.000000       	0.617491       	9.994530       	0.024986       	0.612669       	0.001524       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15599.394428   	289.657415     	205.108730     	0.614638       	0.000000       	0.614638       	10.561638      	0.026404       	1.375836       	0.001571       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15598.805289   	298.932413     	194.303792     	0.589139       	0.000000       	0.589139       	9.299803       	0.023250       	2.094274       	0.001556       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15598.185957   	309.962796     	182.471458     	0.619332       	0.000000       	0.619332       	11.059699      	0.027649       	1.391967       	0.001666       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15597.583294   	319.611788     	171.823526     	0.602662       	0.000000       	0.602662       	9.674844       	0.024187       	1.575751       	0.001665       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15596.953744   	370.506253     	253.707099     	0.629551       	0.000000       	0.629551       	17.189207      	0.042973       	2.806770       	0.001769       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15596.344181   	384.842479     	237.492861     	0.609563       	0.000000       	0.609563       	14.373918      	0.035935       	2.449882       	0.001758       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15595.747013   	397.789964     	222.981543     	0.597168       	0.000000       	0.597168       	12.981695      	0.032454       	2.126790       	0.001756       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15595.165587   	409.438514     	210.185864     	0.581426       	0.000000       	0.581426       	11.679493      	0.029199       	1.697612       	0.001744       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15594.580136   	421.367048     	196.754026     	0.585451       	0.000000       	0.585451       	11.960217      	0.029901       	2.057072       	0.001782       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15594.013402   	431.616702     	184.825415     	0.566735       	0.000000       	0.566735       	10.277109      	0.025693       	2.218237       	0.001763       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15593.422246   	443.412006     	172.358668     	0.591156       	0.000000       	0.591156       	11.826727      	0.029567       	1.231176       	0.001856       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15592.878860   	489.711577     	260.265677     	0.543385       	0.000000       	0.543385       	12.582779      	0.031457       	1.303597       	0.001751       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15592.338790   	502.490296     	246.512701     	0.540070       	0.000000       	0.540070       	12.812499      	0.032031       	1.480547       	0.001749       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15591.775896   	517.669302     	229.416385     	0.562894       	0.000000       	0.562894       	15.218896      	0.038047       	2.440315       	0.001842       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15591.191823   	533.606815     	210.601152     	0.584073       	0.000000       	0.584073       	15.979405      	0.039949       	3.419901       	0.001944       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15590.592399   	549.132826     	192.795909     	0.599424       	0.000000       	0.599424       	15.566961      	0.038917       	2.837706       	0.002033       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15589.955770   	565.593599     	172.705036     	0.636629       	0.000000       	0.636629       	16.504211      	0.041261       	4.223291       	0.002178       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15589.243153   	580.089011     	156.500039     	0.712617       	0.000000       	0.712617       	14.534009      	0.036335       	2.383605       	0.002263       	0.000085       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15588.544863   	632.252756     	237.459385     	0.698290       	0.000000       	0.698290       	18.462126      	0.046155       	2.526817       	0.002226       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15587.810550   	648.671364     	219.812360     	0.734313       	0.000000       	0.734313       	16.467303      	0.041168       	1.914036       	0.007526       	0.003354       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15587.152707   	657.214832     	211.179952     	0.657842       	0.000000       	0.657842       	8.669815       	0.021675       	0.620435       	0.104673       	0.052222       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15586.497666   	666.708854     	201.261397     	0.655041       	0.000000       	0.655041       	9.558460       	0.023896       	1.015137       	0.040541       	0.020634       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15585.853323   	676.894938     	190.239384     	0.644343       	0.000000       	0.644343       	10.250917      	0.025627       	1.415439       	0.039205       	0.019525       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15585.212186   	687.794961     	178.025144     	0.641137       	0.000000       	0.641137       	10.942472      	0.027356       	1.912904       	0.015093       	0.006324       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15584.508668   	697.812247     	167.624273     	0.703519       	0.000000       	0.703519       	10.057557      	0.025144       	1.046833       	0.015128       	0.006535       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15583.773322   	747.150914     	252.338579     	0.735345       	0.000000       	0.735345       	15.664644      	0.039162       	1.606396       	0.036814       	0.019089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15583.158958   	756.406835     	242.269320     	0.614364       	0.000000       	0.614364       	9.702252       	0.024256       	0.981372       	0.422076       	0.148601       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15582.640980   	764.758773     	233.266494     	0.517978       	0.000000       	0.517978       	9.037932       	0.022595       	0.482872       	0.663399       	0.111929       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15582.073273   	774.798581     	222.285491     	0.567708       	0.000000       	0.567708       	10.541292      	0.026353       	1.007419       	0.475130       	0.086721       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15581.479168   	784.258569     	212.511076     	0.594105       	0.000000       	0.594105       	9.870683       	0.024677       	0.497837       	0.386019       	0.103599       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15580.885027   	793.879892     	201.935049     	0.594141       	0.000000       	0.594141       	9.969062       	0.024923       	1.201106       	0.322817       	0.101318       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15580.339948   	802.069443     	192.839081     	0.545079       	0.000000       	0.545079       	8.485212       	0.021213       	1.155835       	0.274448       	0.085044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15579.793421   	849.966793     	278.748726     	0.546527       	0.000000       	0.546527       	14.457305      	0.036143       	1.429577       	0.273812       	0.083926       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15579.301620   	860.480026     	267.490851     	0.491801       	0.000000       	0.491801       	10.783045      	0.026958       	0.966631       	0.242854       	0.071887       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15578.787650   	873.420005     	252.552926     	0.513970       	0.000000       	0.513970       	13.218217      	0.033046       	2.233679       	0.245193       	0.073319       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15578.269528   	886.295869     	238.666211     	0.518122       	0.000000       	0.518122       	13.148844      	0.032872       	1.255993       	0.240107       	0.070200       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15577.715960   	896.412266     	227.428884     	0.553569       	0.000000       	0.553569       	10.362836      	0.025907       	1.428059       	0.220532       	0.062762       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15577.166624   	905.387554     	218.151574     	0.549336       	0.000000       	0.549336       	9.207784       	0.023019       	0.618862       	0.209476       	0.059144       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15576.622773   	913.465972     	209.692032     	0.543851       	0.000000       	0.543851       	8.312729       	0.020782       	0.690664       	0.213529       	0.062671       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15576.111688   	954.055928     	288.665706     	0.511085       	0.000000       	0.511085       	10.814737      	0.027037       	0.722674       	0.197744       	0.056099       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15575.587299   	966.072414     	275.621295     	0.524389       	0.000000       	0.524389       	12.245040      	0.030613       	1.323759       	0.197942       	0.055921       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15575.040608   	978.699877     	261.577215     	0.546691       	0.000000       	0.546691       	12.857366      	0.032143       	1.733405       	0.197760       	0.055242       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15574.536716   	989.902189     	249.572788     	0.503892       	0.000000       	0.503892       	11.420630      	0.028552       	1.087689       	0.189767       	0.051953       	0.000000       	0.000000       	0.000000       	0.000000       
