DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15584.908860   	78.905498      	180.875805     	79.442240      	0.000000       	79.442240      	8.355257       	0.020888       	0.461178       	0.178871       	0.000116       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15584.089813   	85.791711      	174.255769     	0.819048       	0.000000       	0.819048       	6.973048       	0.017433       	0.466035       	0.069402       	0.011195       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15583.277914   	92.981400      	166.970598     	0.811898       	0.000000       	0.811898       	7.250688       	0.018127       	0.846381       	0.042873       	0.006431       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15582.566584   	97.955327      	162.040835     	0.711330       	0.000000       	0.711330       	5.049862       	0.012625       	0.591231       	0.063310       	0.010381       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15581.837822   	103.503542     	156.487481     	0.728762       	0.000000       	0.728762       	5.638663       	0.014097       	0.643452       	0.076352       	0.012488       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15581.098042   	109.591146     	150.457335     	0.739780       	0.000000       	0.739780       	6.149555       	0.015374       	0.620370       	0.046577       	0.007546       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15580.407704   	114.873918     	145.324845     	0.690338       	0.000000       	0.690338       	5.336266       	0.013341       	0.486563       	0.040153       	0.006257       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15579.693320   	159.047098     	235.786171     	0.714384       	0.000000       	0.714384       	10.493782      	0.026234       	1.009275       	0.044368       	0.006705       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15578.983202   	169.919603     	223.632775     	0.710118       	0.000000       	0.710118       	10.936608      	0.027342       	1.926907       	0.036761       	0.004688       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15578.291408   	179.516031     	213.337823     	0.691795       	0.000000       	0.691795       	9.650576       	0.024126       	1.336170       	0.030021       	0.003322       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15577.653057   	186.391560     	206.330114     	0.638350       	0.000000       	0.638350       	6.916974       	0.017292       	0.729086       	0.024152       	0.002584       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15576.967338   	194.034279     	198.686613     	0.685719       	0.000000       	0.685719       	7.705553       	0.019264       	0.623667       	0.043571       	0.010413       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15576.354413   	200.020399     	192.814063     	0.612925       	0.000000       	0.612925       	6.029922       	0.015075       	0.455553       	0.028727       	0.005337       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15575.750494   	206.349420     	185.875891     	0.603919       	0.000000       	0.603919       	6.370601       	0.015927       	1.171490       	0.025654       	0.003169       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15575.094211   	253.580755     	272.370251     	0.656284       	0.000000       	0.656284       	13.545253      	0.033863       	1.866671       	0.030055       	0.003441       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15574.374468   	270.516843     	254.459190     	0.719742       	0.000000       	0.719742       	17.009097      	0.042523       	1.621706       	0.030486       	0.003310       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15573.711429   	283.125596     	240.127094     	0.663039       	0.000000       	0.663039       	12.663314      	0.031658       	2.331821       	0.022903       	0.002449       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15573.101387   	292.876230     	229.854376     	0.610041       	0.000000       	0.610041       	9.793554       	0.024484       	1.089206       	0.018436       	0.001948       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15572.454266   	304.697393     	217.349794     	0.647121       	0.000000       	0.647121       	11.869676      	0.029674       	1.282027       	0.018839       	0.001968       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15571.773820   	313.509047     	208.472399     	0.680447       	0.000000       	0.680447       	8.865901       	0.022165       	0.691940       	0.032083       	0.011164       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15571.195072   	319.398896     	202.526432     	0.578748       	0.000000       	0.578748       	6.171363       	0.017130       	0.353352       	0.264384       	0.066575       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15570.665857   	361.862501     	294.066804     	0.529215       	0.000000       	0.529215       	9.089127       	0.023436       	1.149716       	0.352085       	0.060713       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15570.118663   	371.244945     	284.445816     	0.547194       	0.000000       	0.547194       	9.641255       	0.024475       	0.526927       	0.234336       	0.042172       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15569.583556   	379.705117     	275.645656     	0.535107       	0.000000       	0.535107       	8.659410       	0.022008       	0.675858       	0.177230       	0.035190       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15569.038664   	388.746679     	266.264613     	0.544893       	0.000000       	0.544893       	9.217042       	0.023043       	0.708893       	0.152437       	0.035183       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15568.535728   	396.529206     	257.889583     	0.502936       	0.000000       	0.502936       	7.935993       	0.019840       	0.941972       	0.133626       	0.031501       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15568.056100   	404.083938     	249.381917     	0.479629       	0.000000       	0.479629       	7.694798       	0.019237       	1.292496       	0.120829       	0.025988       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15567.591599   	411.471495     	240.578953     	0.464501       	0.000000       	0.464501       	7.513986       	0.018785       	1.753480       	0.107644       	0.021654       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15567.120135   	456.904459     	328.128240     	0.471464       	0.000000       	0.471464       	11.816144      	0.029540       	2.356033       	0.103639       	0.020281       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15566.570081   	469.459597     	315.074603     	0.550054       	0.000000       	0.550054       	12.691433      	0.031729       	0.912258       	0.104567       	0.020530       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15566.126007   	476.914348     	307.147113     	0.444074       	0.000000       	0.444074       	7.800179       	0.019675       	0.571384       	0.325753       	0.052538       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15565.623555   	486.986464     	296.446445     	0.502451       	0.000000       	0.502451       	10.340065      	0.027239       	0.863054       	0.240711       	0.049071       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15565.066182   	499.524023     	282.847003     	0.557374       	0.000000       	0.557374       	12.790497      	0.033532       	1.366319       	0.219407       	0.051300       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15564.500626   	512.855883     	267.938883     	0.565555       	0.000000       	0.565555       	13.567423      	0.035209       	1.906251       	0.200354       	0.050332       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15563.954385   	524.972348     	254.779166     	0.546241       	0.000000       	0.546241       	12.327790      	0.030819       	1.378168       	0.180505       	0.042879       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15563.340222   	579.441423     	333.278704     	0.614163       	0.000000       	0.614163       	20.954303      	0.052386       	2.410322       	0.182843       	0.041637       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15562.760896   	591.499331     	320.423083     	0.579326       	0.000000       	0.579326       	12.276000      	0.030690       	1.158948       	0.187402       	0.051106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15562.236283   	601.180957     	309.981847     	0.524613       	0.000000       	0.524613       	10.025018      	0.025217       	0.940830       	0.318175       	0.080572       	0.000000       	0.000000       	0.000000       	0.000000       
