DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.363615   	83.433873      	174.644059     	62.987485      	0.000000       	62.987485      	8.958507       	0.022396       	0.884919       	0.002238       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.534747   	91.472424      	166.517945     	0.828868       	0.000000       	0.828868       	8.060690       	0.020152       	0.894292       	0.001988       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.751995   	98.719127      	159.314221     	0.782752       	0.000000       	0.782752       	7.266692       	0.018167       	0.719784       	0.001823       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15599.006952   	105.357117     	152.852667     	0.745042       	0.000000       	0.745042       	6.656166       	0.016640       	0.550430       	0.001535       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.292656   	111.509798     	146.704288     	0.714297       	0.000000       	0.714297       	6.169594       	0.015424       	0.693082       	0.001489       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.592139   	117.586429     	140.570984     	0.700517       	0.000000       	0.700517       	6.093343       	0.015233       	0.740478       	0.001479       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.932876   	122.762840     	135.143238     	0.659263       	0.000000       	0.659263       	5.190791       	0.012977       	0.896217       	0.001403       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.270389   	157.750292     	204.546747     	0.662487       	0.000000       	0.662487       	8.760789       	0.021902       	1.248190       	0.001434       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.598465   	167.066034     	194.779068     	0.671924       	0.000000       	0.671924       	9.340569       	0.023351       	1.099034       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.927456   	176.217703     	184.946548     	0.671009       	0.000000       	0.671009       	9.176105       	0.022940       	1.327425       	0.001496       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.275495   	184.412710     	176.197656     	0.651961       	0.000000       	0.651961       	8.217028       	0.020543       	1.183826       	0.001477       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.632969   	192.330655     	167.690414     	0.642526       	0.000000       	0.642526       	7.939275       	0.019848       	1.210493       	0.001482       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15593.026617   	198.853300     	160.438147     	0.606352       	0.000000       	0.606352       	6.540417       	0.016351       	1.318201       	0.001421       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.442959   	204.860355     	154.077337     	0.583658       	0.000000       	0.583658       	6.023505       	0.015059       	0.920964       	0.001391       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.827511   	255.543133     	251.775822     	0.615448       	0.000000       	0.615448       	13.217311      	0.033043       	2.199652       	0.001490       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15591.202924   	268.758871     	236.655619     	0.624587       	0.000000       	0.624587       	13.250404      	0.033126       	2.494386       	0.001540       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.601816   	279.632315     	224.034362     	0.601108       	0.000000       	0.601108       	10.902213      	0.027256       	2.320152       	0.001514       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15590.037295   	288.314683     	214.110549     	0.564521       	0.000000       	0.564521       	8.705578       	0.021764       	1.782756       	0.001447       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.467182   	297.928363     	202.947782     	0.570113       	0.000000       	0.570113       	9.639261       	0.024098       	2.093619       	0.001482       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.905341   	307.031760     	192.934305     	0.561841       	0.000000       	0.561841       	9.127703       	0.022819       	1.447614       	0.001488       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15588.334141   	316.620831     	181.546040     	0.571200       	0.000000       	0.571200       	9.614645       	0.024037       	2.344820       	0.001536       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.760341   	369.268352     	275.669366     	0.573800       	0.000000       	0.573800       	15.187061      	0.037968       	3.763413       	0.001572       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15587.156497   	386.474596     	256.777728     	0.603845       	0.000000       	0.603845       	17.251049      	0.043128       	2.244433       	0.001678       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.530372   	404.104673     	237.102365     	0.626125       	0.000000       	0.626125       	17.676043      	0.044190       	2.625445       	0.001775       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.878495   	422.049712     	216.115818     	0.651876       	0.000000       	0.651876       	17.991903      	0.044980       	3.646521       	0.001884       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.213950   	438.848618     	197.108476     	0.664545       	0.000000       	0.664545       	16.842978      	0.042107       	2.828909       	0.001965       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.529483   	455.311529     	178.016709     	0.684467       	0.000000       	0.684467       	16.506241      	0.041266       	3.269993       	0.002065       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.835252   	470.502847     	160.273618     	0.694231       	0.000000       	0.694231       	15.231540      	0.038079       	3.205782       	0.002144       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.145973   	511.734082     	205.595722     	0.689279       	0.000000       	0.689279       	18.780367      	0.046951       	4.086807       	0.002181       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.438172   	530.383379     	184.158703     	0.707800       	0.000000       	0.707800       	18.698322      	0.046746       	3.446497       	0.002280       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.749334   	545.414612     	165.792307     	0.688839       	0.000000       	0.688839       	15.071194      	0.037678       	3.984041       	0.002283       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.056752   	559.566273     	148.908252     	0.692582       	0.000000       	0.692582       	14.189469      	0.035474       	3.387167       	0.002334       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.349594   	573.383593     	133.985156     	0.707158       	0.000000       	0.707158       	13.854383      	0.034636       	1.775871       	0.002428       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.664395   	584.288805     	122.018004     	0.685199       	0.000000       	0.685199       	10.934968      	0.027337       	1.717383       	0.002419       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.002016   	593.251669     	111.734839     	0.662379       	0.000000       	0.662379       	8.987720       	0.022469       	1.957824       	0.002387       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.362902   	646.849101     	206.482593     	0.639113       	0.000000       	0.639113       	16.140130      	0.040350       	2.251229       	0.002348       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15577.723736   	662.891304     	188.773577     	0.639166       	0.000000       	0.639166       	16.084791      	0.040212       	2.263391       	0.002376       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.088399   	677.783502     	171.393282     	0.635337       	0.000000       	0.635337       	14.931933      	0.037330       	3.083699       	0.002404       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15576.463900   	690.740460     	156.841000     	0.624500       	0.000000       	0.624500       	12.991844      	0.032480       	2.184938       	0.002407       	0.000095       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15575.826136   	701.767873     	145.039779     	0.637764       	0.000000       	0.637764       	11.057440      	0.027644       	1.381545       	0.002384       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15575.073231   	709.320094     	136.629644     	0.752905       	0.000000       	0.752905       	7.833602       	0.019584       	1.329438       	0.261797       	0.100742       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15574.447341   	713.945258     	131.184688     	0.625890       	0.000000       	0.625890       	5.122719       	0.012807       	0.948128       	0.484748       	0.147581       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15573.981124   	759.632935     	234.726448     	0.466217       	0.000000       	0.466217       	8.758995       	0.021898       	0.665461       	0.549420       	0.109910       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15573.496946   	768.209334     	225.523660     	0.484177       	0.000000       	0.484177       	9.185410       	0.022964       	0.501556       	0.586047       	0.103705       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15572.942792   	776.404853     	216.800325     	0.554154       	0.000000       	0.554154       	8.769655       	0.021926       	0.507834       	0.552210       	0.100660       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15572.381890   	784.042631     	208.894798     	0.560903       	0.000000       	0.560903       	8.122664       	0.020308       	0.343767       	0.464577       	0.116316       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15571.802394   	792.707563     	199.851326     	0.579496       	0.000000       	0.579496       	9.074771       	0.022688       	0.548197       	0.387151       	0.110986       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15571.205968   	801.928634     	190.202077     	0.596426       	0.000000       	0.596426       	9.600176       	0.024002       	0.645499       	0.355103       	0.109578       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15570.698168   	807.667282     	184.131226     	0.507800       	0.000000       	0.507800       	6.046765       	0.015117       	0.531886       	0.293000       	0.092114       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15570.169945   	857.615691     	282.859579     	0.528223       	0.000000       	0.528223       	12.786881      	0.031967       	1.512989       	0.306504       	0.098897       	0.000000       	0.000000       	0.000000       	0.000000       
