DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.363615   	83.433873      	174.644059     	62.987485      	0.000000       	62.987485      	8.958507       	0.022396       	0.884919       	0.002238       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.534747   	91.472424      	166.517945     	0.828868       	0.000000       	0.828868       	8.060690       	0.020152       	0.894292       	0.001988       	0.000093       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.751995   	98.719127      	159.314221     	0.782752       	0.000000       	0.782752       	7.266692       	0.018167       	0.719784       	0.001823       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15599.006952   	105.357117     	152.852667     	0.745042       	0.000000       	0.745042       	6.656166       	0.016640       	0.550430       	0.001535       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.292656   	111.509798     	146.704288     	0.714297       	0.000000       	0.714297       	6.169594       	0.015424       	0.693082       	0.001489       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.592139   	117.586429     	140.570984     	0.700517       	0.000000       	0.700517       	6.093343       	0.015233       	0.740478       	0.001479       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.932876   	122.762840     	135.143238     	0.659263       	0.000000       	0.659263       	5.190791       	0.012977       	0.896217       	0.001403       	0.000039       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15596.270389   	170.356275     	236.731350     	0.662487       	0.000000       	0.662487       	10.120170      	0.025300       	1.454206       	0.001434       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.598465   	181.120776     	225.329892     	0.671924       	0.000000       	0.671924       	10.792958      	0.026982       	1.280423       	0.001475       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.927456   	191.692283     	213.854901     	0.671009       	0.000000       	0.671009       	10.599502      	0.026499       	1.546498       	0.001496       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.275495   	201.149472     	203.645299     	0.651961       	0.000000       	0.651961       	9.482373       	0.023706       	1.379191       	0.001477       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.632969   	210.283261     	193.719408     	0.642526       	0.000000       	0.642526       	9.158166       	0.022895       	1.410250       	0.001482       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15593.026617   	217.794357     	185.258691     	0.606352       	0.000000       	0.606352       	7.531345       	0.018828       	1.535724       	0.001421       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.442959   	224.706431     	177.838627     	0.583658       	0.000000       	0.583658       	6.930792       	0.017327       	1.072930       	0.001391       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.827511   	259.343592     	231.767479     	0.615448       	0.000000       	0.615448       	12.169074      	0.030423       	2.017522       	0.001490       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15591.202924   	271.512331     	217.903426     	0.624587       	0.000000       	0.624587       	12.200781      	0.030502       	2.287859       	0.001540       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.601816   	281.531726     	206.330454     	0.601108       	0.000000       	0.601108       	10.046023      	0.025115       	2.128057       	0.001514       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15590.037295   	289.539279     	197.230733     	0.564521       	0.000000       	0.564521       	8.029073       	0.020073       	1.635170       	0.001447       	0.000042       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.467182   	298.401889     	186.994234     	0.570113       	0.000000       	0.570113       	8.886308       	0.022216       	1.920304       	0.001482       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.905341   	306.796262     	177.811390     	0.561841       	0.000000       	0.561841       	8.416903       	0.021042       	1.327782       	0.001488       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15588.334141   	315.637178     	167.367249     	0.571200       	0.000000       	0.571200       	8.864613       	0.022162       	2.150728       	0.001536       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.760341   	367.555904     	262.409217     	0.573800       	0.000000       	0.573800       	14.456440      	0.036141       	3.575392       	0.001572       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15587.156497   	383.932189     	244.461747     	0.603845       	0.000000       	0.603845       	16.419011      	0.041048       	2.132305       	0.001678       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.530372   	400.712465     	225.769472     	0.626125       	0.000000       	0.626125       	16.824111      	0.042060       	2.494288       	0.001775       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.878495   	417.793422     	205.831325     	0.651876       	0.000000       	0.651876       	17.125655      	0.042814       	3.464368       	0.001884       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15585.213950   	433.786135     	187.773489     	0.664545       	0.000000       	0.664545       	16.034765      	0.040087       	2.687615       	0.001965       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15584.529483   	449.460300     	169.635733     	0.684467       	0.000000       	0.684467       	15.715519      	0.039289       	3.106704       	0.002065       	0.000069       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.835252   	463.925764     	152.780326     	0.694231       	0.000000       	0.694231       	14.503867      	0.036260       	3.045772       	0.002144       	0.000072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15583.145973   	523.266004     	239.281409     	0.689279       	0.000000       	0.689279       	21.897164      	0.054743       	4.791032       	0.002181       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.438172   	545.010295     	214.147950     	0.707800       	0.000000       	0.707800       	21.801074      	0.054503       	4.040185       	0.002280       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.749334   	562.523245     	192.607784     	0.688839       	0.000000       	0.688839       	17.559131      	0.043898       	4.669874       	0.002283       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.056752   	579.020810     	172.789739     	0.692582       	0.000000       	0.692582       	16.541252      	0.041353       	3.969375       	0.002334       	0.000083       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.349594   	595.162198     	155.232622     	0.707158       	0.000000       	0.707158       	16.184276      	0.040461       	2.079999       	0.002428       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.664395   	607.945233     	141.090890     	0.685199       	0.000000       	0.685199       	12.817497      	0.032044       	2.009434       	0.002419       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.002016   	618.529547     	128.853383     	0.662379       	0.000000       	0.662379       	10.613234      	0.026533       	2.286651       	0.002387       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.362902   	668.797701     	211.867735     	0.639113       	0.000000       	0.639113       	16.561906      	0.041405       	2.312855       	0.002348       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15577.723736   	685.257925     	193.677660     	0.639166       	0.000000       	0.639166       	16.503860      	0.041260       	2.325381       	0.002376       	0.000092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.088399   	700.534739     	175.827244     	0.635337       	0.000000       	0.635337       	15.317512      	0.038294       	3.168241       	0.002404       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15576.463900   	713.820261     	160.885549     	0.624500       	0.000000       	0.624500       	13.321232      	0.033303       	2.244962       	0.002407       	0.000095       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15575.826136   	725.119241     	148.774010     	0.637764       	0.000000       	0.637764       	11.329688      	0.028324       	1.419615       	0.002384       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15575.073231   	732.871708     	140.124034     	0.752905       	0.000000       	0.752905       	8.036836       	0.020092       	1.366044       	0.264278       	0.102406       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15574.447341   	737.626261     	134.518281     	0.625890       	0.000000       	0.625890       	5.257426       	0.013144       	0.974217       	0.489729       	0.150203       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15573.981124   	783.425217     	237.932585     	0.466217       	0.000000       	0.466217       	8.877109       	0.022193       	0.674804       	0.555960       	0.111658       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15573.496947   	792.121407     	228.595725     	0.484177       	0.000000       	0.484177       	9.312442       	0.023281       	0.508595       	0.592971       	0.105452       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15572.942793   	800.430326     	219.743935     	0.554154       	0.000000       	0.554154       	8.890985       	0.022229       	0.514959       	0.559837       	0.102849       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15572.381890   	808.173296     	211.721497     	0.560903       	0.000000       	0.560903       	8.234752       	0.020588       	0.348588       	0.471194       	0.119036       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15571.802394   	816.958070     	202.544632     	0.579496       	0.000000       	0.579496       	9.200480       	0.023002       	0.555881       	0.392703       	0.113614       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15571.205968   	826.306927     	192.753234     	0.596426       	0.000000       	0.596426       	9.733281       	0.024334       	0.654542       	0.360089       	0.112175       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15570.698169   	832.124668     	186.591470     	0.507800       	0.000000       	0.507800       	6.130228       	0.015326       	0.539335       	0.297161       	0.094362       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15570.169945   	882.173091     	285.202815     	0.528223       	0.000000       	0.528223       	12.891387      	0.032228       	1.525492       	0.310736       	0.101242       	0.000000       	0.000000       	0.000000       	0.000000       
