DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15599.657797   	79.088788      	165.907769     	64.693303      	0.000000       	64.693303      	8.361940       	0.020905       	0.673594       	0.002247       	0.000119       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15598.763439   	88.089395      	156.760899     	0.894358       	0.000000       	0.894358       	9.025348       	0.022563       	1.015880       	0.002177       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15597.878372   	96.727701      	147.868685     	0.885067       	0.000000       	0.885067       	8.662026       	0.021655       	1.115255       	0.002066       	0.000089       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15597.047714   	102.379697     	142.554260     	0.830658       	0.000000       	0.830658       	5.680711       	0.014202       	0.464371       	0.014514       	0.004868       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15596.476447   	105.888442     	139.205926     	0.571268       	0.000000       	0.571268       	3.721698       	0.009472       	0.197903       	0.203481       	0.012718       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15595.763837   	110.415734     	134.915867     	0.712609       	0.000000       	0.712609       	4.688458       	0.012027       	0.314210       	0.149139       	0.017482       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15595.214930   	114.774188     	130.436215     	0.548907       	0.000000       	0.548907       	4.576832       	0.011568       	0.451728       	0.206810       	0.019868       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15594.824981   	142.957655     	191.552781     	0.389950       	0.000000       	0.389950       	6.030171       	0.018590       	0.743211       	0.328115       	0.017562       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15594.328777   	149.218334     	185.095048     	0.496203       	0.000000       	0.496203       	6.544088       	0.016533       	0.409848       	0.266876       	0.018739       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15593.749070   	155.588720     	178.721216     	0.579707       	0.000000       	0.579707       	6.625464       	0.017054       	0.328076       	0.238024       	0.016301       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.133662   	161.806925     	172.272762     	0.615408       	0.000000       	0.615408       	6.433831       	0.017607       	0.630032       	0.198019       	0.017311       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15592.529804   	167.625243     	166.027777     	0.603857       	0.000000       	0.603857       	5.997900       	0.016180       	0.850942       	0.163402       	0.016102       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15591.885619   	174.798051     	158.622461     	0.644185       	0.000000       	0.644185       	7.347666       	0.019685       	0.701835       	0.155173       	0.016632       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.254769   	181.471599     	151.534337     	0.630850       	0.000000       	0.630850       	6.831292       	0.017786       	0.887682       	0.139958       	0.015162       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15590.649531   	229.285197     	252.603801     	0.605238       	0.000000       	0.605238       	10.464934      	0.026810       	1.570840       	0.124526       	0.013255       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15589.995996   	242.367238     	238.386439     	0.653535       	0.000000       	0.653535       	13.243199      	0.033600       	1.627698       	0.127557       	0.013659       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15589.342872   	254.509006     	225.740818     	0.653124       	0.000000       	0.653124       	12.295959      	0.031264       	1.002786       	0.122926       	0.012715       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15588.667269   	267.096718     	212.057426     	0.675602       	0.000000       	0.675602       	12.742428      	0.032413       	1.616567       	0.122304       	0.012499       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15588.026185   	275.428650     	203.769885     	0.641084       	0.000000       	0.641084       	8.461381       	0.021739       	0.467244       	0.107711       	0.010362       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15587.408705   	283.881236     	194.652322     	0.617480       	0.000000       	0.617480       	8.577408       	0.022048       	1.157636       	0.102774       	0.009923       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15586.776703   	292.159552     	186.160217     	0.632002       	0.000000       	0.632002       	8.399160       	0.021617       	0.724947       	0.099227       	0.009429       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15586.161650   	339.856499     	288.066422     	0.615054       	0.000000       	0.615054       	10.452190      	0.026770       	0.756658       	0.228474       	0.050545       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15585.687337   	347.305774     	280.063755     	0.474313       	0.000000       	0.474313       	7.991014       	0.022848       	0.485966       	0.518891       	0.060307       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15585.205608   	354.710423     	272.250437     	0.481729       	0.000000       	0.481729       	7.911011       	0.023379       	0.384036       	0.482983       	0.064624       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15584.695238   	362.758387     	263.580969     	0.510369       	0.000000       	0.510369       	8.451198       	0.024095       	0.728641       	0.379139       	0.053068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15584.194585   	370.268430     	255.575625     	0.500654       	0.000000       	0.500654       	7.828782       	0.022264       	0.677216       	0.296476       	0.038986       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15583.685570   	378.007526     	247.032787     	0.509015       	0.000000       	0.509015       	8.010152       	0.022484       	1.041700       	0.248573       	0.039764       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15583.184303   	386.023878     	237.971467     	0.501267       	0.000000       	0.501267       	8.253120       	0.022808       	1.309468       	0.213960       	0.038388       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15582.634387   	439.810820     	332.562171     	0.549915       	0.000000       	0.549915       	16.538385      	0.043340       	1.920825       	0.208102       	0.038443       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15582.116017   	452.811483     	317.560837     	0.518370       	0.000000       	0.518370       	13.211536      	0.034249       	2.308169       	0.176623       	0.031393       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15581.581115   	466.647306     	302.246354     	0.534902       	0.000000       	0.534902       	14.044134      	0.036309       	1.805250       	0.172003       	0.030365       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15581.041984   	480.172167     	286.392334     	0.539131       	0.000000       	0.539131       	13.725852      	0.035255       	2.667299       	0.165736       	0.028431       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15580.412017   	494.192727     	271.670062     	0.629967       	0.000000       	0.629967       	14.222716      	0.036473       	1.129523       	0.165683       	0.028022       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15579.843287   	504.044498     	261.398542     	0.568731       	0.000000       	0.568731       	10.031068      	0.026036       	0.809183       	0.153260       	0.024985       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15579.306437   	512.852679     	252.319849     	0.536850       	0.000000       	0.536850       	8.978007       	0.023439       	0.637537       	0.146387       	0.024010       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15578.799930   	554.765482     	329.292877     	0.506507       	0.000000       	0.506507       	12.082025      	0.031226       	1.451454       	0.137996       	0.022032       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15578.230219   	570.104332     	312.977529     	0.569710       	0.000000       	0.569710       	15.521972      	0.039853       	1.363086       	0.143268       	0.023133       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15577.687518   	583.469880     	298.003474     	0.542701       	0.000000       	0.542701       	13.538982      	0.034927       	1.977774       	0.138508       	0.021525       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15577.156421   	596.626757     	283.495122     	0.531097       	0.000000       	0.531097       	13.327565      	0.034430       	1.711884       	0.136258       	0.020987       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15576.630981   	608.789280     	269.889373     	0.525440       	0.000000       	0.525440       	12.327057      	0.031960       	1.804132       	0.132574       	0.019989       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15576.115163   	620.423276     	256.365898     	0.515818       	0.000000       	0.515818       	11.794337      	0.030657       	2.244955       	0.129684       	0.019316       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15575.612483   	631.263761     	243.319755     	0.502680       	0.000000       	0.502680       	10.995664      	0.028687       	2.553159       	0.126492       	0.018558       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15575.096019   	686.558213     	335.534391     	0.516464       	0.000000       	0.516464       	17.968217      	0.046145       	2.833611       	0.127620       	0.018705       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15574.564628   	705.016007     	314.455874     	0.531391       	0.000000       	0.531391       	18.635629      	0.047844       	2.974279       	0.129992       	0.018898       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15574.007832   	724.692645     	293.099712     	0.556796       	0.000000       	0.556796       	19.861825      	0.050945       	2.051134       	0.134241       	0.019426       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15573.448030   	742.715739     	273.414126     	0.559802       	0.000000       	0.559802       	18.205141      	0.046844       	2.040246       	0.135204       	0.019253       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15572.891392   	758.913212     	255.210359     	0.556638       	0.000000       	0.556638       	16.373750      	0.042305       	2.386654       	0.133972       	0.018846       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15572.328613   	774.668041     	237.389035     	0.562779       	0.000000       	0.562779       	15.930128      	0.041232       	2.453976       	0.134067       	0.018745       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15571.786291   	787.570918     	222.021995     	0.542322       	0.000000       	0.542322       	13.067232      	0.034107       	2.842130       	0.130248       	0.017916       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15571.240182   	845.148703     	310.785731     	0.546109       	0.000000       	0.546109       	20.258828      	0.052112       	4.023545       	0.128932       	0.017722       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15570.709874   	862.284586     	288.591580     	0.530308       	0.000000       	0.530308       	17.306444      	0.044752       	5.418015       	0.125808       	0.017090       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15570.185090   	878.132717     	269.370399     	0.524784       	0.000000       	0.524784       	16.012836      	0.041535       	3.733130       	0.123170       	0.016678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15569.470376   	893.484455     	252.625991     	0.714714       	0.000000       	0.714714       	15.549118      	0.040393       	1.910003       	0.156987       	0.035559       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15568.825956   	904.859037     	240.041301     	0.644419       	0.000000       	0.644419       	11.554732      	0.030426       	1.674377       	0.149723       	0.033347       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15568.172425   	916.154500     	228.409386     	0.653531       	0.000000       	0.653531       	11.474794      	0.030239       	0.810652       	0.149093       	0.033745       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15567.574740   	924.885458     	219.169334     	0.597685       	0.000000       	0.597685       	9.067935       	0.024223       	0.769802       	0.312754       	0.102104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15567.004305   	975.472406     	317.948655     	0.570434       	0.000000       	0.570434       	13.373251      	0.035070       	0.917863       	0.251234       	0.071430       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15566.425512   	989.920999     	302.114017     	0.578794       	0.000000       	0.578794       	14.727603      	0.038327       	1.685829       	0.240683       	0.067463       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15565.869101   	1001.668734    	289.310750     	0.556410       	0.000000       	0.556410       	12.211164      	0.032203       	1.148513       	0.431225       	0.115609       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15565.248722   	1015.620492    	274.248310     	0.620379       	0.000000       	0.620379       	14.367500      	0.037919       	1.315320       	0.377823       	0.110337       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-02	15564.582383   	1031.394155    	257.330357     	0.666339       	0.000000       	0.666339       	16.148374      	0.042237       	1.435918       	0.332475       	0.097539       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-03	15564.080861   	1040.429347    	247.056811     	0.501522       	0.000000       	0.501522       	9.977431       	0.027193       	0.797638       	0.915046       	0.145791       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-04	15563.502134   	1052.145171    	233.623816     	0.578726       	0.000000       	0.578726       	12.520182      	0.033250       	1.491539       	0.771107       	0.149167       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-05	15562.881866   	1110.386182    	322.604883     	0.620268       	0.000000       	0.620268       	21.441687      	0.055100       	2.697514       	0.645576       	0.131554       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-06	15562.206029   	1128.809866    	302.617090     	0.675837       	0.000000       	0.675837       	19.358381      	0.049644       	1.305249       	0.885054       	0.229624       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-07	15561.657222   	1142.523454    	286.381957     	0.548807       	0.000000       	0.548807       	14.978562      	0.038458       	1.805092       	1.155581       	0.169293       	0.070935       	0.000285       	0.000000       	0.000000       
2005-03-08	15561.036366   	1158.227475    	268.171205     	0.620855       	0.000000       	0.620855       	16.924807      	0.043128       	1.906507       	1.104856       	0.200634       	0.072801       	0.000294       	0.000000       	0.000000       
2005-03-09	15560.315835   	1177.948595    	245.475656     	0.720532       	0.000000       	0.720532       	20.825208      	0.052722       	2.590570       	0.976427       	0.182784       	0.074938       	0.000303       	0.000000       	0.000000       
