DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.486242   	80.723072      	161.923533     	62.864858      	0.000000       	62.864858      	10.000301      	0.025001       	1.191024       	0.002229       	0.000111       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.550794   	91.552388      	150.960439     	0.935448       	0.000000       	0.935448       	10.858725      	0.027147       	1.039818       	0.002262       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.661500   	100.701183     	141.521548     	0.889294       	0.000000       	0.889294       	9.173571       	0.022934       	1.154614       	0.001841       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.785839   	108.299554     	133.968508     	0.875660       	0.000000       	0.875660       	7.619167       	0.019048       	0.809533       	0.001749       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.020526   	113.695389     	128.755535     	0.765314       	0.000000       	0.765314       	5.410904       	0.013527       	0.567383       	0.001541       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.279635   	118.009148     	124.797590     	0.740891       	0.000000       	0.740891       	4.336286       	0.010841       	0.362550       	0.011686       	0.004755       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.602705   	121.644147     	121.555263     	0.676929       	0.000000       	0.676929       	3.668024       	0.009170       	0.251232       	0.023855       	0.007594       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.952925   	162.116219     	215.896273     	0.649780       	0.000000       	0.649780       	6.756185       	0.016890       	0.802585       	0.017223       	0.005014       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.280290   	170.092572     	207.730223     	0.672635       	0.000000       	0.672635       	8.013442       	0.020034       	0.825243       	0.017055       	0.004404       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.662811   	177.022017     	200.303691     	0.617478       	0.000000       	0.617478       	6.959049       	0.017398       	1.084962       	0.012206       	0.003130       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15594.028168   	185.131279     	191.877315     	0.634644       	0.000000       	0.634644       	8.136153       	0.020340       	0.924866       	0.006551       	0.001403       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.371195   	194.171116     	182.130444     	0.656973       	0.000000       	0.656973       	9.067128       	0.022668       	1.336717       	0.004623       	0.000780       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.710580   	203.019563     	172.608996     	0.660615       	0.000000       	0.660615       	8.874387       	0.022186       	1.307676       	0.003754       	0.000513       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15592.048889   	210.168337     	165.205765     	0.661691       	0.000000       	0.661691       	7.169700       	0.017924       	0.895221       	0.003002       	0.000340       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15591.459221   	251.623633     	258.158324     	0.589668       	0.000000       	0.589668       	7.944598       	0.019894       	0.942511       	0.219408       	0.048343       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15590.810910   	261.435811     	248.021710     	0.648311       	0.000000       	0.648311       	9.956126       	0.024890       	0.828799       	0.119057       	0.029805       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15590.154726   	271.647998     	237.314284     	0.656184       	0.000000       	0.656184       	10.316439      	0.025791       	1.047172       	0.078461       	0.021988       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15589.549884   	280.067082     	228.603347     	0.604842       	0.000000       	0.604842       	8.508565       	0.021271       	0.807214       	0.068209       	0.018965       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15589.013562   	286.153010     	222.564059     	0.536322       	0.000000       	0.536322       	6.156981       	0.015392       	0.418629       	0.055660       	0.015588       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15588.482660   	293.145040     	215.016606     	0.530902       	0.000000       	0.530902       	7.070367       	0.017676       	1.007989       	0.060661       	0.016869       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15587.994100   	299.085898     	208.480685     	0.488561       	0.000000       	0.488561       	5.999188       	0.014998       	1.025292       	0.043333       	0.010241       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15587.449353   	331.555900     	265.434500     	0.544747       	0.000000       	0.544747       	10.040147      	0.025100       	1.050786       	0.045044       	0.009818       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15586.911436   	341.734176     	253.924412     	0.537916       	0.000000       	0.537916       	10.243059      	0.025608       	1.804945       	0.039175       	0.008341       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15586.383091   	351.494000     	243.439079     	0.528346       	0.000000       	0.528346       	9.819126       	0.024548       	1.194553       	0.034755       	0.007292       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15585.833630   	362.407664     	231.752434     	0.549460       	0.000000       	0.549460       	10.975066      	0.027438       	1.261040       	0.033963       	0.007027       	0.000000       	0.000000       	0.000000       	0.000000       
