DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15579.330953   	58.143604      	116.935095     	85.020147      	0.000000       	85.020147      	9.921403       	0.024804       	0.913649       	0.002996       	0.000155       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15578.237933   	66.811388      	108.313278     	1.093020       	0.000000       	1.093020       	8.692209       	0.021731       	1.022629       	0.002695       	0.000123       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15577.181898   	74.667415      	100.384659     	1.056034       	0.000000       	1.056034       	7.878274       	0.019696       	1.106379       	0.002550       	0.000107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15576.111091   	81.168831      	94.268012      	1.070807       	0.000000       	1.070807       	6.519820       	0.016300       	0.667633       	0.002105       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15575.093917   	87.338274      	88.304839      	1.017175       	0.000000       	1.017175       	6.187001       	0.015468       	0.793346       	0.002091       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15574.139997   	92.988748      	83.190866      	0.953919       	0.000000       	0.953919       	5.666688       	0.014167       	0.401205       	0.002047       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15573.193214   	98.775116      	77.696791      	0.946783       	0.000000       	0.946783       	5.802980       	0.014507       	0.637878       	0.002104       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15572.285522   	125.739120     	125.432232     	0.907693       	0.000000       	0.907693       	8.236608       	0.020592       	1.185643       	0.002012       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15571.432586   	133.100435     	117.632216     	0.852936       	0.000000       	0.852936       	7.381741       	0.018454       	1.271210       	0.001972       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15570.576286   	140.917722     	109.800259     	0.856300       	0.000000       	0.856300       	7.838926       	0.019597       	0.849331       	0.002042       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15569.719778   	148.715825     	101.884857     	0.856508       	0.000000       	0.856508       	7.819753       	0.019549       	0.952157       	0.002100       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15568.877774   	154.290190     	96.708500      	0.842003       	0.000000       	0.842003       	5.590287       	0.013976       	0.428074       	0.001946       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15568.067875   	159.982496     	91.292786      	0.809899       	0.000000       	0.809899       	5.708548       	0.014271       	0.517065       	0.001971       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15567.278370   	165.789004     	85.839377      	0.789505       	0.000000       	0.789505       	5.823077       	0.014558       	0.419837       	0.002012       	0.000062       	0.000000       	0.000000       	0.000000       	0.000000       
