DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15604.402007   	75.756364      	164.234124     	59.949093      	0.000000       	59.949093      	5.464748       	0.013662       	0.500220       	0.444723       	0.001131       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15603.647099   	80.653735      	159.479193     	0.754907       	0.000000       	0.754907       	4.940021       	0.012350       	0.569818       	0.030299       	0.005459       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15602.971166   	84.705159      	155.792626     	0.675934       	0.000000       	0.675934       	4.084623       	0.010212       	0.277878       	0.022988       	0.004019       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.268414   	89.808819      	150.821385     	0.702752       	0.000000       	0.702752       	5.140661       	0.012852       	0.533332       	0.024149       	0.003779       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.591882   	94.690078      	146.032018     	0.676531       	0.000000       	0.676531       	4.915788       	0.012289       	0.550111       	0.022239       	0.003383       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.946611   	99.397606      	141.289160     	0.645272       	0.000000       	0.645272       	4.737235       	0.011843       	0.650895       	0.017864       	0.002459       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.264931   	105.300940     	135.184765     	0.681680       	0.000000       	0.681680       	5.932943       	0.014832       	0.853131       	0.014776       	0.001558       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.566413   	120.073257     	149.955512     	0.698518       	0.000000       	0.698518       	7.303365       	0.018258       	1.124406       	0.012790       	0.001218       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.868928   	127.036389     	142.932251     	0.697485       	0.000000       	0.697485       	6.991775       	0.017479       	0.728970       	0.011164       	0.001007       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.104609   	135.690182     	134.125207     	0.764319       	0.000000       	0.764319       	8.687371       	0.021718       	0.883993       	0.011860       	0.001023       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15597.354007   	143.210929     	125.933985     	0.750602       	0.000000       	0.750602       	7.549622       	0.018874       	1.392201       	0.010001       	0.000851       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15596.625605   	149.779526     	118.841865     	0.728402       	0.000000       	0.728402       	6.593534       	0.016484       	1.226988       	0.008453       	0.000654       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15595.896049   	156.284429     	111.912677     	0.729556       	0.000000       	0.729556       	6.529205       	0.016323       	1.129539       	0.007979       	0.000617       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15595.150091   	162.956786     	104.725916     	0.745958       	0.000000       	0.745958       	6.696848       	0.016742       	1.235871       	0.007749       	0.000597       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15594.366340   	210.106154     	207.262146     	0.783750       	0.000000       	0.783750       	9.697989       	0.024245       	1.049531       	0.024376       	0.009513       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15593.539154   	220.756266     	195.585447     	0.827187       	0.000000       	0.827187       	10.713395      	0.026783       	1.790492       	0.036499       	0.013896       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15592.869294   	227.362036     	188.602769     	0.669860       	0.000000       	0.669860       	6.836973       	0.017181       	0.815565       	0.214021       	0.046189       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15592.177620   	234.774173     	180.984806     	0.691674       	0.000000       	0.691674       	7.540225       	0.018851       	0.769411       	0.109238       	0.025181       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15591.545768   	240.957829     	174.651304     	0.631853       	0.000000       	0.631853       	6.263179       	0.015658       	0.702175       	0.063865       	0.016376       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15590.927331   	247.639173     	167.633140     	0.618437       	0.000000       	0.618437       	6.764870       	0.016912       	0.871731       	0.066614       	0.016739       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15590.328828   	254.263835     	160.557255     	0.598503       	0.000000       	0.598503       	6.694771       	0.016737       	0.979617       	0.053372       	0.011291       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15589.727189   	265.461477     	163.998771     	0.601639       	0.000000       	0.601639       	7.512947       	0.018782       	0.897176       	0.046523       	0.009196       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15589.141008   	272.297599     	156.509793     	0.586182       	0.000000       	0.586182       	6.892266       	0.017231       	1.182895       	0.038913       	0.007485       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15588.584029   	278.102005     	149.939730     	0.556978       	0.000000       	0.556978       	5.851124       	0.014628       	1.275917       	0.032090       	0.006070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15588.017240   	284.395499     	142.967095     	0.566790       	0.000000       	0.566790       	6.340044       	0.015850       	1.199381       	0.030699       	0.005734       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15587.459081   	290.253444     	136.584263     	0.558158       	0.000000       	0.558158       	5.899757       	0.014749       	1.041234       	0.027063       	0.004969       	0.000000       	0.000000       	0.000000       	0.000000       
