DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15605.334960   	79.950582      	158.436813     	59.016140      	0.000000       	59.016140      	9.225814       	0.023065       	1.603513       	0.002167       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15604.393552   	89.929982      	148.563900     	0.941407       	0.000000       	0.941407       	10.006611      	0.025017       	0.807709       	0.002195       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15603.475450   	96.642457      	142.314311     	0.918103       	0.000000       	0.918103       	6.748425       	0.016871       	0.419267       	0.019078       	0.005743       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.650367   	102.102160     	137.116733     	0.825082       	0.000000       	0.825082       	5.483818       	0.013710       	0.538843       	0.010406       	0.002852       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.824370   	108.006141     	131.438467     	0.825998       	0.000000       	0.825998       	5.926471       	0.014816       	0.577792       	0.007675       	0.001678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.992215   	114.277943     	125.460969     	0.832155       	0.000000       	0.832155       	6.293936       	0.015735       	0.515717       	0.006400       	0.001041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.172787   	120.750116     	119.235360     	0.819428       	0.000000       	0.819428       	6.494926       	0.016237       	0.550111       	0.006515       	0.001050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.391251   	139.671681     	145.242639     	0.781536       	0.000000       	0.781536       	7.694430       	0.019236       	0.829827       	0.003629       	0.000461       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.591863   	148.007004     	136.775026     	0.799388       	0.000000       	0.799388       	8.359184       	0.020898       	0.907817       	0.002963       	0.000302       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15597.814057   	155.594566     	129.030118     	0.777806       	0.000000       	0.777806       	7.609097       	0.019023       	0.913617       	0.002512       	0.000210       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15597.045985   	162.810624     	121.513997     	0.768072       	0.000000       	0.768072       	7.236450       	0.018091       	1.047743       	0.002301       	0.000163       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15596.271948   	170.076132     	114.154852     	0.774037       	0.000000       	0.774037       	7.285953       	0.018215       	0.847228       	0.002230       	0.000140       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15595.509586   	176.789163     	107.566015     	0.762362       	0.000000       	0.762362       	6.731701       	0.016829       	0.619498       	0.001841       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15594.769572   	182.813154     	101.493714     	0.740014       	0.000000       	0.740014       	6.040914       	0.015102       	0.771402       	0.001821       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15593.954663   	236.651179     	195.916844     	0.814909       	0.000000       	0.814909       	16.381008      	0.040953       	2.510770       	0.002031       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15593.099061   	249.232540     	182.823991     	0.855602       	0.000000       	0.855602       	12.614867      	0.031537       	1.333588       	0.001969       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15592.295352   	258.998589     	172.997266     	0.803709       	0.000000       	0.803709       	9.794919       	0.024487       	0.835515       	0.004383       	0.001508       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15591.530363   	266.672412     	165.489092     	0.764989       	0.000000       	0.764989       	7.736678       	0.019342       	0.536485       	0.043513       	0.019255       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15590.761829   	275.020146     	157.012319     	0.768534       	0.000000       	0.768534       	8.399994       	0.021000       	0.845313       	0.031261       	0.012530       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15589.994068   	283.790578     	147.673534     	0.767761       	0.000000       	0.767761       	8.820717       	0.022052       	1.285830       	0.028233       	0.010580       	0.000000       	0.000000       	0.000000       	0.000000       
