DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15605.334960   	79.950582      	158.436813     	59.016140      	0.000000       	59.016140      	9.225814       	0.023065       	1.603513       	0.002167       	0.000103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15604.393552   	89.929982      	148.563900     	0.941407       	0.000000       	0.941407       	10.006611      	0.025017       	0.807709       	0.002195       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15603.475450   	96.642457      	142.314311     	0.918103       	0.000000       	0.918103       	6.748425       	0.016871       	0.419267       	0.019078       	0.005743       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.650367   	102.102160     	137.116733     	0.825082       	0.000000       	0.825082       	5.483818       	0.013710       	0.538843       	0.010406       	0.002852       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.824370   	108.006141     	131.438467     	0.825998       	0.000000       	0.825998       	5.926471       	0.014816       	0.577792       	0.007675       	0.001678       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.992215   	114.277943     	125.460969     	0.832155       	0.000000       	0.832155       	6.293936       	0.015735       	0.515717       	0.006400       	0.001041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.172787   	120.750116     	119.235360     	0.819428       	0.000000       	0.819428       	6.494926       	0.016237       	0.550111       	0.006515       	0.001050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.391251   	135.362376     	134.618645     	0.781536       	0.000000       	0.781536       	7.133724       	0.017834       	0.764528       	0.003629       	0.000461       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.591863   	143.088757     	126.832919     	0.799388       	0.000000       	0.799388       	7.748715       	0.019372       	0.836398       	0.002963       	0.000302       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15597.814057   	150.127023     	119.710543     	0.777806       	0.000000       	0.777806       	7.058424       	0.017646       	0.841757       	0.002512       	0.000210       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15597.045985   	156.824080     	112.797118     	0.768072       	0.000000       	0.768072       	6.716149       	0.016790       	0.965348       	0.002301       	0.000163       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15596.271948   	163.568429     	106.027053     	0.774037       	0.000000       	0.774037       	6.763489       	0.016909       	0.780615       	0.002230       	0.000140       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15595.509586   	169.804445     	99.965124      	0.762362       	0.000000       	0.762362       	6.253490       	0.015634       	0.570801       	0.001841       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15594.769572   	175.405479     	94.377465      	0.740014       	0.000000       	0.740014       	5.616897       	0.014042       	0.710776       	0.001821       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15593.954663   	224.080428     	179.194284     	0.814909       	0.000000       	0.814909       	14.964391      	0.037411       	2.283700       	0.002031       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15593.099061   	235.587405     	167.298991     	0.855602       	0.000000       	0.855602       	11.537791      	0.028844       	1.213104       	0.001969       	0.000061       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15592.295352   	244.531160     	158.372056     	0.803709       	0.000000       	0.803709       	8.970534       	0.022426       	0.760109       	0.004353       	0.001473       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15591.530363   	251.561971     	151.557647     	0.764989       	0.000000       	0.764989       	7.091324       	0.017728       	0.488075       	0.042785       	0.018605       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15590.761829   	259.207160     	143.861974     	0.768534       	0.000000       	0.768534       	7.695136       	0.019238       	0.769070       	0.030709       	0.012072       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15589.994068   	267.237944     	135.381146     	0.767761       	0.000000       	0.767761       	8.078699       	0.020197       	1.169891       	0.027718       	0.010173       	0.000000       	0.000000       	0.000000       	0.000000       
