DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15604.402007   	59.468060      	120.758774     	59.949093      	0.000000       	59.949093      	4.079271       	0.010198       	0.361048       	0.351013       	0.000942       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15603.647099   	63.133898      	117.400998     	0.754908       	0.000000       	0.754908       	3.701346       	0.009253       	0.411337       	0.026255       	0.003817       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15602.971165   	66.184849      	114.797495     	0.675934       	0.000000       	0.675934       	3.078822       	0.007697       	0.200615       	0.020175       	0.002894       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15602.268412   	69.997618      	111.271374     	0.702752       	0.000000       	0.702752       	3.843787       	0.009609       	0.385086       	0.021409       	0.002803       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15601.591880   	73.649334      	107.869983     	0.676532       	0.000000       	0.676532       	3.680680       	0.009202       	0.397243       	0.019761       	0.002533       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15600.946608   	77.175958      	104.493616     	0.645272       	0.000000       	0.645272       	3.551585       	0.008879       	0.470055       	0.016082       	0.001880       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15600.264928   	81.575234      	100.135213     	0.681681       	0.000000       	0.681681       	4.423926       	0.011060       	0.616157       	0.013591       	0.001255       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15599.566410   	107.561766     	148.698808     	0.698518       	0.000000       	0.698518       	7.266552       	0.018166       	1.118371       	0.011854       	0.001005       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15598.868924   	114.490453     	141.714774     	0.697485       	0.000000       	0.697485       	6.956473       	0.017391       	0.725047       	0.010394       	0.000844       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.104604   	123.100675     	132.956978     	0.764320       	0.000000       	0.764320       	8.642897       	0.021607       	0.879219       	0.011067       	0.000865       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15597.354002   	130.583801     	124.811658     	0.750602       	0.000000       	0.750602       	7.511264       	0.018778       	1.384657       	0.009361       	0.000725       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15596.625599   	137.119820     	117.759358     	0.728402       	0.000000       	0.728402       	6.560387       	0.016401       	1.220316       	0.007966       	0.000572       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15595.896043   	143.592556     	110.869036     	0.729557       	0.000000       	0.729557       	6.496506       	0.016241       	1.123372       	0.007530       	0.000540       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15595.150084   	150.231968     	103.722527     	0.745959       	0.000000       	0.745959       	6.663392       	0.016658       	1.229076       	0.007321       	0.000524       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15594.366333   	167.622532     	131.432189     	0.783751       	0.000000       	0.783751       	6.178798       	0.015447       	0.645291       	0.022786       	0.008281       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15593.539146   	174.382828     	124.347279     	0.827187       	0.000000       	0.827187       	6.810935       	0.017027       	1.101162       	0.033612       	0.011742       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15592.869286   	178.553340     	120.144767     	0.669860       	0.000000       	0.669860       	4.370717       	0.011076       	0.501655       	0.189129       	0.036780       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15592.177612   	183.243476     	115.565253     	0.691675       	0.000000       	0.691675       	4.797786       	0.011994       	0.473403       	0.095656       	0.019525       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15591.545758   	187.186845     	111.755441     	0.631853       	0.000000       	0.631853       	4.009569       	0.010024       	0.432096       	0.056177       	0.012755       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15590.927321   	191.436069     	107.518845     	0.618437       	0.000000       	0.618437       	4.318550       	0.010796       	0.536483       	0.058530       	0.013010       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15590.328818   	195.655862     	103.237223     	0.598504       	0.000000       	0.598504       	4.277154       	0.010693       	0.602972       	0.046668       	0.008623       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15589.727178   	212.863102     	130.868956     	0.601640       	0.000000       	0.601640       	6.012924       	0.015032       	0.706982       	0.040652       	0.006969       	0.000000       	0.000000       	0.000000       	0.000000       
