DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15611.626104   	77.570983      	155.334916     	52.724996      	0.000000       	52.724996      	6.840137       	0.017100       	0.799944       	0.002054       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15610.794651   	85.027082      	148.001715     	0.831452       	0.000000       	0.831452       	7.476790       	0.018692       	0.687862       	0.001999       	0.000094       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15609.995396   	91.992041      	141.139376     	0.799256       	0.000000       	0.799256       	6.984286       	0.017461       	0.677309       	0.001867       	0.000080       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15609.230032   	98.301414      	134.812216     	0.765364       	0.000000       	0.765364       	6.326767       	0.015817       	0.765757       	0.001577       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15608.460400   	104.917894     	127.891881     	0.769632       	0.000000       	0.769632       	6.634680       	0.016587       	1.055287       	0.001613       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15607.726500   	110.674703     	122.135937     	0.733900       	0.000000       	0.733900       	5.772791       	0.014432       	0.717053       	0.001550       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15606.985222   	116.743796     	116.118329     	0.741278       	0.000000       	0.741278       	6.085903       	0.015215       	0.672983       	0.001595       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15606.237678   	122.954421     	110.075284     	0.747544       	0.000000       	0.747544       	6.227826       	0.015570       	0.562762       	0.001631       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15605.521358   	128.304923     	104.316057     	0.716320       	0.000000       	0.716320       	5.365501       	0.013414       	1.110046       	0.001586       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15604.834653   	133.043129     	99.383907      	0.686705       	0.000000       	0.686705       	4.751632       	0.011879       	0.867223       	0.001547       	0.000044       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15604.105132   	138.920804     	93.224871      	0.729521       	0.000000       	0.729521       	5.894085       	0.014735       	0.994471       	0.001675       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15603.377163   	144.454955     	87.609316      	0.727969       	0.000000       	0.727969       	5.549726       	0.013874       	0.793798       	0.001702       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15602.659821   	149.540154     	82.311541      	0.717342       	0.000000       	0.717342       	5.099662       	0.012749       	0.915455       	0.001714       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15601.917139   	153.302611     	78.887271      	0.742683       	0.000000       	0.742683       	3.778481       	0.009446       	0.388472       	0.006578       	0.002608       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15601.240313   	164.780080     	97.729261      	0.676826       	0.000000       	0.676826       	3.990119       	0.009975       	0.344717       	0.002674       	0.000671       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15600.626557   	168.321985     	94.190131      	0.613755       	0.000000       	0.613755       	3.552250       	0.008881       	0.600636       	0.001465       	0.000043       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15600.009066   	172.531776     	90.347698      	0.617491       	0.000000       	0.617491       	4.221871       	0.010555       	0.238053       	0.001524       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15599.394428   	176.969928     	85.976825      	0.614638       	0.000000       	0.614638       	4.450851       	0.011127       	0.534661       	0.001571       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15598.805289   	180.913378     	81.797133      	0.589139       	0.000000       	0.589139       	3.954893       	0.009887       	0.813938       	0.001556       	0.000048       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15598.185957   	185.560752     	77.214716      	0.619332       	0.000000       	0.619332       	4.660692       	0.011652       	0.541057       	0.001666       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15597.583294   	189.666938     	73.086669      	0.602662       	0.000000       	0.602662       	4.118147       	0.010295       	0.612563       	0.001665       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15596.953744   	238.808874     	172.670974     	0.629551       	0.000000       	0.629551       	11.672886      	0.029182       	1.872360       	0.001769       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15596.344181   	248.573419     	161.855441     	0.609563       	0.000000       	0.609563       	9.790781       	0.024477       	1.634315       	0.001758       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15595.747013   	257.409415     	152.173903     	0.597168       	0.000000       	0.597168       	8.859902       	0.022150       	1.418804       	0.001756       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15595.165587   	265.375341     	143.635177     	0.581426       	0.000000       	0.581426       	7.987639       	0.019969       	1.132512       	0.001744       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15594.580136   	273.531036     	134.670370     	0.585451       	0.000000       	0.585451       	8.177921       	0.020445       	1.372337       	0.001782       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15594.013402   	280.561781     	126.707097     	0.566735       	0.000000       	0.566735       	7.050133       	0.017625       	1.479874       	0.001763       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15593.422246   	288.634052     	118.382514     	0.591156       	0.000000       	0.591156       	8.094363       	0.020236       	0.821376       	0.001856       	0.000064       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15592.878860   	332.476448     	209.019955     	0.543385       	0.000000       	0.543385       	10.119446      	0.025299       	1.036498       	0.001751       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15592.338790   	342.750915     	198.080850     	0.540070       	0.000000       	0.540070       	10.301971      	0.025755       	1.177205       	0.001749       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15591.775896   	354.940314     	184.481615     	0.562894       	0.000000       	0.562894       	12.221795      	0.030554       	1.940333       	0.001842       	0.000065       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15591.191823   	367.739724     	169.513051     	0.584073       	0.000000       	0.584073       	12.833438      	0.032084       	2.719200       	0.001944       	0.000070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15590.592399   	380.219018     	155.343638     	0.599424       	0.000000       	0.599424       	12.512608      	0.031282       	2.256228       	0.002033       	0.000074       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15589.955770   	393.456961     	139.349305     	0.636629       	0.000000       	0.636629       	13.273305      	0.033183       	3.357658       	0.002178       	0.000081       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15589.243153   	405.149812     	126.442541     	0.712617       	0.000000       	0.712617       	11.724424      	0.029311       	1.894957       	0.002263       	0.000085       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15588.544863   	455.166090     	209.861084     	0.698290       	0.000000       	0.698290       	16.309277      	0.040773       	2.220470       	0.002226       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15587.810550   	469.683930     	194.351682     	0.734313       	0.000000       	0.734313       	14.561622      	0.036404       	1.682092       	0.007378       	0.003174       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15587.152707   	477.254613     	186.775429     	0.657843       	0.000000       	0.657843       	7.688851       	0.019222       	0.545245       	0.098945       	0.046725       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15586.497666   	485.650453     	178.083459     	0.655041       	0.000000       	0.655041       	8.454852       	0.021137       	0.892159       	0.037875       	0.018138       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15585.853323   	494.656491     	168.418536     	0.644343       	0.000000       	0.644343       	9.065261       	0.022663       	1.244005       	0.036559       	0.017086       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15585.212186   	504.296007     	157.700798     	0.641137       	0.000000       	0.641137       	9.677601       	0.024194       	1.681274       	0.013892       	0.005426       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15584.508667   	513.165264     	148.578538     	0.703519       	0.000000       	0.703519       	8.905584       	0.022264       	0.920194       	0.014062       	0.005757       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15583.773321   	565.830626     	245.015808     	0.735346       	0.000000       	0.735346       	15.238599      	0.038096       	1.559477       	0.035142       	0.017649       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15583.158956   	574.847537     	235.248440     	0.614364       	0.000000       	0.614364       	9.428994       	0.023572       	0.952738       	0.388510       	0.128339       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15582.640978   	583.023504     	226.504784     	0.517978       	0.000000       	0.517978       	8.792851       	0.021984       	0.468783       	0.594899       	0.094981       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15582.073270   	592.844626     	215.829984     	0.567708       	0.000000       	0.567708       	10.264468      	0.025662       	0.978041       	0.417684       	0.072006       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15581.479164   	602.082601     	206.339256     	0.594106       	0.000000       	0.594106       	9.601512       	0.024005       	0.483321       	0.339533       	0.084007       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15580.885022   	611.469912     	196.071162     	0.594142       	0.000000       	0.594142       	9.696125       	0.024240       	1.166111       	0.284573       	0.082060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-18	15580.339942   	619.464262     	187.238294     	0.545080       	0.000000       	0.545080       	8.255787       	0.020639       	1.122160       	0.240798       	0.068185       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-19	15579.793414   	641.053327     	209.883552     	0.546528       	0.000000       	0.546528       	10.605661      	0.026514       	1.045610       	0.240082       	0.067105       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-20	15579.301612   	648.741308     	201.748618     	0.491802       	0.000000       	0.491802       	7.919649       	0.019799       	0.707087       	0.211869       	0.056919       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-21	15578.787641   	658.206062     	190.925487     	0.513971       	0.000000       	0.513971       	9.703037       	0.024258       	1.634066       	0.214025       	0.058107       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-22	15578.269518   	667.628234     	180.869408     	0.518123       	0.000000       	0.518123       	9.655284       	0.024138       	0.918917       	0.208973       	0.055278       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-23	15577.715949   	675.037606     	172.757849     	0.553570       	0.000000       	0.553570       	7.619684       	0.019049       	1.045446       	0.191263       	0.049038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-24	15577.166612   	681.616363     	166.076684     	0.549337       	0.000000       	0.549337       	6.777151       	0.016943       	0.453350       	0.181451       	0.046103       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-25	15576.622760   	687.540703     	159.989029     	0.543852       	0.000000       	0.543852       	6.125230       	0.015313       	0.506278       	0.185576       	0.049382       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-26	15576.111674   	705.292107     	187.116222     	0.511086       	0.000000       	0.511086       	6.689370       	0.016723       	0.444522       	0.171243       	0.043746       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-27	15575.587284   	712.672498     	179.255909     	0.524390       	0.000000       	0.524390       	7.570722       	0.018927       	0.813981       	0.171404       	0.043528       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-28	15575.040592   	720.433269     	170.784527     	0.546692       	0.000000       	0.546692       	7.951687       	0.019879       	1.066387       	0.171037       	0.042847       	0.000000       	0.000000       	0.000000       	0.000000       
2005-03-01	15574.536699   	727.324271     	163.546851     	0.503893       	0.000000       	0.503893       	7.072459       	0.017681       	0.669109       	0.163776       	0.040067       	0.000000       	0.000000       	0.000000       	0.000000       
