DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15628.995716   	63.134408      	107.675716     	35.355384      	0.000000       	35.355384      	3.645271       	0.009113       	0.534398       	0.001750       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15628.149736   	67.772610      	103.012580     	0.845980       	0.000000       	0.845980       	4.651658       	0.011629       	0.857458       	0.001826       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15627.281925   	73.320117      	97.498679      	0.867811       	0.000000       	0.867811       	5.563329       	0.013908       	0.818383       	0.001914       	0.000082       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15626.364532   	79.769484      	91.446480      	0.917393       	0.000000       	0.917393       	6.467375       	0.016168       	0.502217       	0.001840       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15625.476887   	85.550605      	85.943476      	0.887645       	0.000000       	0.887645       	5.797438       	0.014494       	0.593211       	0.001824       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15624.645051   	90.352598      	81.327765      	0.831836       	0.000000       	0.831836       	4.815782       	0.012039       	0.631765       	0.001749       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15623.898467   	93.978941      	77.931153      	0.746584       	0.000000       	0.746584       	3.637032       	0.009093       	0.506164       	0.001597       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15623.155623   	117.142012     	130.085859     	0.742844       	0.000000       	0.742844       	4.425547       	0.011064       	0.412590       	0.001413       	0.000038       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15622.455668   	122.030313     	125.316117     	0.699955       	0.000000       	0.699955       	4.901976       	0.012255       	0.567721       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15621.778018   	127.123619     	120.406061     	0.677650       	0.000000       	0.677650       	5.107501       	0.012769       	0.480205       	0.001426       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15621.093106   	132.323930     	114.861755     	0.684912       	0.000000       	0.684912       	5.214795       	0.013037       	1.014423       	0.001447       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15620.452826   	137.006071     	110.189448     	0.640280       	0.000000       	0.640280       	4.695299       	0.011738       	0.617288       	0.001420       	0.000040       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15619.708928   	144.461078     	102.468199     	0.743897       	0.000000       	0.743897       	7.475382       	0.018688       	0.989764       	0.001687       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15618.954185   	151.648604     	95.198473      	0.754743       	0.000000       	0.754743       	7.207315       	0.018018       	0.817155       	0.001770       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15618.195893   	203.887252     	191.083153     	0.758292       	0.000000       	0.758292       	14.777431      	0.036944       	2.596181       	0.001839       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15617.455746   	216.767838     	177.045363     	0.740147       	0.000000       	0.740147       	12.914722      	0.032287       	1.863215       	0.001850       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15616.730968   	228.393865     	164.850630     	0.724778       	0.000000       	0.724778       	11.657031      	0.029143       	1.262480       	0.001861       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15616.033668   	238.449376     	153.568128     	0.697300       	0.000000       	0.697300       	10.082554      	0.025206       	1.897248       	0.001837       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15615.362388   	247.263775     	144.010449     	0.671280       	0.000000       	0.671280       	8.838307       	0.022096       	1.390652       	0.001811       	0.000056       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15614.673830   	256.968818     	133.571252     	0.688558       	0.000000       	0.688558       	9.731263       	0.024328       	1.396492       	0.001892       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15614.013939   	264.927813     	125.033093     	0.659891       	0.000000       	0.659891       	7.980805       	0.019952       	1.217245       	0.001859       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15613.063242   	276.194406     	129.101460     	0.950697       	0.000000       	0.950697       	7.541413       	0.018854       	0.590918       	0.005966       	0.002000       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15612.154144   	283.516460     	122.011810     	0.909098       	0.000000       	0.909098       	7.342256       	0.018356       	0.656491       	0.001847       	0.000060       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15611.329674   	291.182691     	114.318925     	0.824470       	0.000000       	0.824470       	7.687352       	0.019218       	0.830003       	0.001902       	0.000063       	0.000000       	0.000000       	0.000000       	0.000000       
