DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15615.308921   	56.159938      	98.414039      	49.042179      	0.000000       	49.042179      	4.172324       	0.010431       	0.455816       	0.001955       	0.000104       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15614.538073   	60.503958      	94.476869      	0.770849       	0.000000       	0.770849       	4.356760       	0.010892       	0.351259       	0.001848       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15613.766847   	65.005941      	90.366757      	0.771226       	0.000000       	0.771226       	4.515067       	0.011288       	0.366270       	0.001797       	0.000079       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15613.064876   	68.574799      	87.119164      	0.701972       	0.000000       	0.701972       	3.579229       	0.008948       	0.370335       	0.001423       	0.000041       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15612.433691   	71.338347      	84.611571      	0.631184       	0.000000       	0.631184       	2.771760       	0.006929       	0.367016       	0.001283       	0.000036       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15611.827982   	73.388921      	83.035924      	0.605709       	0.000000       	0.605709       	2.063149       	0.005158       	0.118207       	0.007417       	0.002196       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15611.216434   	75.643567      	81.311265      	0.611548       	0.000000       	0.611548       	2.270524       	0.005676       	0.065684       	0.010201       	0.002780       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15610.652423   	113.556343     	178.694407     	0.564011       	0.000000       	0.564011       	4.189342       	0.010473       	0.241527       	0.016092       	0.005201       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15610.055306   	118.908978     	173.255097     	0.597116       	0.000000       	0.597116       	5.377662       	0.013444       	0.658765       	0.011583       	0.002894       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15609.468871   	124.282952     	167.695525     	0.586436       	0.000000       	0.586436       	5.397102       	0.013493       	0.748906       	0.009635       	0.001962       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15608.846063   	131.014984     	161.069438     	0.622808       	0.000000       	0.622808       	6.760336       	0.016901       	0.488559       	0.011403       	0.002294       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15608.192082   	137.879930     	153.935967     	0.653981       	0.000000       	0.653981       	6.888712       	0.017222       	0.898740       	0.006544       	0.001236       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15607.731841   	140.292828     	151.442061     	0.460240       	0.000000       	0.460240       	2.615373       	0.006571       	0.338773       	0.195905       	0.024830       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15607.211293   	143.920799     	147.858089     	0.520549       	0.000000       	0.520549       	3.791148       	0.010636       	0.313372       	0.152540       	0.020760       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15606.636654   	185.923290     	240.613549     	0.574638       	0.000000       	0.574638       	8.389989       	0.022102       	0.679190       	0.115395       	0.016875       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15606.000469   	195.934941     	230.278125     	0.636186       	0.000000       	0.636186       	10.143980      	0.025360       	0.827630       	0.106969       	0.017433       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15605.398928   	204.511320     	221.274118     	0.601541       	0.000000       	0.601541       	8.691644       	0.021729       	0.913903       	0.093536       	0.015324       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15604.834835   	212.424022     	212.872360     	0.564093       	0.000000       	0.564093       	8.020444       	0.020051       	0.945407       	0.087691       	0.013856       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15604.321650   	218.946383     	205.724113     	0.513186       	0.000000       	0.513186       	6.612752       	0.016532       	1.048681       	0.073859       	0.010396       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15603.790862   	226.690885     	197.857674     	0.530787       	0.000000       	0.530787       	7.841911       	0.019605       	0.555315       	0.077804       	0.010720       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15603.320295   	230.799572     	193.698964     	0.470568       	0.000000       	0.470568       	4.177689       	0.010444       	0.451588       	0.058558       	0.007489       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15602.794664   	241.542759     	197.489615     	0.525631       	0.000000       	0.525631       	7.082213       	0.017706       	0.902767       	0.071321       	0.009875       	0.000000       	0.000000       	0.000000       	0.000000       
