DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15606.257173   	53.662009      	94.858834      	58.093927      	0.000000       	58.093927      	5.427775       	0.013569       	0.557318       	0.002197       	0.000106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15605.395826   	58.590353      	90.272191      	0.861347       	0.000000       	0.861347       	4.942718       	0.012357       	0.505272       	0.002018       	0.000088       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15604.592047   	62.806328      	86.302994      	0.803779       	0.000000       	0.803779       	4.228194       	0.010570       	0.544781       	0.001648       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15603.778757   	67.349201      	82.004414      	0.813290       	0.000000       	0.813290       	4.555963       	0.011390       	0.555906       	0.001701       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15602.929463   	71.119614      	78.860558      	0.849294       	0.000000       	0.849294       	3.786675       	0.009467       	0.206475       	0.006795       	0.001776       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15602.070639   	75.050245      	75.477559      	0.858824       	0.000000       	0.858824       	3.945177       	0.009863       	0.296646       	0.004682       	0.001096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15601.193314   	78.766429      	72.300161      	0.877324       	0.000000       	0.877324       	3.739918       	0.009350       	0.314805       	0.014384       	0.004070       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15600.426089   	118.904677     	167.278412     	0.767225       	0.000000       	0.767225       	6.491323       	0.016228       	0.547651       	0.086848       	0.014341       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15599.680510   	125.208228     	160.958179     	0.745579       	0.000000       	0.745579       	6.500529       	0.016556       	0.565283       	0.180422       	0.024841       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15598.996631   	130.441832     	155.791757     	0.683879       	0.000000       	0.683879       	5.454662       	0.014466       	0.395639       	0.206592       	0.027299       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15598.339913   	135.449739     	150.849904     	0.656718       	0.000000       	0.656718       	5.153413       	0.014121       	0.445158       	0.131385       	0.016408       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15597.662632   	141.158305     	145.203462     	0.677281       	0.000000       	0.677281       	5.830916       	0.014638       	0.492807       	0.107712       	0.014468       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15597.005223   	146.796075     	139.342240     	0.657409       	0.000000       	0.657409       	5.747075       	0.014368       	0.771556       	0.094938       	0.013787       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15596.333381   	153.237227     	132.469680     	0.671842       	0.000000       	0.671842       	6.549123       	0.016373       	0.995279       	0.091598       	0.011873       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15595.635182   	173.614799     	156.256187     	0.698198       	0.000000       	0.698198       	9.238732       	0.023097       	1.422959       	0.088064       	0.010698       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15594.911487   	181.002728     	148.795755     	0.723695       	0.000000       	0.723695       	7.488366       	0.018721       	0.695760       	0.081716       	0.009521       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15594.293779   	186.174852     	143.538233     	0.617709       	0.000000       	0.617709       	5.496952       	0.016204       	0.378279       	0.308624       	0.027566       	0.000000       	0.000000       	0.000000       	0.000000       
