DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15601.360286   	62.041736      	121.406577     	62.990814      	0.000000       	62.990814      	6.309790       	0.015774       	0.524446       	0.002280       	0.000121       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15600.508443   	67.954350      	115.770653     	0.851843       	0.000000       	0.851843       	5.929495       	0.014824       	0.558273       	0.002057       	0.000096       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15599.722444   	72.999553      	110.863533     	0.785999       	0.000000       	0.785999       	5.059683       	0.012649       	0.633436       	0.001831       	0.000077       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15598.942526   	78.258249      	105.540752     	0.779918       	0.000000       	0.779918       	5.273501       	0.013184       	0.829198       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15598.171529   	83.475940      	100.521974     	0.770997       	0.000000       	0.770997       	5.232392       	0.013081       	0.557383       	0.001621       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15597.434343   	88.107824      	96.215920      	0.737185       	0.000000       	0.737185       	4.645063       	0.011613       	0.398176       	0.001567       	0.000045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15596.700389   	92.826958      	91.481981      	0.733955       	0.000000       	0.733955       	4.732551       	0.011831       	0.735342       	0.001585       	0.000046       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15595.905788   	141.826924     	191.938399     	0.794601       	0.000000       	0.794601       	11.530460      	0.028826       	1.307724       	0.001668       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15595.134199   	152.632797     	180.658727     	0.771589       	0.000000       	0.771589       	10.834637      	0.027087       	1.216624       	0.001677       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15594.369345   	163.178343     	169.834257     	0.764854       	0.000000       	0.764854       	10.573691      	0.026434       	1.015634       	0.001711       	0.000050       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15593.626446   	169.499241     	163.816281     	0.742899       	0.000000       	0.742899       	6.371498       	0.015929       	0.389377       	0.034672       	0.012919       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15593.031217   	173.171457     	160.353308     	0.595229       	0.000000       	0.595229       	3.770884       	0.009427       	0.287317       	0.089241       	0.023102       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15592.458914   	176.980780     	156.757528     	0.572303       	0.000000       	0.572303       	3.894539       	0.009736       	0.273544       	0.075480       	0.017601       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15591.906019   	180.886700     	153.004172     	0.552895       	0.000000       	0.552895       	3.964158       	0.009910       	0.342093       	0.048328       	0.012265       	0.000000       	0.000000       	0.000000       	0.000000       
