DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	143.246123     	180.037264     	0.844938       	0.000000       	0.844938       	13.412980      	0.033532       	1.934187       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	154.430287     	168.029486     	0.811370       	0.000000       	0.811370       	11.214048      	0.028035       	1.605100       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	164.099688     	157.399492     	0.777453       	0.000000       	0.777453       	9.695446       	0.024239       	1.712001       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	170.983612     	150.043869     	0.697294       	0.000000       	0.697294       	6.902824       	0.017257       	1.150093       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	179.383209     	141.277558     	0.721646       	0.000000       	0.721646       	8.422390       	0.021056       	1.065568       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	187.450784     	132.532738     	0.715250       	0.000000       	0.715250       	8.089546       	0.020224       	1.370524       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	194.830569     	124.719848     	0.699829       	0.000000       	0.699829       	7.400030       	0.018500       	1.112688       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	224.142852     	169.791475     	0.697677       	0.000000       	0.697677       	10.590535      	0.026476       	1.285515       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	233.196978     	159.917591     	0.668913       	0.000000       	0.668913       	9.078561       	0.022696       	1.464236       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	240.528448     	152.333908     	0.627063       	0.000000       	0.627063       	7.351512       	0.018379       	0.859235       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	247.887549     	144.306753     	0.616072       	0.000000       	0.616072       	7.379212       	0.018448       	1.264015       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	254.873998     	136.540316     	0.602324       	0.000000       	0.602324       	7.005619       	0.017514       	1.363142       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	261.480625     	129.479268     	0.590325       	0.000000       	0.590325       	6.624841       	0.016562       	1.026531       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	265.768914     	125.352158     	0.572370       	0.000000       	0.572370       	4.302125       	0.010755       	0.397356       	0.003081       	0.001045       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	302.788228     	223.406643     	0.453935       	0.000000       	0.453935       	3.328623       	0.008322       	0.320827       	0.050988       	0.019742       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	307.356551     	218.925636     	0.462767       	0.000000       	0.462767       	4.625081       	0.011563       	0.318694       	0.045194       	0.015047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	312.383964     	214.077551     	0.467062       	0.000000       	0.467062       	5.089761       	0.012724       	0.225386       	0.049623       	0.017301       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	319.822817     	206.447992     	0.530737       	0.000000       	0.530737       	7.516174       	0.018790       	0.644122       	0.058530       	0.018688       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437531   	329.805609     	195.963830     	0.609287       	0.000000       	0.609287       	10.077748      	0.025194       	1.015700       	0.069762       	0.021323       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974724   	334.046614     	191.601242     	0.462807       	0.000000       	0.462807       	4.365878       	0.010916       	0.459517       	0.113957       	0.029240       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500259   	338.949230     	186.726905     	0.474464       	0.000000       	0.474464       	4.976101       	0.012440       	0.372700       	0.061046       	0.020521       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000350   	386.313097     	288.738271     	0.499910       	0.000000       	0.499910       	9.953075       	0.024883       	1.035468       	0.064325       	0.021106       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500443   	396.812307     	277.337224     	0.499906       	0.000000       	0.499906       	10.592535      	0.026481       	1.308418       	0.066844       	0.021659       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985426   	408.657416     	263.979416     	0.515018       	0.000000       	0.515018       	11.933729      	0.029834       	1.939097       	0.058785       	0.016248       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456348   	421.141275     	250.437983     	0.529078       	0.000000       	0.529078       	12.566616      	0.031417       	1.503895       	0.051341       	0.013477       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911463   	433.916460     	236.224086     	0.544885       	0.000000       	0.544885       	12.853984      	0.032135       	1.904798       	0.046664       	0.011986       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379476   	443.637920     	225.819409     	0.531987       	0.000000       	0.531987       	9.781744       	0.024454       	1.154920       	0.035829       	0.009150       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796843   	453.745523     	214.586886     	0.582633       	0.000000       	0.582633       	10.167434      	0.025419       	1.647722       	0.034412       	0.008710       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256683   	503.262235     	314.291438     	0.540160       	0.000000       	0.540160       	12.077613      	0.030194       	1.257994       	0.030707       	0.008189       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774060   	511.551978     	305.586517     	0.482622       	0.000000       	0.482622       	8.382915       	0.020957       	0.804629       	0.072214       	0.028589       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333668   	518.515484     	297.988881     	0.440392       	0.000000       	0.440392       	7.233559       	0.018133       	0.804470       	0.251919       	0.073200       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852764   	527.537557     	288.597159     	0.480904       	0.000000       	0.480904       	9.276791       	0.023222       	0.595834       	0.231496       	0.063055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492809   	535.409034     	279.993499     	0.359956       	0.000000       	0.359956       	8.217767       	0.020545       	0.745849       	0.325745       	0.063092       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125453   	544.272807     	269.724715     	0.367356       	0.000000       	0.367356       	9.446755       	0.023632       	1.189386       	0.559350       	0.076596       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815757   	553.067587     	259.335261     	0.309695       	0.000000       	0.309695       	9.377260       	0.023493       	1.321890       	0.558988       	0.062008       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416206   	600.878469     	330.363425     	0.399551       	0.000000       	0.399551       	18.231998      	0.045580       	1.139389       	0.375535       	0.050710       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922341   	616.932166     	313.322443     	0.493865       	0.000000       	0.493865       	16.524647      	0.041312       	1.010200       	0.429639       	0.091179       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384716   	631.929580     	297.394754     	0.537625       	0.000000       	0.537625       	15.434856      	0.038587       	1.030458       	0.398855       	0.093820       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850204   	643.098337     	285.641892     	0.534511       	0.000000       	0.534511       	11.567639      	0.028920       	0.719735       	0.369962       	0.095715       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354589   	652.513805     	275.179435     	0.495615       	0.000000       	0.495615       	9.757045       	0.024394       	1.201027       	0.317183       	0.083259       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880819   	660.567056     	266.487794     	0.473770       	0.000000       	0.473770       	8.499814       	0.021319       	0.665597       	0.425245       	0.105799       	0.000000       	0.000000       	0.000000       	0.000000       
