DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	57.168964      	115.928209     	67.930922      	0.000000       	67.930922      	5.183953       	0.012960       	0.818761       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	62.582483      	110.969715     	0.836899       	0.000000       	0.836899       	5.429209       	0.013573       	0.366183       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	67.830792      	106.018294     	0.814482       	0.000000       	0.814482       	5.263501       	0.013159       	0.502402       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	72.740586      	101.410507     	0.776384       	0.000000       	0.776384       	4.923987       	0.012310       	0.460183       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	77.703487      	96.838261      	0.767723       	0.000000       	0.767723       	4.976980       	0.012442       	0.362989       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	83.310626      	91.424652      	0.800831       	0.000000       	0.800831       	5.622938       	0.014057       	0.591502       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	89.058207      	85.739340      	0.820015       	0.000000       	0.820015       	5.763800       	0.014409       	0.741527       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	126.617242     	152.374956     	0.844938       	0.000000       	0.844938       	11.339283      	0.028348       	1.620040       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	136.089616     	142.343934     	0.811370       	0.000000       	0.811370       	9.497968       	0.023745       	1.344424       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	144.292772     	133.461877     	0.777453       	0.000000       	0.777453       	8.225525       	0.020564       	1.433985       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	150.155992     	127.316271     	0.697294       	0.000000       	0.697294       	5.879563       	0.014699       	0.963338       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	157.293705     	119.988023     	0.721646       	0.000000       	0.721646       	7.157344       	0.017893       	0.892550       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	164.154484     	112.675527     	0.715250       	0.000000       	0.715250       	6.879725       	0.017199       	1.148021       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	170.439103     	106.141177     	0.699829       	0.000000       	0.699829       	6.302119       	0.015755       	0.932060       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	198.671814     	152.434990     	0.697677       	0.000000       	0.697677       	9.508258       	0.023771       	1.145607       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
