DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15596.420178   	61.385673      	126.629026     	67.930922      	0.000000       	67.930922      	5.651831       	0.014130       	0.900065       	0.002029       	0.000108       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15595.583279   	67.287947      	121.144213     	0.836899       	0.000000       	0.836899       	5.919190       	0.014798       	0.402522       	0.002117       	0.000113       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15594.768796   	73.006851      	115.671186     	0.814482       	0.000000       	0.814482       	5.735275       	0.014338       	0.552234       	0.002033       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15593.992413   	78.352479      	110.580843     	0.776384       	0.000000       	0.776384       	5.360914       	0.013402       	0.505813       	0.001883       	0.000084       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15593.224690   	83.754656      	105.532237     	0.767723       	0.000000       	0.767723       	5.417356       	0.013543       	0.398972       	0.001637       	0.000049       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15592.423859   	89.861168      	99.559381      	0.800831       	0.000000       	0.800831       	6.123563       	0.015309       	0.650123       	0.001742       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15591.603844   	96.118574      	93.289493      	0.820015       	0.000000       	0.820015       	6.274902       	0.015687       	0.815001       	0.001810       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15590.758906   	125.148531     	138.613054     	0.844938       	0.000000       	0.844938       	10.307625      	0.025769       	1.463753       	0.001899       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15589.947536   	133.769293     	129.565463     	0.811370       	0.000000       	0.811370       	8.644222       	0.021611       	1.214739       	0.001849       	0.000055       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15589.170082   	141.242993     	121.553002     	0.777453       	0.000000       	0.777453       	7.494241       	0.018736       	1.295673       	0.001806       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15588.472788   	146.598412     	116.009379     	0.697294       	0.000000       	0.697294       	5.370489       	0.013426       	0.870428       	0.001643       	0.000047       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15587.751141   	153.108332     	109.396574     	0.721646       	0.000000       	0.721646       	6.527978       	0.016320       	0.806475       	0.001737       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15587.035891   	159.368716     	102.796672     	0.715250       	0.000000       	0.715250       	6.277825       	0.015695       	1.037326       	0.001747       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15586.336063   	165.108462     	96.898422      	0.699829       	0.000000       	0.699829       	5.755881       	0.014390       	0.842199       	0.001745       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15585.638385   	197.207816     	154.310183     	0.697677       	0.000000       	0.697677       	9.625193       	0.024063       	1.160723       	0.001776       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15584.969473   	205.444019     	145.398406     	0.668913       	0.000000       	0.668913       	8.258589       	0.020646       	1.322101       	0.001739       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-17	15584.342410   	212.121999     	138.553254     	0.627063       	0.000000       	0.627063       	6.696384       	0.016741       	0.775832       	0.001664       	0.000051       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-18	15583.726338   	218.824644     	131.306889     	0.616072       	0.000000       	0.616072       	6.721111       	0.016803       	1.141326       	0.001663       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-19	15583.124014   	225.190194     	124.295211     	0.602324       	0.000000       	0.602324       	6.383164       	0.015958       	1.230838       	0.001656       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-20	15582.533689   	231.212253     	117.919825     	0.590325       	0.000000       	0.590325       	6.038809       	0.015097       	0.926902       	0.001652       	0.000052       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-21	15581.961319   	235.135061     	114.197656     	0.572370       	0.000000       	0.572370       	3.935689       	0.009839       	0.358850       	0.003042       	0.000998       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-22	15581.507383   	256.388962     	168.105861     	0.453936       	0.000000       	0.453936       	2.558193       	0.006395       	0.237537       	0.047896       	0.017599       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-23	15581.044616   	259.849124     	164.821680     	0.462767       	0.000000       	0.462767       	3.510975       	0.008777       	0.235973       	0.042036       	0.013202       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-24	15580.577554   	263.646792     	161.268302     	0.467062       	0.000000       	0.467062       	3.853541       	0.009634       	0.166900       	0.046239       	0.015235       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-25	15580.046817   	269.231591     	155.668674     	0.530737       	0.000000       	0.530737       	5.653347       	0.014133       	0.477017       	0.054414       	0.016384       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-26	15579.437530   	276.706283     	147.967265     	0.609287       	0.000000       	0.609287       	7.558408       	0.018896       	0.752287       	0.064820       	0.018668       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-27	15578.974723   	279.910616     	144.771890     	0.462807       	0.000000       	0.462807       	3.317773       	0.008297       	0.340410       	0.105143       	0.025231       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-28	15578.500258   	283.610172     	141.204760     	0.474465       	0.000000       	0.474465       	3.765477       	0.009414       	0.276117       	0.056507       	0.017762       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-29	15578.000348   	292.288059     	147.450433     	0.499910       	0.000000       	0.499910       	4.999879       	0.012500       	0.504358       	0.059492       	0.018217       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-30	15577.500441   	297.526839     	141.999129     	0.499907       	0.000000       	0.499907       	5.313913       	0.013285       	0.637298       	0.061848       	0.018723       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-31	15576.985423   	303.430255     	135.597094     	0.515018       	0.000000       	0.515018       	5.972375       	0.014931       	0.944679       	0.054029       	0.013787       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-01	15576.456345   	309.655177     	129.105620     	0.529078       	0.000000       	0.529078       	6.287755       	0.015719       	0.732797       	0.047113       	0.011350       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-02	15575.911459   	316.031406     	122.287077     	0.544885       	0.000000       	0.544885       	6.435125       	0.016088       	0.928303       	0.042808       	0.010063       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-03	15575.379472   	320.925818     	117.316298     	0.531988       	0.000000       	0.531988       	4.939654       	0.012349       	0.563113       	0.032893       	0.007672       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-04	15574.796838   	326.012388     	111.963827     	0.582634       	0.000000       	0.582634       	5.130990       	0.012827       	0.804115       	0.031593       	0.007296       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-05	15574.256677   	355.008142     	172.798488     	0.540161       	0.000000       	0.540161       	6.540321       	0.016351       	0.665178       	0.028216       	0.006868       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-06	15573.774055   	359.508352     	168.277646     	0.482623       	0.000000       	0.482623       	4.577967       	0.011445       	0.425498       	0.066312       	0.024129       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-07	15573.333662   	363.186095     	164.382760     	0.440393       	0.000000       	0.440393       	3.909812       	0.009890       	0.425466       	0.222179       	0.057914       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-08	15572.852758   	367.959235     	159.560534     	0.480904       	0.000000       	0.480904       	4.987904       	0.012547       	0.315227       	0.202216       	0.049125       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-09	15572.492802   	372.111706     	155.083275     	0.359956       	0.000000       	0.359956       	4.442547       	0.011108       	0.394667       	0.278968       	0.047781       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-10	15572.125445   	376.698528     	149.740255     	0.367357       	0.000000       	0.367357       	5.080881       	0.012735       	0.629495       	0.481325       	0.056956       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-11	15571.815750   	381.254495     	144.308649     	0.309696       	0.000000       	0.309696       	5.041437       	0.012677       	0.699864       	0.472794       	0.043482       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-12	15571.416198   	418.634312     	211.268377     	0.399552       	0.000000       	0.399552       	11.473558      	0.028684       	0.716266       	0.315057       	0.035619       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-13	15570.922333   	428.655433     	200.724060     	0.493865       	0.000000       	0.493865       	10.402999      	0.026009       	0.635183       	0.355868       	0.063347       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-14	15570.384708   	438.022232     	190.894559     	0.537625       	0.000000       	0.537625       	9.719075       	0.024299       	0.648050       	0.327977       	0.064588       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-15	15569.850196   	444.983605     	183.692059     	0.534512       	0.000000       	0.534512       	7.284300       	0.018215       	0.452712       	0.304713       	0.066146       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-16	15569.354580   	450.854978     	177.284411     	0.495616       	0.000000       	0.495616       	6.147695       	0.015372       	0.755569       	0.260949       	0.057224       	0.000000       	0.000000       	0.000000       	0.000000       
2005-02-17	15568.880809   	455.841359     	171.985452     	0.473770       	0.000000       	0.473770       	5.353937       	0.013496       	0.418792       	0.354060       	0.074058       	0.000000       	0.000000       	0.000000       	0.000000       
