DATE      	ORG SOIL N     	PROF SOIL NO3  	PROF SOIL NH4  	MINERALIZATION 	IMMOBILIZATION 	NET MINERALIZ  	NH4 NITRIFICAT 	N2O FROM NITRIF	NH3 VOLATILIZ  	NO3 DENITRIF   	N2O FROM DENIT 	NO3 LEACHING   	NH4 LEACHING   	NO3 BYPASS     	NH4 BYPASS     
YYYY-MM-DD	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        	kg N/ha        
2005-01-01	15593.058492   	42.215130      	74.370168      	71.292608      	0.000000       	71.292608      	5.230622       	0.013077       	0.691819       	0.002415       	0.000117       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-02	15592.081739   	47.162808      	69.846007      	0.976752       	0.000000       	0.976752       	4.962372       	0.012406       	0.538541       	0.002289       	0.000100       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-03	15591.158274   	51.441989      	66.006749      	0.923465       	0.000000       	0.923465       	4.291800       	0.010729       	0.470924       	0.001889       	0.000054       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-04	15590.269573   	55.381974      	62.520262      	0.888701       	0.000000       	0.888701       	3.951715       	0.009879       	0.423473       	0.001850       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-05	15589.400727   	59.150712      	59.199754      	0.868846       	0.000000       	0.868846       	3.780027       	0.009450       	0.409327       	0.001839       	0.000053       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-06	15588.483410   	63.489766      	55.095958      	0.917317       	0.000000       	0.917317       	4.351919       	0.010880       	0.669194       	0.001985       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-07	15587.570978   	67.552448      	51.269281      	0.912431       	0.000000       	0.912431       	4.074877       	0.010187       	0.664232       	0.002007       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-08	15586.665554   	94.297137      	99.135083      	0.905425       	0.000000       	0.905425       	8.016769       	0.020042       	1.272854       	0.002039       	0.000059       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-09	15585.807486   	100.901481     	92.678466      	0.858067       	0.000000       	0.858067       	6.622875       	0.016557       	0.691809       	0.001973       	0.000057       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-10	15584.973454   	107.021253     	86.253897      	0.834032       	0.000000       	0.834032       	6.137080       	0.015343       	1.121522       	0.001964       	0.000058       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-11	15584.073315   	114.559583     	78.211892      	0.900139       	0.000000       	0.900139       	7.559400       	0.018898       	1.382745       	0.002172       	0.000066       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-12	15583.170615   	121.441305     	71.478815      	0.902700       	0.000000       	0.902700       	6.901211       	0.017253       	0.734566       	0.002235       	0.000068       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-13	15582.318095   	124.797494     	68.742067      	0.852520       	0.000000       	0.852520       	3.382934       	0.008457       	0.206334       	0.018289       	0.006610       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-14	15581.467559   	128.338218     	65.858503      	0.850536       	0.000000       	0.850536       	3.564721       	0.008912       	0.169378       	0.015086       	0.005283       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-15	15580.676002   	131.605511     	63.076969      	0.791557       	0.000000       	0.791557       	3.282128       	0.008205       	0.290962       	0.006629       	0.001699       	0.000000       	0.000000       	0.000000       	0.000000       
2005-01-16	15579.859295   	135.327747     	59.761504      	0.816707       	0.000000       	0.816707       	3.736679       	0.009342       	0.395494       	0.005102       	0.000883       	0.000000       	0.000000       	0.000000       	0.000000       
