num_timesteps,env_index,date,year,doy,operation_year,n_kg,p_kg,k_kg,cost_n,cost_p,cost_k,cost_total,reward,planner_applied,window_compliant,crop_name,action_raw
1,0,2005-01-01,2005,1,1,60.0,24.0,60.0,1220.86956,2393.4961919999996,2879.6530799999996,6494.018832,-100.01000213623047,True,True,CornRM.100,"[0, 4, 9, 2, 4, 3, 10]"
2,0,2005-01-08,2005,8,1,150.0,48.0,36.0,3052.1739000000002,4786.992383999999,1727.7918479999998,9566.958132,-2.013437032699585,False,,,"[0, 0, 5, 8, 10, 6, 6]"
3,0,2005-01-15,2005,15,1,105.0,72.0,42.0,2136.52173,7180.488576,2015.757156,11332.767462,-1.3411489725112915,False,,,"[0, 11, 3, 6, 7, 9, 7]"
4,0,2005-01-22,2005,22,1,120.0,80.0,12.0,2441.73912,7978.32064,575.930616,10995.990376,-0.9328557252883911,False,,,"[1, 10, 1, 6, 8, 10, 2]"
5,0,2005-01-29,2005,29,1,0.0,48.0,30.0,0.0,4786.992383999999,1439.8265399999998,6226.818923999999,-0.45466116070747375,False,,,"[0, 7, 9, 3, 0, 6, 5]"
6,0,2005-02-05,2005,36,1,135.0,48.0,54.0,2746.95651,4786.992383999999,2591.6877719999998,10125.636665999999,-0.6293672919273376,False,,,"[1, 2, 0, 1, 9, 6, 9]"
7,0,2005-02-12,2005,43,1,15.0,24.0,30.0,305.21739,2393.4961919999996,1439.8265399999998,4138.540121999999,-0.23649944365024567,False,,,"[1, 8, 0, 5, 1, 3, 5]"
8,0,2005-02-19,2005,50,1,150.0,32.0,30.0,3052.1739000000002,3191.328256,1439.8265399999998,7683.3286960000005,-0.402804434299469,False,,,"[0, 11, 0, 3, 10, 4, 5]"
9,0,2005-02-26,2005,57,1,120.0,24.0,18.0,2441.73912,2393.4961919999996,863.8959239999999,5699.131235999999,-0.2787124514579773,False,,,"[0, 1, 5, 0, 8, 3, 3]"
10,0,2005-03-05,2005,64,1,105.0,32.0,12.0,2136.52173,3191.328256,575.930616,5903.780601999999,-0.27152219414711,False,,,"[0, 3, 5, 0, 7, 4, 2]"
11,0,2005-03-12,2005,71,1,30.0,8.0,12.0,610.43478,797.832064,575.930616,1984.1974599999999,-0.08806024491786957,False,,,"[1, 4, 8, 7, 2, 1, 2]"
12,0,2005-03-19,2005,78,1,90.0,8.0,0.0,1831.3043400000001,797.832064,0.0,2629.136404,-0.11386293917894363,False,,,"[0, 13, 3, 6, 6, 1, 0]"
13,0,2005-03-26,2005,85,1,45.0,0.0,6.0,915.6521700000001,0.0,287.965308,1203.6174780000001,-0.05147431045770645,False,,,"[0, 1, 6, 4, 3, 0, 1]"
